# DEM/Chip/SkillChip

#author("2017-04-06T17:35:45+00:00","","")
#include(DEM/Menu,notitle)
*DEMスキルチップ一覧 [#c47ab0c5]

#contents
→&size(18){''ステータス系チップ一覧は''[[''こちら''>DEM/Chip]]};

←&size(18){[[DEMトップに戻る>DEM]]};

→''チップの入手方法''は[[チップ>DEM#mdd839fa]]を参照
→スキル詳細は[[''DEMスキル一覧''>DEM/Skill]]を参照

先頭が■のチップは経験値で購入、先頭が□のチップは課金専用です
**スキルチップ重ねがけについて [#f449d315]

LV100以上のDEMは、「同一のスキルチップ」を複数枚重ねて設置する事ができます。

すでに設置されているスキルチップに対し、同一のスキルチップをドラッグ＆ドロップすることにより、スキルチップを重ねることができます。
エンゲージタスク効果は、重ね合わせ後のスキルLVに+1されます。

|>|>|~ノーマルチップ&br;■SK-[XXXXX]||>|>|~課金チップ&br;□SK-[XXXXX]|
|~Skill&br;Lv|~必要枚数|~累計枚数||~Skill&br;Lv|~必要枚数|~累計枚数|
|~Lv1|1|1|  |~Lv1|1|1|
|~Lv2|2|3|  |~Lv2|2|3|
|~Lv3|5|8|  |~Lv3|3|6|
|~Lv4|8|16| |~Lv4|5|11|
|~Lv5|10|26||~Lv5|7|18|
|~Lv6|12|38||~Lv6|8|26|
|~Lv7|14|52||~Lv7|9|35|
|~Lv8|16|68||~Lv8|10|45|
|~Lv9|18|86||~Lv9|11|56|
|~Lv10|20|106||~Lv10|12|68|

***共通系 [#CommonSkillChop]
|~名前|~形状(■)|~形状(□)|~最大Lv|~必要JobExp|~課金アイテム|h
|LEFT:|CENTER:SIZE(8):BGCOLOR():COLOR():|CENTER:SIZE(8):BGCOLOR():COLOR():|CENTER:|RIGHT:|LEFT:|c
|■SK-[最大HP上昇]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-C1-2%5D.png,nolink,56x56);|-|5|810||
|■SK-[HP回復率上昇]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-C1-3%5D.png,nolink,56x56);|-|5|810||
|■SK-[最大SP上昇]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-B1-2%5D.png,nolink,56x56);|-|5|540||
|■SK-[SP回復率上昇]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-C1-2%5D.png,nolink,56x56);|-|5|810||
|■SK-[ブロウ]&br;□SK-[ブロウ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-C1-1%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-B1-2%5D.png,nolink);|5|1,620|スキル箱・アインス|
|■SK-[コンセントレート]&br;□SK-[コンセントレート]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-B1-2%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-S1-Z%5D.png,nolink);|5|1,800|スキル箱・アインス|
|■SK-[チャージ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-B1-1%5D.png,nolink,56x56);|-|5|270||
|■SK-[パリィ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-B1-2%5D.png,nolink,56x56);|-|5|5,400||
|■SK-[カウンター]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-B1-1%5D.png,nolink,56x56);|-|5|900||
|■SK-[フェイント]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-B1-2%5D.png,nolink,56x56);|-|5|1,800||
|■SK-[コンフュージョンブロウ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-B1-1%5D.png,nolink,56x56);|-|5|1,800||
|■SK-[スタンブロウ]&br;□SK-[スタンブロウ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-2%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-C1-1%5D.png,nolink);|5|32,400|スキル箱・アインス|
