# DEM/DEMIC/Emil

//パネルの区切りで色変更予定
|~Lv|~CL|~1CL増加に&br;必要なEP|~累計EP|~パネル数|~Lv|~CL|~1CL増加に&br;必要なEP|~累計EP|~パネル数|~Lv|~CL|~1CL増加に&br;必要なEP|~累計EP|~パネル数|h
|RIGHT:|RIGHT:COLOR(red):|RIGHT:|RIGHT:|RIGHT:COLOR(red):|RIGHT:|RIGHT:COLOR(red):|RIGHT:|RIGHT:|RIGHT:COLOR(red):|RIGHT:|RIGHT:COLOR(red):|RIGHT:|RIGHT:|RIGHT:COLOR(red):|c
|~1|9|1|0|1|~-|163|''11''|433|3|~80|325|''41''|3713|5|
|~2|13|1|4|1|~40|165|11|455|3|~81|329|41|3877|5|
|~3|17|1|8|1|~41|169|11|499|3|~-|332|''42''|4000|5|
|~4|21|1|12|1|~42|173|11|543|3|~82|333|42|4042|5|
|~5|25|1|16|1|~43|177|''12''|587|3|~83|337|42|4210|5|
|~6|29|1|20|1|~44|181|12|635|3|~-|340|''43''|4336|5|
|~7|33|1|24|1|~45|185|12|683|3|~84|341|43|4379|5|
|~8|37|1|28|1|~46|189|12|731|3|~85|345|43|4551|5|
|~9|41|1|32|1|~-|192|''13''|767|3|~-|347|''44''|4637|5|
|~10|45|1|36|1|~47|193|13|780|3|~86|349|44|4725|5|
|~11|49|1|40|1|~48|197|13|832|3|~87|353|44|4901|5|
|~12|53|1|44|1|~49|201|13|884|3|~-|355|''45''|4989|5|
|~13|57|1|48|1|~50|205|13|936|3|~88|357|45|5079|5|
|~14|61|1|52|1|~-|207|''14''|962|3|~89|361|45|5259|5|
|~15|65|1|56|1|~51|209|14|990|3|~-|363|''46''|5349|5|
|~16|69|1|60|1|~52|213|14|1046|3|~90|365|46|5441|5|
|~17|73|1|64|1|~53|217|14|1102|3|~91|369|46|5625|5|
|~18|77|1|68|1|~54|221|14|1158|3|~-|371|''47''|5717|5|
|~19|81|1|72|1|~-|223|''15''|1186|3|~92|373|47|5811|5|
|RIGHT:|RIGHT:COLOR(blue):|RIGHT:|RIGHT:|RIGHT:COLOR(blue):|RIGHT:|RIGHT:COLOR(red):|RIGHT:|RIGHT:|RIGHT:COLOR(red):|RIGHT:|RIGHT:COLOR(red):|RIGHT:|RIGHT:|RIGHT:COLOR(red):|c
|~-|82|''3''|73|2|~55|225|15|1216|3|~93|377|47|5999|5|
|~20|85|3|82|2|~56|229|15|1276|3|~-|380|''48''|6140|5|
|~21|89|3|94|2|~57|233|15|1336|3|~94|381|48|6188|5|
|~22|93|3|106|2|~58|237|15|1396|3|~95|385|48|6380|5|
|~-|96|''4''|115|2|~-|238|''16''|1411|3|~-|388|''49''|6524|5|
|~23|97|4|119|2|~59|241|16|1475|3|~96|389|49|6573|5|
|RIGHT:|RIGHT:COLOR(blue):|RIGHT:|RIGHT:|RIGHT:COLOR(blue):|RIGHT:|RIGHT:COLOR(blue):|RIGHT:|RIGHT:|RIGHT:COLOR(blue):|RIGHT:|RIGHT:COLOR(red):|RIGHT:|RIGHT:|RIGHT:COLOR(red):|c
|~24|101|4|135|2|~-|244|''23''|1523|4|~97|393|49|6769|5|
|~25|105|4|151|2|~60|245|23|1546|4|~-|395|''50''|6867|5|
|~26|109|4|167|2|~-|248|''24''|1615|4|~98|397|50|6967|5|
|~27|113|4|183|2|~61|249|24|1639|4|~99|401|50|7167|5|
|~28|117|4|199|2|~62|253|24|1735|4|~-|402|''51''|7217|5|
