# DEM/Skill/Passive

パッシブ系統のスキル。

|~スキル名称|~必要&br;JobEXP|~最大Lv|>|~～Lv99|>|~Lv100～|~効果･備考|h
|~|~|~|~評価|~推奨Lv|~評価|~推奨Lv|~|h
|LEFT:110|RIGHT:100|CENTER:30|CENTER:|CENTER:|CENTER:|CENTER:|LEFT:|c
|[[最大HP上昇>Status#HP]]|810|5|◎||◎|5|HP,MPはMAGやVITを上げれば補えるが、こちらはスキルチップなので重ね置きができる。&br;重ね置きが開放されるLv100～は占拠スペースの少なさもあり、必要経験値に対し効果はかなり大きい。&br;振り方にもよるが、たった3マスでHP+1000以上を確保できることも|
|[[最大MP上昇>Skill/Warlock/Explanation#t110sen4]]|810|5|△||○|5|~|
|[[最大SP上昇>Skill/SwordMan/Explanation#wd28207e]]|540|5|△||◎|5|SPはLvボーナスでも上昇量がごく僅かしか増えない。Lv100のDEM専用物理攻撃を多用する場合はLv5取得推奨。|
|[[HP回復率上昇>Skill/SwordMan/Explanation#x8ad14d9]]|810|5|◎|1|◎|5|場所を全くとらないうえ、必要経験値もごく僅かなので取得推奨。&br;MP・SPは自分の使用するスキルと相談して。&br;これを取得するのは主にポーションやヒーリングの回復量を上げる為。&br;LV1だけでもかなり回復量が変わる。&br;座り回復の回復量を上げたいならビバークの方が効果が高い。&br;重ね置きができるようになったらLv5まで取ってしまってもなんら問題はない。|
|[[MP回復率上昇>Skill/Warlock/Explanation#t110sen3]]|810|5|◎or△|1|◎|5|~|
|[[SP回復率上昇>Skill/SwordMan/Explanation#cb2b5ec1]]|810|5|◎or△|1|◎|5|~|
|[[フードファイター>Skill/BladeMaster/Explanation#g3892f88]]|234,000|5|△||△|5|食べ物主体狩りならあると便利だが必要経験値がわりと多く、最大HPが低く食べ物が使いやすい最序盤に取れないのが痛い。&br;ポーション系には効果がなくHPが高くなってくる終盤はタマゴサンドの底上げにでもあれば便利な程度。無理にとる必要はない。|
|[[プライスオブペイン>Skill/Darkstalker/Explanation#b5bdcfa7]]|5,346,000|1|○or×|-|○or×|-|80%でも効果が大きくなったので高レベルの物理型なら有用なスキルに。魔法型は効果ないので不要。&br;高レベルの物理リミテーションチップはHPが大幅に伸びることもあり、オーバークロックを使用すればライフテイクを使用してても80%維持は比較的容易である。&br;しかし取得経験値が多く、場所を取るのでSTRを上げきった上で余裕あれば取るといいスキルである。|
|[[遠距離戦術>Skill/Archer/スキル詳細#ibm16cbb]]|59,400|5|△|1|◎|5|これを置くスペースでINTを上げた方がいいだろう。重ね置きできるLv100以上であればLv5推奨|
