# Event/NPCList/DumptyIsland

#include(Event/NPCList/Menu,notitle)
*NPCリスト（ダンプティーアイランド） [#m03db391]

-過去に存在し、消滅したNPCは%%取消線%%や&color(gray){灰字};で表記しています。
-売買・製造の記号の凡例
○：誰でも可能
△：イベントをこなすなど、条件を満たせば可能になる
×：不可能

・季節イベント『ダンプティーアイランド』（2006-09-29 出現、10-06 消滅）
・季節イベント『ダンプティーアイランド第2弾』/NPC移動（2006-10-20 出現、10-27 消滅）
・季節イベント『ダンプティーアイランド第3弾』（2006-11-24 出現、12-01 消滅）
・季節イベント『ヒトトセのフシギなたまご～四の章・サツキと海賊』（2011-05-19 出現、06-23 消滅）

|マップ|建物名|NPC名&br;(本名）|位置|座標|売買|製造|備考|h
|ダンプティーアイランド|-|怪しいダンプティー|上|173,59|×|×|-|
|~|-|フシギなメイドさん|左上&br;%%上橋右%%|27,38&br;%%157,87%%|×|×|移動：アップタウン（帰る方法知らない？→閉じる）|
|~|-|意地悪なダンプティー|上橋右|154,89|×|×|-|
|~|-|ダンプティー兄|下&br;%%右上%%|125,214&br;%%232,103%%|×|×|変身：ダンプティー（君らは兄弟？orアレってなに？？→いたずらをうける）|
|~|-|ダンプティー弟|下&br;%%右上%%|124,215&br;%%232,103%%|×|×|~|
|~|-|ぐったりダンプティー|左下湖前 %%右%%|68,145&br;%%246,147%%|×|×|イベント：&br;（2006-10-20 イベント追加）|
|~|-|商売上手なダンプティー（？）|右下|228,169|×|×|（2006-11-24　出現）|
|~|-|ぬるっと光るナニカ|右下|226,169|×|×|（2006-11-24　出現）|
|~|-|監督ダンプティー|中央右|201,143|×|×|イベント：依頼受諾→達成でカッパーメダル入手|
|~|-|違いのわかるダンプティー|中央|171,125|×|×|イベント：目利きクイズ5問&br;（2006-10-20 出現）|
|~|-|サンドバッグ（くま）|中央下|145,149|×|×|-|
|~|-|拳を極めたダンプティー|中央下|145,153|×|×|-|
|~|-|ダンプティーダディ|右下|182,175&br;%%221,190%%|×|×|-|
|~|-|ダンプティーマミィ|右下|181,173&br;%%220,191%%|×|×|-|
|~|-|ダンプティーベイビー|右下|187,172&br;%%222,194%%|×|×|-|
|~|-|ダンプティー画家|右上&br;%%下%%|236,78&br;%%127,215%%|×|×|会話：色選択でその瞬間だけ無着色ダンプティーの姿変更|
|~|-|無着色ダンプティー|右上&br;%%下%%|238,79&br;%%125,217%%|×|×|-|
|~|-|知らんぷりダンプティー|左下|56,214|×|×|ダンプティー変身中だと会話内容変化|
|~|-|ダンプティー隊長|左&br;%%左下%%|&br;%%42,191%%|×|×|-|
|~|-|ダンプティーブルー|左&br;%%左下%%|&br;%%43,189%%|×|×|-|
|~|-|ダンプティーレッド|左&br;%%左下%%|&br;%%42,189%%|×|×|-|
|~|-|ダンプティーイエロー|左&br;%%左下%%|&br;%%41,189%%|×|×|-|
|~|-|物知りダンプティー|右上&br;%%左下湖前%%|221,106&br;%%69,143%%|×|×|イベント：クイズ10問&br;　全問正解→二回%%初回%%のみハートフルキャンディー入手&br;　間違い→移動：暴れダンプティーの間&br;(2006-10-20 報酬追加)|
|~|-|ダンプティー助手2|左下&br;%%左%%|&br;%%24,103%%|×|×|-|
|~|-|ダンプティー博士|左下&br;%%左%%|&br;%%25,102%%|×|×|イベント：出される言葉を正確に入力すると、花火が上がる|
|~|-|ダンプティー助手1|左下&br;%%左%%|&br;%%24,101%%|×|×|-|
|~|-|ことばマシ～ン1号|左下&br;%%左%%|&br;%%25,10%%0|×|×|-|
|~|-|水平線を見つめるダンプティー|左上|9,79&br;%%25,40%%|×|×|-|
|~|暴れダンプティーの間|困惑したダンプティー|-|25,25|×|×|移動：ダンプティーの間|

#pcomment
