# Event/NPCList/MaimaiIsland

#include(Event/NPCList/Menu,notitle)
*NPCリスト（マイマイ島） [#t7cffea2]

-過去に存在し、消滅したNPCは%%取消線%%や&color(gray){灰字};で表記しています。
-売買・製造の記号の凡例
○：誰でも可能
△：イベントをこなすなど、条件を満たせば可能になる
×：不可能

・SAGA 6 実装（2007-7-20 出現）
|マップ|建物名|NPC名&br;(本名）|位置|座標|売買|製造|備考|h
|マイマイ島|-|薬屋|||○|×||
|~|-|武具屋|||○|×||
|~|-|食料品店|||○|×||
|~|-|酒屋店員|||×|×||
|~|-|巡礼者のウィザード|||×|×||
|~|-|ギルド商人|||○|×||
|~|-|パートナードクター|||×|×||
|~|-|マシュマロ|||×|×||
|~|-|巡礼者のおじいさん|||×|×||
|~|-|巡礼者のおばあさん|||×|×||
|~|-|２人乗りのソリ|||×|×||
|~|-|巡礼者の占い師|||×|×||
|~|-|調査隊北軍代表|||×|×||
|~|-|調査隊南軍代表|||×|×||
|~|-|調査隊東軍代表|||×|×||
|~|-|調査隊西軍代表|||×|×||
|~|-|森のギルド員|||×|×||
|~|-|調査隊ガンナー|||×|×||
|~|-|海を見ているコマンド|||×|×||
|~|-|飛空庭誘導員|||×|×||
|~|-|遺跡調査員|||×|×||
|~|-|森のギルド員|||×|×||
|~|-|染色おばさん|||×|○||
|~|-|リーナ|||×|×||
|~|-|デンデン|||×|×||
|~|-|ムーリ|||×|×||
|~|-|ドールズ軍兵士|||×|×||
|~|-|ドールズ軍兵士|||×|×||
|~|神託の風穴１Ｆ|マリオネット研究員|||×|×||
|~|神託の風穴Ｂ１Ｆ|マリオネット研究員|||×|×||

#pcomment
