# Event/NPCList/TinyIsland

#include(Event/NPCList/Menu,notitle)
*NPCリスト（タイニーアイランド） [#tbb9694c]

-過去に存在し、消滅したNPCは%%取消線%%や&color(gray){灰字};で表記しています。
-売買・製造の記号の凡例
○：誰でも可能
△：イベントをこなすなど、条件を満たせば可能になる
×：不可能

・2006-03-10 出現
|マップ|建物名|NPC名&br;(本名）|位置|座標|売買|製造|備考|h
|タイニーアイランド|-|タイニー|243,84|右上|×|×|移動：アップタウン（湖畔のティタと二回会話後）&br;変身：タイニー（マリオネット7体と会話後）&br;（2006-03-17 移動先変更）|
|~|-|ダーリン|231,103|右上|×|×|-|
|~|-|ハニー|231,104|右上|×|×|-|
|~|-|海を眺めるタイニー|239,143|右|×|×|-|
|~|-|ブラックタン|188,163|右下|×|×|（2006-11-02 出現）|
|~|-|ガブリエルぼうや|187,163&br;%%184,176%%|右下|×|×|ペットチェンジ：わんわん＆ブラックタン（要タイニーメダル）&br;（2006-11-02 移動＆ペットチェンジ追加）|
|~|-|わんわん|186,163|右下|×|×|（2006-11-02 出現）|
|~|-|ママさん|182,175|右下|×|×|-|
|~|-|放牧わんわん|-|右下|×|×|4匹|
|~|-|放牧ブラックタン|-|右下|×|×|4匹|
|~|-|マリオネット・エレキテル|174,47|上|×|×|変身：マリオネット・エレキテル|
|~|-|マリオネット・インスマウス|173,46|上|×|×|変身：マリオネット・インスマウス|
|~|-|マリオネット・ベリル|173,48|上|×|×|変身：マリオネット・ベリル|
|~|-|マリオネット・ホムラ|172,49|上|×|×|変身：マリオネット・ホムラ|
|~|-|マリオネット・アイシー|171,46|上|×|×|変身：マリオネット・アイシー|
|~|-|マリオネット・サラマンドラ|171,48|上|×|×|変身：マリオネット・サラマンドラ|
|~|-|マリオネット・マンドラゴラ|170,47|上|×|×|変身：マリオネット・マンドラゴラ|
|~|-|ネイティブタイニー|157,88|上橋右|×|×|-|
|~|-|ネイティブタイニー|155,92|上橋右|×|×|-|
|~|-|ネイティブタイニー|153,91|上橋右|×|×|-|
|~|-|%%空を見上げるネイティブ%%|141,145|中央下|○|○|%%星を詰める%%&br;（2006-08-11 出現、09-01 消滅）|
|~|-|ネイティブタイニー|150,143|中央下|×|×|-|
|~|-|ネイティブタイニー|148,155|中央下|×|×|-|
|~|-|ネイティブタイニー|144,149|中央下|×|×|-|
|~|-|ベイビータイニー|144,152|中央下|×|×|-|
|~|-|ベイビータイニー|141,156|中央下|×|×|-|
|~|-|ベイビータイニー|140,155|中央下|×|×|-|
|~|-|ベイビータイニー|-|中央下|×|×|5体|
|~|-|酒屋店員|131,220|下|×|×|クエスト：タイニーアイランド|
|~|-|クローラーキャリア|129,221|下|×|×|-|
|~|-|ギルド商人|128,220|下|○|×|品揃えが二パターン&br;パターンA:レプリカ＆スカート売り、売却額1.2倍&br;パターンB：非レプリカ＆ショートパンツ売り、売却額1.0倍&br;（正規アクロポリス通行証入手で、パターンA→Bに変化の模様）&br;マーチャント系職特性の、ギルド商人1.2倍売却不可|
|~|-|アイテム精製師|127,218|下|×|×|イベント：宝箱未入手PC会話？→宝箱1入手|
|~|-|休憩しているタイニー|63,214|左下|×|×|イベント：タイニーメダル3枚orタイニーレインボーメダル1枚所持→ファイアードラゴの卵と交換可能&br;（2006-05-12 イベント追加）|
|~|-|レインボー発生マシーン|63,210|左下|×|×|%%移動：愛の花束所持→バレンタイン聖堂へ移動可能%%&br;（2006-06-16 季節イベント追加、06-30 季節イベント終了）|
|~|-|休憩しているタイニー|59,212|左下|×|×|-|
|~|-|休憩しているタイニー|56,214|左下|×|×|%%イベント：愛の花束所持→ドレスorスーツレンタル可能%%&br;（2006-06-16 季節イベント追加、06-30 季節イベント終了）|
|~|-|デ・ジ・キャラット|41,196|左下|×|×|（2006-08-11 出現）|
|~|-|コスプレが好きな少女|28,185|左下|×|×|（2006-08-11 出現）|
|~|-|休憩しているタイニー|68,160|左下湖前|×|×|-|
|~|-|湖畔のティタ|71,141|左下湖前|×|×|-|
|~|-|アルテミス|72,136|左下湖前|×|×|イベント：会話→月見団子イベント開始&br;（2006-09-15 出現）|
|~|-|くま次郎|74,136|左下湖前|×|×|~|
|~|-|ムーン|74,134|左下湖前|×|×|~|
|~|-|パイレーツタイニー|129,85|上橋左|×|×|-|
|~|-|パイレーツタイニー|128,90|上橋左|×|×|-|
|~|-|パイレーツタイニー|63,98|左|×|×|-|
|~|-|パイレーツタイニー|50,94|左|×|×|-|
|~|-|COLOR(gray):%%星が好きなパイレーツ%%|COLOR(gray):33,92|COLOR(gray):左|COLOR(gray):×|COLOR(gray):×|COLOR(gray):%%1等星を渡せる。100個溜まると打ち上げ%%&br;（2006-08-11 出現、09-01 消滅）|
|~|-|パイレーツタイニー|26,108|左|×|×|-|
|~|-|パイレーツタイニー|19,104|左|×|×|-|
|~|-|タイニー家具職人|8,79|左|×|×|イベント：タイニーメダル3枚、りんご100個＆小さな家所持？→タイニー様式に改築可能&br;（2006-05-19 出現）|

#pcomment
