# Event/NPCList/Tonka

#include(Event/NPCList/Menu,notitle)
*NPCリスト（トンカ） [#we77acef]

-過去に存在し、消滅したNPCは%%取消線%%や&color(gray){灰字};で表記しています。
-売買・製造の記号の凡例
○：誰でも可能
△：イベントをこなすなど、条件を満たせば可能になる
×：不可能

・SAGA 5 実装（2006-12-08 出現）
|マップ|建物名|NPC名&br;(本名）|位置|座標|売買|製造|備考|h
|トンカ島|-|アイアンサウス行き|||×|×||
|~|-|アクロポリス行き|||×|×||
|~|-|マイマイ島行き|||×|×||
|~|-|家具職人|||○|×||
|~|-|ガイドマシーン|||×|×||
|~|-|警備巨大ロボ|||×|×||
|~|-|教育係|||×|×||
|~|-|ドールズ軍ピーノ|||×|×||
|~|-|ドールズ軍ハレルヤ|||×|×||
|~|-|マリオネット研究員|||×|×||
|~|-|マリオネット研究員|||×|×||
|~|-|マンドラゴラ|||×|×||
|~|-|ハレルヤ|||×|×||
|~|-|流れの傭兵|||×|×||
|~|-|パートナードクター|||×|×||
|~|-|キャラメル|||×|×||
|~|-|ツンデレ少年|||×|×||
|~|-|旅のピーノ|||×|×||
|~|-|夢見る職人|||×|×||
|~|-|ニンフ|||×|×||
|~|-|自称天才マシンナリー|||×|×||
|~|-|カミッロ|||×|×||
|~|-|アイシー|||×|×||
|~|-|レオ|||×|×||
|~|-|サラマンドラ|||×|×||
|~|-|リディア|||×|×||
|~|-|お手伝いエレキテル|||×|×||
|~|-|リディアの助手|||×|×||
|~|-|リタ|||×|×||
|~|-|生まれたてのベリル|||×|×||
|~|-|リタの助手|||×|×||
|~|-|飛空庭に憧れる少年|||×|×||
|~|-|手伝いハレルヤ|||×|×||
|~|-|マイスターセレナ|||×|×||
|~|-|マイスターディア|||×|×||
|~|-|手伝いハレルヤ|||×|×||
|~|-|マイスターウィル|||×|×||
|~|-|手伝いハレルヤ|||×|×||
|~|-|手伝いハレルヤ|||○|×||
|~|-|ギルド商人|||○|×||
|~|-|食料品店のおばあさん|||○|×||
|~|-|鑑定屋|||×|×||
|~|-|アイテム精製師|||×|○||
|~|-|薬屋|||○|×||
|~|-|昔話ばあちゃん|||×|×||
|~|-|ピーノが好きな子ども|||×|×||
|~|-|トンカの母|||×|×||
|~|-|復活の戦士|||×|×||
|~|-|ハロー|||×|×||
|~|-|料理好きなシーラさん|||×|×||
|~|-|インスマウス|||×|×||
|~|-|ナンパな闇商人|||×|×||
|~|-|染色おばさん|||×|○||
|~|-|噂好きの主婦|||×|×||
|~|-|腰を痛めたウーゴ爺|||×|×||
|~|-|やさしいホムラ|||×|×||
|~|-|モーグ生まれのテレーゼ|||×|×||
|~|-|タイニー|||×|×||
|~|-|お花が好きなミランダ|||×|×||
|~|-||||×|×||
|~|ドールズ軍本部|ドールズ軍兵士|||×|×||
|~|マリオネスト本部|マリオネスト代表|||×|×||
|~|~|アイシー|||×|×||
|~|~|サラマンドラ|||×|×||
|~|マリオネット第１研究所|マリオネット研究員|||×|×||
|~|~|マンドラゴラ|||×|×||
|~|マシンナリー本部|マシンナリー代表|||×|×||
|~|~|部下１号|||×|×||
|~|~|部下２号|||×|×||
|~|トンカ庁舎|トンカ市長|||×|×||
|~|~|トンカっ子|||×|×||
|~|鑑定屋|鑑定屋|||×|×||
|~|~|アイテム精製師|||×|○||
|~|酒屋|酒屋マスター|||×|×||
|~|ジャンク屋|ジャンク屋店員|||○|○||
|~|武器屋|武器屋店員|||○|×||
|~|裁縫屋|裁縫屋|||○|×||
|~|宝石店|宝石商|||○|×||
|~|裏商店|銃器専門店|||○|○||

#pcomment
