# FlyCastle/Farm/FarmZukan

RIGHT:&edit(,noicon){「ファーム図鑑コンプリート褒賞」を編集};

|CENTER:|CENTER:|CENTER:|CENTER:|c
|~ページ|~野菜|~果物|~穀物|h
|CENTER:|LEFT:|LEFT:|LEFT:|c
|BGCOLOR(#f4b5aa):''1P銅''|『野菜１ブロンズコンプリートBOX』&br;野菜の種（とげとげ）×5&br;野菜の種（しましま）×5&br;野菜盛り合わせＣ×3&br;グリーンサラダ×3&br;ゴーヤチャンプルー×3|『果物１ブロンズコンプリートBOX』&br;果物の種（とげとげ）×5&br;果物の種（しましま）×5&br;果物盛り合わせＡ×3&br;果物盛り合わせＢ×3&br;果物盛り合わせＣ×3|『穀物１ブロンズコンプリートBOX』&br;穀物の種（とげとげ）×5&br;穀物の種（しましま）×5&br;オニギリ×3&br;オムライス×3&br;ひつまぶし×3|
|BGCOLOR(#f4b5aa):''2P銅''|『野菜２ブロンズコンプリートBOX』&br;野菜の種（しましま）×5&br;野菜の種（つやつや）×5&br;チャーハン×3&br;イカ墨パスタ×3&br;野菜ハンバーグ×3|『果物２ブロンズコンプリートBOX』&br;果物の種（しましま）×5&br;果物の種（つやつや）×5&br;ブルーベリージャム×3&br;果物盛り合わせＡ×3&br;果物盛り合わせＣ×3|『穀物２ブロンズコンプリートBOX』&br;穀物の種（しましま）×5&br;穀物の種（つやつや）×5&br;コーンポタージュ×3&br;ハトムギ茶×3&br;雑穀米×3|
|BGCOLOR(#f4b5aa):''3P銅''|『野菜３ブロンズコンプリートBOX』&br;野菜の種（つやつや）×10&br;野菜の種（とげとげ）×10&br;野菜盛り合わせＡ×3&br;根菜のスープ×3&br;野菜チップス×3|『果物３ブロンズコンプリートBOX』&br;果物の種（つやつや）×10&br;果物の種（とげとげ）×10&br;桃缶×3&br;超高級フルーツ盛り×3&br;果物盛り合わせＢ×3|『穀物３ブロンズコンプリートBOX』&br;穀物の種（つやつや）×10&br;穀物の種（とげとげ）×10&br;握り寿司（赤身）×3&br;アクロヒカリむすび×3&br;アクロニシキむすび×3|
|BGCOLOR(#f4b5aa):''4P銅''|『野菜４ブロンズコンプリートBOX』&br;野菜の種（とげとげ）×10&br;野菜の種（しましま）×10&br;野菜の種（つやつや）×10&br;グリーンサラダ×3&br;上等なゴーヤチャンプルー×3&br;野菜盛り合わせＢ×3|『果物４ブロンズコンプリートBOX』&br;果物の種（とげとげ）×10&br;果物の種（しましま）×10&br;果物の種（つやつや）×10&br;マンゴープリン×3&br;桃缶×3&br;超高級フルーツ盛り×3|『穀物４ブロンズコンプリートBOX』&br;穀物の種（とげとげ）×10&br;穀物の種（しましま）×10&br;穀物の種（つやつや）×10&br;上等なオニギリ×3&br;軍艦巻き（ウニ）×3&br;うな重×3|
|>|>|>||
|BGCOLOR(#aae0f4):''1P銀''|パラソル付きウッドデッキ|サボテン|わら敷き|
|BGCOLOR(#aae0f4):''2P銀''|やしの木|みかん箱|丸じゅうたん|
|BGCOLOR(#aae0f4):''3P銀''|大きな噴水|アジサイ（水色）|米俵|
|BGCOLOR(#aae0f4):''4P銀''|ポンプ井戸|フェアリーハウス|サルノコシカケ|
|>|>|>||
|BGCOLOR(#ffe07a):''1P金''|クラシックワーカーシャツ|クラシックワーカーブーツ|メルクリウススモック|
|BGCOLOR(#ffe07a):''2P金''|Ｃ．Ｅ．ジャケット|ニッカポッカ|地下足袋|
|BGCOLOR(#ffe07a):''3P金''|エトランジュワンピ|エトランジュボンネットハット|エトランジュシューズ|
|BGCOLOR(#ffe07a):''4P金''|茶摘服（上）|ほっかむり|茶摘服（下）|
|>|>|>||
