# Iris/Ability/Table

#author("2017-04-27T15:44:05+00:00","","")
RIGHT:&edit(,noicon){アビリティベクトル表を編集};

***戦闘用・ステータス変化等 [#tb_Battle]
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
|~アビリティベクトル|~リリースアビリティ|~Lv1|~Lv2|~Lv3|~Lv4|~Lv5|~Lv6|~Lv7|~Lv8|~Lv9|~Lv10|
|~|~|BGCOLOR(#DDDDDD):~&size(11){1～};|BGCOLOR(#DDDDDD):~&size(11){30～};|BGCOLOR(#DDDDDD):~&size(11){80～};|BGCOLOR(#DDDDDD):~&size(11){150～};|BGCOLOR(#DDDDDD):~&size(11){250～};|BGCOLOR(#DDDDDD):~&size(11){370～};|BGCOLOR(#DDDDDD):~&size(11){510～};|BGCOLOR(#DDDDDD):~&size(11){660～};|BGCOLOR(#DDDDDD):~&size(11){820～};|BGCOLOR(#DDDDDD):~&size(11){999};|
|LEFT:|LEFT:130|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|c
|[[基礎体力強化>Iris/Find/Vector#hpup]]|&aname(tb_hpup);COLOR(#4444FF):HP最大値＋上昇|''+50''|+50|''+200''|+200|+200|+200|''+800''|+800|''+2000''|+2000|
|~|COLOR(#4444FF):HP回復力％上昇|-|''5%''|5%|''10%''|10%|''15%''|15%|''20%''|20%|20%|
|~|COLOR(#FF6600):VIT＋上昇|-|-|-|-|''+1''|+1|+1|+1|+1|''+2''|
|||||||||||||
|[[基礎技術力強化>Iris/Find/Vector#spup]]|&aname(tb_spup);COLOR(#DDA500):SP最大値＋上昇|''+30''|+30|''+120''|+120|+120|+120|''+450''|+450|''+1000''|+1000|
|~|COLOR(#DDA500):SP回復力％上昇|-|''5%''|5%|''10%''|10%|''15%''|15%|''20%''|20%|20%|
|~|COLOR(#FF6600):DEX＋上昇|-|-|-|-|''+1''|+1|+1|+1|+1|''+2''|
|||||||||||||
|[[基礎知力強化>Iris/Find/Vector#mpup]]|&aname(tb_mpup);COLOR(#AA00AA):MP最大値＋上昇|''+30''|+30|''+120''|+120|+120|+120|''+450''|+450|''+1000''|+1000|
|~|COLOR(#AA00AA):MP回復力％上昇|-|''5%''|5%|''10%''|10%|''15%''|15%|''20%''|20%|20%|
|~|COLOR(#FF6600):INT＋上昇|-|-|-|-|''+1''|+1|+1|+1|+1|''+2''|
|||||||||||||
|[[体力強化>Iris/Find/Vector#tb_tairyoku]]|&aname(tb_tairyoku);COLOR(#4444FF):HP最大値％上昇|''5%''|5%|''15%''|15%|15%|15%|15%|15%|''35%''|''50%''|
|~|COLOR(#FF6600):VIT＋上昇|-|''+1''|+1|+1|''+2''|+2|+2|+2|+2|+2|
