# Iris/Table

RIGHT:&edit(,noicon){アビリティベクトル早見表を編集};
|~ベクトル値|~1～29|~30～79|~80～149|~150～249|~250～369|~370～509|~510～659|~660～800～|~不明|~～999|h
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
|~リリースアビリティLv|1|2|3|4|5|6|7|8|9|10|
~
|>|>|LEFT:''アビリティベクトル一覧''|h
|LEFT:|LEFT:|LEFT:|c
|~アビリティベクトル名|~Lv|~リリースアビリティ|
|~[[基礎体力強化>../Explanation#hpup]]|1|HP最大値+50|
|~|2|HP最大値+50、HP回復力5%上昇|
|~|3|HP最大値+200、HP回復力5%上昇|
|~|4|HP最大値+200、HP回復力10%上昇|
|~|5|HP最大値+200、HP回復力10%上昇、VIT上昇+1|
|~|6|HP最大値+200、HP回復力15%上昇、VIT上昇+1|
|~|7|HP最大値+800、HP回復力15%上昇、VIT上昇+1|
|~|8|HP最大値+800、HP回復力20%上昇、VIT上昇+1|
|~[[基礎知力強化>../Explanation#mpup]]|1|MP最大値+30|
|~|2|MP最大値+30、MP回復力5%上昇|
|~|3|MP最大値+120、MP回復力5%上昇|
|~|4|MP最大値+120、MP回復力10%上昇|
|~|5|MP最大値+120、MP回復力10%上昇、INT上昇+1|
|~|6||
|~[[基礎技術力強化>../Explanation#spup]]|1|SP最大値+30|
|~|2|SP最大値+30、SP回復力5%上昇|
|~|3|SP最大値+120、SP回復力5%上昇|
|~|4|SP最大値+120、SP回復力10%上昇|
|~|5|SP最大値+120、SP回復力10%上昇、DEX上昇+1|
|~|6||
|~[[トップブリーダーの心得>../Explanation#topBreeder]]|1|ペット成長率5%上昇|
|~|2|ペット成長率10%上昇|
|~|3|ペット成長率15%上昇|
|~|4|ペット成長率20%上昇|
|~|5|ペット成長率25%上昇|
|~[[パッケージの心得>../Explanation#packag]]|1|キャパシティ5%上昇((Bodyの基本値にのみ掛かる。ペットなどによる増加分には掛からない。))|
|~|2|キャパシティ5%上昇、ペイロード5%上昇|
|~|3|キャパシティ10%上昇、ペイロード5%上昇|
|~|4|キャパシティ10%上昇　ペイロード10%上昇|
|~|5|キャパシティ15%上昇、ペイロード10%上昇|
|~[[ジャイアントキリング>../Explanation#gkilling]]|1|Lv差命中補正10%軽減|
|~|2|Lv差命中補正20%軽減|
|~|3|Lv差命中補正30%軽減|
|~|4|Lv差命中補正50%軽減|
|~|5|Lv差命中補正80%軽減|
|~|6|Lv差命中補正100%軽減|
|~|7|Lv差命中補正100%軽減、ATK値+5上昇|
|~[[流水の心得>../Explanation#ryuusui]]|1|被物理ダメージ2%減少|
|~|2|被物理ダメージ4%減少|
|~|3|被物理ダメージ4%減少、Guard率2%上昇|
|~|4|被物理ダメージ6%減少、Guard率2%上昇|
|~|5||
|~|6||
|~|7||
|~[[斬鉄の心得>../Explanation#zantetu]]|1|クリティカル2%上昇|
|~|2|クリティカル4%上昇|
|~|3|クリティカル6%上昇|
|~|4|クリティカル8%上昇|
|~|5|クリティカル10%上昇|
|~|6||
|~[[耐久の心得>../Explanation#taikyuu]]|1|左DEF+3|
|~|2|左DEF+3　防具防御力+5%|
|~|3|左DEF+6　防具防御力+5%|
|~|4|左DEF+6　防具防御力+10%|
|~|5|左DEF+9　防具防御力+10%|
|~|6||
|~|7||
|~[[ウエポンビルダー>../Explanation#weapon]]|1|武器攻撃力+3上昇|
|~|2|武器攻撃力+3上昇　武器攻撃力5%上昇|
|~|3|武器攻撃力+7上昇　武器攻撃力5%上昇|
|~|4|武器攻撃力+7上昇　武器攻撃力10%上昇|
|~|5|武器攻撃力+15上昇　武器攻撃力10%上昇|
|~|6|武器攻撃力+15上昇　武器攻撃力20%上昇|
|~|7|武器攻撃力+20上昇　武器攻撃力20%上昇|
|~[[アーマービルダー>../Explanation#armor]]|1|防具防御力+3上昇|
|~|2|防具防御力+6上昇|
|~|3|防具防御力+10上昇|
|~|4|防具防御力+13上昇|
|~|5||
|~[[ショートレンジバースト>../Explanation#Srange]]|1|S.HIT値+5上昇|
|~|2|S.HIT値+5上昇　ATK値+3上昇|
|~|3||
|~|4||
|~|5||
|~[[ロングレンジバースト>../Explanation#Lrange]]|1|L.HIT値+5上昇|
|~|2|L.HIT値+5上昇　ATK値+3上昇|
|~|3|L.HIT値+10上昇　ATK値+3上昇|
|~|4||
|~|5||
|~[[マジックバースト>../Explanation#magic]]|1|M.ATK値+3上昇|
|~|2||
|~|3||
|~|4||
|~|5||
|~[[絶投の極意>../Explanation#zettou]]|1|武器攻撃力5%上昇|
|~|2|武器攻撃力10%上昇|
|~|3|武器攻撃力15%上昇|
|~|4|武器攻撃力25%上昇|
|~|5||
|~[[悠久の楽園>../Explanation#rakuen]]||HP最大値＋10、MP最大値＋5、SP最大値＋5、キャパシティ3%上昇&br;&color(red){レベルによる数値の変更はなし};|
|~トレスパス|1|Guard率1%上昇|
|~|2|Guard率1%上昇、クリティカル3%上昇|
|~|3|Grard率2%上昇、クリティカル3%上昇|
|~|4||
|~|5||
|~榊巫女|1|被物理ダメージ2%減少|
|~|2|被物理ダメージ2%減少、左DEF+4|
|~|3|被物理ダメージ2%減少、左Def+4、防具防御力+8|
|~|4||
|~|5||
|~黒の大魔導師|1|M.ATK値+2上昇|
|~|2|M.ATK値+2上昇、MP最大値+20|
|~|3|M.ATK値+4上昇、MP最大値+20|
|~|4||
|~|5||
|~ヴァンパイア・ハイブリッド|1|HP回復力5%上昇|
|~|2|HP回復力5%上昇、SP回復力5%上昇|
|~|3|HP回復力10%上昇、SP回復力5%上昇|
|~|4||
|~|5||
|~エルヴン・ストライカー|1|武器攻撃力+3上昇|
|~|2|武器攻撃力+3上昇、S.HIT値5%上昇|
|~|3|武器攻撃力+3上昇、S.HIT値5%上昇、ATK値+4上昇|
|~|4||
|~|5||
|~女帝竜|1|ペット成長率5%上昇|
|~|2|ペット成長率5%上昇、クリティカル3%上昇|
|~|3|ペット成長率10%上昇、クリティカル3%上昇|
|~|4||
|~|5||
|~ピュア・ブライトネス|1|SP最大値+20|
|~|2|SP最大値+20、被物理ダメージ2%減少|
|~|3|SP最大値+50、被物理ダメージ2%減少|
|~|4||
|~|5||
|~現巫女|1|DEF+2|
|~|2|DEF+2、防具防御力5%上昇|
|~|3|DEF+2、防具防御力5%上昇、防具防御力+10|
|~|4||
|~|5||
|~サイレントウィッチ|1|クリティカル2%上昇|
|~|2|クリティカル2%上昇、Lv差命中補正10%軽減|
|~|3|クリティカル4%上昇、Lv差命中補正10%軽減|
|~|4||
|~|5||
|~涼風鬼姫|1|防具防御力+3上昇|
|~|2|防具防御力+3、HP最大値＋40上昇|
|~|3|防具防御力+6、HP最大値＋40上昇|
|~|4||
|~|5||
|~ドラゴンナイト|1|キャパシティ5%上昇|
|~|2|キャパシティ5%上昇、ペット成長率7%上昇|
|~|3|キャパシティ5%上昇、ペット成長率7%上昇、ペイロード7%上昇|
|~|4||
|~|5||
|~総参謀長|1|防具防御力+3上昇|
|~|2|防具防御力+3上昇、武器攻撃力5%上昇|
|~|3|防具防御力+3上昇、武器攻撃力5%上昇、左DEF+5|
|~|4|防具防御力+3上昇、武器攻撃力5%上昇、左DEF+5、L.HIT値+10上昇|
|~|5||
|~サイキック・プライマル|1|武器攻撃力+3上昇|
|~|2|武器攻撃力+3上昇、防具防御力+4上昇|
|~|3|武器攻撃力+3上昇、防具防御力+4上昇、武器攻撃力5%上昇|
|~|4||
|~|5||
|~太極拳法家|1|Lv差命中補正10%軽減|
|~|2|Lv差命中補正10%軽減、HP最大値+60|
|~|3|Lv差命中補正10%軽減、HP最大値+60、HP回復力6%上昇|
|~|4||
|~|5||
|~白の大魔導師|1|防具防御力+3|
|~|2|防具防御力+3、MP最大値+10|
|~|3|防具防御力+6、MP最大値+10|
|~|4||
|~|5||
|~エルヴン・ハーミット|1|MP回復力4%上昇|
|~|2|MP回復力6%上昇|
|~|3|MP回復力6%上昇、被物理ダメージ2%減少|
