# IrisCard/SetPositionList

RIGHT:&edit(,noicon){SetPositionListを編集};

**セット位置索引 [#setposition]
//本ページでは、武器、服、胸のイリスカードを記述

***武器 [#weapon]
|~No.|~名称|~レア度|~属性|~ベクトル|~備考|
|LEFT:|CENTER:|CENTER:|CENTER:55|CENTER:|CENTER:150|c
|AC00-0001|[[君と僕のイリス>IrisCard/NormalIrisCard#AC00-0001]]|&COLOR(#ff0000){''SP''};|-|[[基礎体力強化>Iris/Explanation#tb_hpup]]|服/胸も可|
|AC00-0002|[[悠久の楽園>IrisCard/NormalIrisCard#AC00-0002]]|&COLOR(#ff0000){''SP''};|-|[[悠久の楽園>Iris/Explanation#tb_rakuen]]|服/胸も可|
|AC00-0003|[[お祭り！タイニー神輿>IrisCard/NormalIrisCard#AC00-0003]]|&COLOR(#ff0000){''SP''};|-|[[お祭り！タイニー神輿>Iris/Explanation#tb_mikoshi]]|服/胸も可|
|AC00-0004|[[三人娘のお出迎え>IrisCard/NormalIrisCard#AC00-0004]]|&COLOR(#ff0000){''SP''};|BGCOLOR(BLACK):COLOR(WHITE):ALL|CENTER:-|服/胸も可|
|AC00-0005|[[偽りの神と機械の記憶>IrisCard/NormalIrisCard#AC00-0005]]|&COLOR(#ff0000){''SP''};|-|[[偽りの神と機械の記憶>Iris/Explanation#tb_SAGA10]]|服/胸も可|
|AC00-0006|[[天空のオープンカフェ>IrisCard/NormalIrisCard#AC00-0006]]|&COLOR(#ff0000){''SP''};|-|[[天空のオープンカフェ>Iris/Explanation#tb_opencafe]]|服/胸も可|
|AC00-0007|[[ＥＣＯカー「プリムラ」>IrisCard/NormalIrisCard#AC00-0007]]|&COLOR(#ff0000){''SP''};|-|[[ＥＣＯカー「プリムラ」>Iris/Explanation#tb_ecocar]]|服/胸も可|
|AC00-0008|[[あそびにいくヨ！>IrisCard/NormalIrisCard#AC00-0008]]|&COLOR(#ff0000){''SP''};|-|[[あそびにいくヨ！>Iris/Explanation#tb_asobiniikuyo]]|服/胸も可|
|AC00-0010|[[メイド・ヒロインズ>IrisCard/NormalIrisCard#AC00-0010]]|&COLOR(#ff0000){''SP''};|-|[[ヒロインズパーティ>Iris/Explanation#tb_heroineparty]]|服/胸も可|
|AC00-0011|[[みんなで転生しちゃおう！>IrisCard/NormalIrisCard#AC00-0011]]|&COLOR(#ff0000){''SP''};|-|[[みんなで転生しちゃおう！>Iris/Explanation#tb_trans_cp]]|服/胸も可|
|AC00-0012|[[仲良しノービス＆プルルとポリン>IrisCard/NormalIrisCard#AC00-0012]]|&COLOR(#ff0000){''SP''};|-|[[仲良しノービス>Iris/Explanation#tb_nakayoshiNovice]]|服/胸も可|
|AC00-0013|[[ロッテのおもちゃ！とネコマタ>IrisCard/NormalIrisCard#AC00-0013]]|&COLOR(#ff0000){''SP''};|-|[[ヒロインズパーティ>Iris/Explanation#tb_heroineparty]]|服/胸も可|
|AC00-0014|[[ロッテのおもちゃ！とタイニー>IrisCard/NormalIrisCard#AC00-0014]]|&COLOR(#ff0000){''SP''};|-|[[ロッテのおもちゃ！>Iris/Explanation#tb_lotteomocha]]|服/胸も可|
|AC00-0015|[[拓かれる大地>IrisCard/NormalIrisCard#AC00-0015]]|&COLOR(#ff0000){''SP''};|-|[[フェスティバル！>Iris/Explanation#tb_pazdra]]|服/胸も可|
|AC00-0017|[[魔法少女まどか☆マギカ>IrisCard/NormalIrisCard#AC00-0017]]|&COLOR(#ff0000){''SP''};|-|[[魔法少女まどか☆マギカ>Iris/Explanation#tb_madoka1]]|服/胸も可|
|AC00-0018|[[まどか☆マギカ>IrisCard/NormalIrisCard#AC00-0018]]|&COLOR(#ff0000){''SP''};|-|[[まどか☆マギカ>Iris/Explanation#tb_madoka2]]|服/胸も可|
|AC00-0019|[[ティティルのサポート>IrisCard/NormalIrisCard#AC00-0019]]|&COLOR(#ff0000){''SP''};|-|[[基礎体力強化>Iris/Explanation#tb_hpup]]|服/胸も可|
|~|~|~|~|[[ジャイアントキリング>Iris/Explanation#tb_gkilling]]|~|
|~|~|~|~|[[ヒロインズパーティ>Iris/Explanation#tb_heroineparty]]|~|
|AC00-0020|[[パズドラからの来訪者たち>IrisCard/NormalIrisCard#AC00-0020]]|&COLOR(#ff0000){''SP''};|BGCOLOR(BLACK):COLOR(WHITE):火/水/土/光/闇|[[フェスティバル！>Iris/Explanation#tb_pazdra]]|服も可|
|AC00-0021|[[にしこくん>IrisCard/NormalIrisCard#AC00-0021]]|&COLOR(#ff0000){''SP''};|-|[[にしこくん>Iris/Explanation#tb_nishiko]]|服/胸も可|
|AC00-0022|[[ＭＩＮＤ≒０>IrisCard/NormalIrisCard#AC00-0022]]|&COLOR(#ff0000){''SP''};|-|[[ＭＩＮＤ≒０>Iris/Explanation#tb_mindzero]]|服/胸も可|
|AC00-0023|[[なんでもECO！ザ・ワールド>IrisCard/NormalIrisCard#AC00-0023]]|&COLOR(#ff0000){''SP''};|-|[[真心の絆>Iris/Explanation#tb_tiesofcordiality]]|服/胸も可|
|~|~|~|~|[[みんなの思い出>Iris/Explanation#tb_everybodysRecollections]]|~|
|AC00-0024|[[「劇場版モーレツ宇宙海賊」>IrisCard/NormalIrisCard#AC00-0024]]|&COLOR(#ff0000){''SP''};|-|[[モーレツ宇宙海賊>Iris/Explanation#tb_moretsu]]|服/胸も可|
|AC00-0025|[[『電波教師』からの使者>IrisCard/NormalIrisCard#AC00-0025]]|&COLOR(#ff0000){''SP''};|-|[[電波教師>Iris/Explanation#tb_ultimateTeacher]]|服/胸も可|
|AC00-0026|[[荒木光太郎>IrisCard/NormalIrisCard#AC00-0026]]|&COLOR(#ff0000){''SP''};|-|[[ECO×電波教師>Iris/Explanation#tb_ecoUltimateTeacher]]|服/胸も可|
|AC00-0027|[[パズドラからの新たな来訪者>IrisCard/NormalIrisCard#AC00-0027]]|&COLOR(#ff0000){''SP''};|BGCOLOR(#CCFFFF):光|[[フェスティバル！>Iris/Explanation#tb_pazdra]]|服も可|
|AC01-1010|[[エミルとマーシャ>IrisCard/ExIrisCard0#AC01-1010]]|&COLOR(#ffa500){''R''};|BGCOLOR(#99CCFF):水|[[耐久の心得>Iris/Explanation#tb_taikyuu]]|服も可|
|AC01-1020|[[タイタスとティタ>IrisCard/ExIrisCard0#AC01-1020]]|&COLOR(#ffa500){''R''};|BGCOLOR(#FFFF99):風|[[流水の心得>Iris/Explanation#tb_ryuusui]]|服も可|
|AC01-1030|[[べリアルとルルイエ>IrisCard/ExIrisCard0#AC01-1030]]|&COLOR(#ffa500){''R''};|BGCOLOR(#FFCCCC):火|[[斬鉄の心得>Iris/Explanation#tb_zantetu]]|服も可|
|AC01-3010|[[台所のマーシャ>IrisCard/ExIrisCard0#AC01-3010]]|''C''|BGCOLOR(#99CCFF):水|-|服も可|
|AC01-3020|[[草原のティタ>IrisCard/ExIrisCard0#AC01-3020]]|''C''|BGCOLOR(#CCFFFF):光|-|服も可|
|AC01-3030|[[瞑想するベリアル>IrisCard/ExIrisCard0#AC01-3030]]|''C''|BGCOLOR(#FFCCCC):火|-|服も可|
|AC01-3050|[[キラービー>IrisCard/ExIrisCard0#AC01-3050]]|''C''|-|[[ジャイアントキリング>Iris/Explanation#tb_gkilling]]||
|AC01-3070|[[ＤＥＭ‐スナイパー>IrisCard/ExIrisCard0#AC01-3070]]|''C''|-|[[斬鉄の心得>Iris/Explanation#tb_zantetu]]||
|AC01-4010|[[タイニーとダンプティー>IrisCard/NormalIrisCard#AC01-4010]]|&COLOR(#FF0099){''SR''};|-|[[基礎体力強化>Iris/Explanation#tb_hpup]]||
|~|~|~|~|[[基礎技術力強化>Iris/Explanation#tb_spup]]|~|
|~|~|~|~|[[基礎知力強化>Iris/Explanation#tb_mpup]]|~|
|AC01-4020|[[ネコマタ全員集合！>IrisCard/NormalIrisCard#AC01-4020]]|&COLOR(#FF0099){''SR''};|-|[[斬鉄の心得>Iris/Explanation#tb_zantetu]]||
|~|~|~|~|[[ジャイアントキリング>Iris/Explanation#tb_gkilling]]|~|
|AC01-5010|[[フィオと母親>IrisCard/NormalIrisCard#AC01-5010]]|&COLOR(#ffa500){''R''};|BGCOLOR(#99CCFF):水|[[ジャイアントキリング>Iris/Explanation#tb_gkilling]]||
|AC01-5030|[[デス>IrisCard/NormalIrisCard#AC01-5030]]|&COLOR(#ffa500){''R''};|BGCOLOR(#99FFCC):土|[[ジャイアントキリング>Iris/Explanation#tb_gkilling]]||
|AC01-7010|[[休憩中のエミル>IrisCard/NormalIrisCard#AC01-7010]]|''C''|BGCOLOR(#99FFCC):土|-|服も可|
|AC01-7020|[[祈るマーシャ>IrisCard/NormalIrisCard#AC01-7020]]|''C''|BGCOLOR(#99CCFF):水|-|服も可|
|AC01-7030|[[図書館のタイタス>IrisCard/NormalIrisCard#AC01-7030]]|''C''|BGCOLOR(#FFFF99):風|-|服も可|
|AC01-7040|[[青空のティタ>IrisCard/NormalIrisCard#AC01-7040]]|''C''|BGCOLOR(#CCFFFF):光|-|服も可|
|AC01-7050|[[竜と駆けるベリアル>IrisCard/NormalIrisCard#AC01-7050]]|''C''|BGCOLOR(#FFCCCC):火|-|服も可|
|AC01-7060|[[休日のルルイエ>IrisCard/NormalIrisCard#AC01-7060]]|''C''|BGCOLOR(#CC99FF):闇|-|服も可|
|AC02-0010|[[真夏のルルイエ>IrisCard/ExIrisCard0#AC02-0010]]|&COLOR(#FF0099){''SR''};|-|[[斬鉄の心得>Iris/Explanation#tb_zantetu]]||
|AC02-2010|[[レジスタンスリーダー>IrisCard/ExIrisCard0#AC02-2010]]|&COLOR(#0000ff){''UC''};|-|[[ロングレンジバースト>Iris/Explanation#tb_Lrange]]|限定　武器の射程：3以上|
|AC02-2030|[[ファイアードラゴ>IrisCard/ExIrisCard0#AC02-2030]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#FFCCCC):火|-||
|AC02-3010|[[ブレイドマスター>IrisCard/ExIrisCard0#AC02-3010]]|''C''|-|[[ショートレンジバースト>Iris/Explanation#tb_Srange]]|限定　武器の射程：2以下|
|AC02-3050|[[コッコー>IrisCard/ExIrisCard0#AC02-3050]]|''C''|-|[[ショートレンジバースト>Iris/Explanation#tb_Srange]]|限定　武器の射程：2以下|
|~|~|~|~|[[ウェポンビルダー>Iris/Explanation#tb_weapon]]|~|
