# MobDimension

#author("2022-06-27T18:32:25+00:00","","")
*モンスター（ディメンションダンジョン） [#nf147153]
#contents
#include(MobMenu,notitle)

-ドロップ品凡例
--&color(orange){オレンジ色};：知識があると出やすいもの
--&color(red){赤色};：知識が無ければ出ないもの
--&color(slateblue){紫色};：極めて稀なもの
--&color(#cccccc){灰色};：未確定のもの（情報待ち保留中です）

**エミル世界[#DimensionEmil]

***ディメンション廃炭鉱 [#Haitankou]
|~画像|~名前|~LV|~HP|~Exp/Job|~属性|~性格|~出現場所|~ドロップ品|~使用スキル|~その他|h
|CENTER:|LEFT:|CENTER:|RIGHT:|RIGHT:|CENTER:|LEFT:|LEFT:|LEFT:|LEFT:|LEFT|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Tarantula.jpg,nolink,100x100);|D-タランチュラ|80|6,100|%%3,600/2,900%%&br;4,320/3,480|BGCOLOR(#98fb98):土|Active|B1F&br;B2F|ディメンション石炭&br;毒消しの実&br;ブランクイリスカード&br;光輝の書の断片&br;黒の書の断片|ポイズンパフューム||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Oily.jpg,nolink,100x100);|D-オイリー|81|6,000|%%3,000/3,300%%&br;3,600/3,960|BGCOLOR(#ffdddd):火|Active|B1F|ディメンション石炭&br;高級ヒールポーション&br;マジックポーション&br;スタミナポーション&br;ブランクイリスカード|ファイアストーム|高M.ATK&br;M.DEF高め|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/CutBat.jpg,nolink,100x100);|D-カットバット|81|6,000?|%%3,200/3,000%%&br;3,840/3,600|BGCOLOR(#ffdddd):火|Active|B1F|ディメンション石炭&br;高級ヒールポーション&br;マジックポーション&br;ブランクイリスカード&br;力の結晶|サイレントグリーン&br;ポイズンパフューム||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/CrimsonChief.jpg,nolink,100x100);|D-クリムゾンチーフ|82|6,200|%%3,600/3,600%%&br;4,320/4,320|BGCOLOR(#ffdddd):火|Active|B1F|ディメンション石炭&br;高級ヒールポーション&br;マジックポーション&br;スタミナポーション&br;ブランクイリスカード|コンフューズスタッド&br;ファイアアタック|高.A.SPD&br;S.HIT高め|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Gaburu.jpg,nolink,100x100);|D-ガブル|85|6,800|%%4,300/4,100%%&br;5,160/4,920|BGCOLOR(#ffdddd):火|Active|B1F&br;B2F|ディメンション石炭&br;高級ヒールポーション&br;スタミナポーション&br;ブランクイリスカード|ディレイキャンセル&br;サイレントグリーン||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/MetalA-chin.jpg,nolink,100x100);|D-メタルアーチン|80|5,600|%%4,300/3,900%%&br;5,160/4,680|無|Active|B2F|ディメンション石炭&br;マジックポーション&br;スタミナポーション|エナジーシールド&br;マジックシールド&br;チャージ|高DEF|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/MorningStar.jpg,nolink,100x100);|D-モーニングスター|83|6,600|%%3,700/3,500%%&br;4,440/4,200|BGCOLOR(#98fb98):土|Active|B2F|ディメンション石炭&br;マジックポーション&br;スタミナポーション|アースアタック&br;バイタリティダウン||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Zircon2.jpg,nolink,100x100);|D-ジルコンII|85|7,100?|%%4,000/5,000%%&br;4,800/6,000|BGCOLOR(#c4adff):闇|Active|B2F&br;B3F|ディメンション石炭&br;高級マジックポーション&br;高級スタミナポーション&br;ブランクイリスカードUC&br;光輝の書の断片&br;黒の書の断片|エナジーシールド&br;ヒーリング&br;カオスウィドウ&br;オブセッション||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/KillerBeast.jpg,nolink,100x100);|D-キラービースト|87|7,200|%%4,500/4,500%%&br;5,850/5,820|BGCOLOR(#ffdddd):火|Active|B1F&br;B2F&br;B3F|ディメンション石炭&br;高級ヒールポーション&br;マルチコンディション&br;ブランクイリスカード&br;力の結晶|スロウロジック&br;ハイパーチャージ&br;ファイアアタック||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/RedBeast.jpg,nolink,100x100);|D-レッドビースト|88|7,800|%%5,200/3,800%%&br;6,760/4,940|BGCOLOR(#ffdddd):火|Active|B2F&br;B3F|ディメンション石炭&br;高級ヒールポーション&br;高級スタミナポーション&br;クリティカルの結晶|ファランクス&br;足払い||
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/BlackBear.jpg,nolink,100x100);|D-ブラックベア|89|8,000|%%5,000/5,800%%&br;6,500/7,540|BGCOLOR(#c4adff):闇|Active|B3F|ディメンション石炭&br;高級ヒールポーション&br;リザレクションポーション&br;ブランクイリスカードUC&br;魔力の結晶|ナッシングネス&br;スタンブロウ&br;ダークバラッド&br;バイタリティダウン||
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/DarkBear.jpg,nolink,100x100);|D-ダークベア|90|8,500|%%5,800/5,500%%&br;7,540/7,150|BGCOLOR(#c4adff):闇|Active|B3F|ディメンション石炭&br;最高級ヒールポーション&br;ブランクイリスカード&br;ブランクイリスカード5&br;ブランクイリスカードUC&br;いのちの結晶|スケア&br;スタンブロウ&br;一閃&br;デッドリーアタック||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Metallica.jpg,nolink,100x100);|D-メタリカ|99|150|%%30,000/30,000%%&br;36,000/36,000|無|Active|B1F&br;B2F&br;B3F|ディメンション石炭&br;未知の増幅チップ&br;いのちの結晶&br;力の結晶&br;魔力の結晶&br;クリティカルの結晶|ゴゥアウト&br;ヴァニッシュメント&br;サンクチュアリ&br;マジックスリープ|超高DEF/M.DEF&br;(シールド有で全与ダメ1)&br;25分湧き&br;結晶Drop率が高め|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/%E3%82%AE%E3%82%AC%E3%83%B3%E3%83%86%E3%82%B9.jpg,nolink,100x100);|ギガンテス|100|42,000?|%%20,000/20,000%%&br;24,000/24,000|BGCOLOR(#ffdddd):火|Active|B3F|ディメンション石炭&br;最高級ヒールポーション&br;ブランクイリスカード&br;ブランクイリスカードR|ヴァニッシュメント&br;リカバリーブロック&br;バーンファング&br;デクライズウエポン&br;デクライズシールド(死亡時)&br;リストリクトリバース|ティターンの取巻き&br;BOSS属性|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/%E3%83%86%E3%82%A3%E3%82%BF%E3%83%BC%E3%83%B3.jpg,nolink,100x100);|ティターン|105||%%360,000/360,000%%&br;432,000/432,000|BGCOLOR(#98fb98):土&br;(51↑)|Active&br;瀕死時NonActive|B3F|ディメンション石炭&br;ゴールドメダル(PT)&br;ブランクイリスカードR(PT)&br;ブランクイリスカードSR(PT)&br;&color(slateblue){背負い魔・ブースト};|ハウルアウト&br;アースクライ&br;猛毒スロウガス&br;ハウリングスクイーザー&br;ギガンテス召喚|BOSS&br;出現時にギガンテス召喚を使用&br;取巻き2匹以下で再召喚|

***ディメンション大陸の洞窟 [#Tairiku]
※インス里前の看板横スタート&br; 　 B1FとB5Fは水没(一定時間毎に50ダメージ/100ダメージ)
|~画像|~名前|~LV|~HP|~Exp/Job|~属性|~性格|~出現場所|~ドロップ品|~使用スキル|~その他|h
|CENTER:|LEFT:|CENTER:|RIGHT:|RIGHT:|CENTER:|LEFT:|LEFT:|LEFT:|LEFT:|LEFT|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/OchreJelly.jpg,nolink,100x100);|D-オーカージェリー|90|8,500|%%7,150/6,890%%&br;8,580/7,268|BGCOLOR(#fff68f):風|Active|B1F&br;B2F|マジックポーション&br;ディメンション硬石&br;高級ヒールポーション&br;ブランクイリスカード|ウィンドアタック&br;ファイアアタック&br;アースアタック&br;ウォータアタック||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Dracky.jpg,nolink,100x100);|D-ドラッキー|90|10,000?|%%7,540/7,540%%&br;9,048/9,048|BGCOLOR(#fff68f):風|Active|B1F&br;B2F|高級ヒールポーション&br;高級マジックポーション&br;ディメンション硬石&br;毒消しの実&br;ブランクイリスカード|スリープストライク&br;ロックストーン&br;サイレントグリーン&br;ポイズンパフューム||
