# MotenasiTinyOld

*もてなしタイニー過去データ [#MotenasiOld]
#contents

←[[もてなしタイニーに戻る>MotenasiTiny]]

**2013/08/22以前の毎日もらえるアイテム一覧 [#v183747d]
|~品名|~備考|~最終報告日|~リサイクル(不可/P)|~ワールドゲージ|
|LEFT:|CENTER:|RIGHT:|CENTER:|CENTER:|c
|炎のコロン||2010/10/21|不可||
|水のコロン||2010/10/21|不可||
|風のコロン||2010/10/22|不可||
|大地のコロン||2010/10/22|不可||
|光のコロン||2010/10/21|不可||
|闇のコロン||2010/10/21|不可||
|[[ヒールポーション>http://eco.acronia.net/itemdb/#id=2021]]||2010/10/24|不可||
|[[マジックポーション>http://eco.acronia.net/itemdb/#id=2404]]||2010/10/24|不可||
|[[スタミナポーション>http://eco.acronia.net/itemdb/#id=1355]]||2010/10/21|不可||
|[[リザレクションポーション>http://eco.acronia.net/itemdb/#id=2702]]||2010/10/21|不可||
|[[高級ヒールポーション>http://eco.acronia.net/itemdb/#id=940]]||2010/10/21|不可||
|[[高級マジックポーション>http://eco.acronia.net/itemdb/#id=942]]||2010/10/21|不可||
|[[高級スタミナポーション>http://eco.acronia.net/itemdb/#id=932]]||2010/10/22|不可||
|[[最高級ヒールポーション>http://eco.acronia.net/itemdb/#id=1042]]||2010/10/23|不可||
|[[濃縮マジックポーション>http://eco.acronia.net/itemdb/#id=1881]]||2012/08/03|0|1|
|[[濃縮スタミナポーション>http://eco.acronia.net/itemdb/#id=1879]]||2010/10/22|0||
|[[濃縮マジスタポーション>http://eco.acronia.net/itemdb/#id=1880]]||2010/10/21|0|1|
|[[ヒールサプリメント>http://eco.acronia.net/itemdb/#id=2018]]||2010/10/22|不可||
|[[マジックサプリメント>http://eco.acronia.net/itemdb/#id=2400]]||2010/11/08|不可||
|[[スタミナサプリメント>http://eco.acronia.net/itemdb/#id=1352]]||2010/10/23|不可||
|[[マルチサプリメント>http://eco.acronia.net/itemdb/#id=2482]]||2010/10/22|不可||
|[[リザレクションサプリ>http://eco.acronia.net/itemdb/#id=2701]]||2010/10/22|不可||
|&color(blue){●};∴ヘアカラー・ブルー|（ロック済）|2010/10/24|10|10|
|&color(blue){●};∴ヘアカラー・アイスブルー|（ロック済）|2010/10/21|10||
|&color(blue){●};∴ヘアカラー・オレンジ|（ロック済）|2010/10/21|10||
