# NewWorldFruit

[[特殊なアイテム>SpecialItem]]へ戻る
*新ワールドの実 [#vb84421b]
#contents

**新ワールドの実 [#b68f62e3]
公式サイト：[[新ワールド「ジニア」オープン！限定イベント開催!!:http://www.econline.jp/news/event/166.html]]
-期間限定・新ワールド「Zinnia」限定イベントにより入手可能。
--平原などに稀に生える「百日草」が100％ドロップする。
-熟した実を使用すると、素敵なプレゼントがもらえるかも知れません。
--2007/06/08～2007/06/22の間の最初の1個目は、必ずペットかマリオネットが出る。
--2007/06/22～2007/07/06の間の最初の1個目は、必ずくじ品（第一弾～第五弾）が出る。
--2007/07/06の定期メンテナンス以降は、家具が出やすくなった（？）

|LEFT:|CENTER:|CENTER:|RIGHT:|c
|~品名|~備考|~最終報告日|h
|青い花の種|3個|2007/06/09|
|青い粉末|-|2007/06/08|
|赤い粉末|-|2007/06/23|
|いのちの結晶|-|2007/06/09|
|カッパーメダル|-|2007/06/08|
|カラカラパウダー|-|2007/06/09|
|黄色い花の種|-|2007/06/09|
|黄色い粉末|-|2007/06/09|
|木の種|-|2007/06/09|
|黄緑の粉末|-|2007/06/09|
|キャリアオイル|-|2007/06/09|
|キューティクルエキス|-|2007/06/08|
|クリティカルの結晶|-|2007/06/24|
|黒い粉末|-|2007/06/08|
|研磨剤|-|2007/06/09|
|ゴーレムゴブレット|-|2007/06/09|
|幸せの香水|-|2007/06/09|
|白い花の種|3個|2007/06/08|
|スキャルプエッセンス|-|2007/06/08|
|スタミナポーション|-|2007/06/08|
|セレブの紹介状|-|2007/06/09|
|橙色の粉末|-|2007/07/13|
|橙の花の種|3個|2007/06/08|
|タタラ炉|-|2007/06/09|
|力の結晶|-|2007/06/09|
|鉄のナゲット|-|2007/06/08|
|ナニカの入った宝石|-|2007/06/09|
|花の種|-|2007/06/09|
|ヒールポーション|-|2007/06/08|
|不思議な木の種|-|2007/06/09|
|不思議な干し魚|-|2007/06/23|
|ヘアカラー・ウィンター|-|2007/06/30|
|ヘアカラー・モイストシルバー|-|2007/07/05|
|ヘアカラー・ダルグレー|-|2007/07/05|
|ヘアサロンの紹介状|-|2007/06/09|
|マジックキャンディー|-|2007/06/09|
|マジックポーション|-|2007/06/08|
|魔力の結晶|-|2007/06/09|
|マルチコンディション|-|2007/06/08|
|水色の粉末|-|2007/06/09|
|緑の粉末|-|2007/06/09|
|紫色の花の種|-|2007/06/09|
|紫の粉末|-|2007/06/09|
|破れた魔法書|-|2007/06/08|
|四つ葉のクローバー|-|2007/06/09|
|リザレクションポーション|-|2007/06/08|
|ロイヤルゼリー|-|2007/06/08|
|>|>|~装備品|
|泡だて器|-|2007/07/06|
|ウィザードの靴♀|-|2007/06/11|
|エプロン|-|2007/07/13|
|エンシェントワンド|-|2007/06/26|
|鬼の棍棒|-|2007/06/09|
|鬼のパンツ|-|2007/06/08|
|鬼の服♂|-|2007/06/09|
|鬼の服♀|-|2007/06/09|
|狩人の帽子（若草色）|-|2007/07/08|
|キザなサングラス|-|2007/07/07|
|くせ毛|-|2007/07/11|
|ケルベロスファング|-|2007/06/09|
|恋するエプロン♀|-|2007/07/07|
|ゴスペルシューズ♀|-|2007/06/18|
|ゴスペルローブ|-|2007/06/09|
|作業サンダル♂|-|2007/07/03|
|作業ズボン♂|-|2007/06/26|
|真の探検家のズボン|-|2007/06/09|
|森羅|-|2007/06/09|
|ソードマンブーツ♂|-|2007/06/22|
|ダークハット|-|2007/06/24|
|太刀|-|2007/06/26|
|トライデント|-|2007/07/14|
|ねこのひげ|-|2007/07/11|
|農家の帽子|-|2007/07/11|
|のぼり（看板娘）|-|2007/06/24|
|バリアタブ|-|2007/07/14|
|ハンティングナイフ|-|2007/06/26|
|ピンクの靴♀|-|2007/06/08|
|ファインアックス|-|2007/06/22|
|フェンサーブーツ♂|-|2007/06/24|
|ぽっくり♀|-|2007/06/23|
|メロディアスハンマー|-|2007/07/13|
|りっぱな斧|-|2007/07/14|
|>|>|~家具|
|アーリーハウス|-|2007/07/21|
|アクロポリスハウス|-|2007/07/11|
|あったかコタツ|-|2007/07/06|
|大きな帆柱|-|2007/06/26|
|かがり火|-|2007/07/08|
|花瓶|-|2007/07/08|
|カレンダー|-|2007/07/08|
|機関車|-|2007/07/31|
|きのこな椅子|-|2007/07/13|
|きのこなテーブル|-|2007/07/06|
|キャッスルハウス|-|2007/07/11|
|クリスマスツリー|-|2007/07/06|
|クリスマスの夜の床|-|2007/07/06|
|高級な和室の床|-|2007/07/07|
|小鳥さんのぶらんこ|-|2007/07/13|
|作業用丸太|-|2007/07/14|
|芝生|-|2007/07/08|
|じゅうたん(小)|-|2007/07/08|
|じゅうたん(大)|-|2007/06/09|
|丈夫な帆柱|-|2007/067/06|
|タイニーハウス|-|2007/07/08|
|タペストリー|-|2007/06/23|
|たんす大|-|2007/07/07|
|電気ランプ|-|2007/07/14|
|ドームアーチ|-|2007/07/07|
|灯油ランプ|-|2007/06/11|
|ドレッサー|-|2007/07/09|
|バックパッカーハウス|-|2007/07/09|
|飛行庭の回転帆１枚|-|2007/06/09|
|ファンシーな床|-|2007/11/03|
|ペインティングスタンド|-|2007/06/08|
|ベット|-|2007/07/07|
|ポスト|-|2007/06/09|
|細い帆柱|-|2007/06/09|
|ポップな壁紙|-|2007/06/09|
|ポップなレンガ造りの床|-|2007/07/06|
|本棚|-|2007/07/08|
|マイナーな壁紙|-|2007/07/07|
|丸太のテーブル|-|2007/07/28|
|モーグハウス|-|2007/07/31|
|ランプ|-|2007/06/09|
|ワイルドな壁紙|-|2007/07/18|
|>|>|~マリオネット|
|マリオネット・アイシー|-|2007/06/09|
|マリオネット・インスマウス|-|2007/06/09|
|マリオネット・エレキテル|-|2007/06/08|
|マリオネット・サラマンドラ|-|2007/06/08|
|マリオネット・タイニー|-|2007/06/08|
|マリオネット・マンドラゴラ|-|2007/06/09|
|>|>|~ペット|
|ガトリング砲|-|2007/06/09|
|ココッコー|-|2007/06/09|
|コッコー|-|2007/06/09|
|二足歩行ロボット|-|2007/06/09|
|バウバウ|-|2007/06/09|
|白狼|-|2007/06/08|
|ペガサス|-|2007/06/09|
|マンドラニンジン|-|2007/06/12|
|モモンガ|-|2007/06/09|
|傭兵|-|2007/06/08|
|ロック鳥|-|2007/06/09|
|わんわん|-|2007/06/08|
|>|>|~くじ品|
|水着♂|第一弾|2007/06/22|
|ワンピース水着♀|第一弾|2007/06/22|
|色男のバトラースーツ上♂|第三弾|2007/06/22|
|色男のバトラースーツ下♂|第三弾|2007/06/22|
|リボン付きミニスカート♀|第三弾|2007/06/22|
|おしゃぶり|第三弾|2007/06/22|
|紙袋(いぬ)|第三弾|2007/06/27|
|犬耳（ダックス）|第四弾|2007/06/24|
|牛さんの着ぐるみ|第四弾|2007/07/19|
|古風なメイド服♀|第四弾|2007/06/23|
|ショートブーツ|第四弾|2007/06/24|
|スニーカー|第四弾|2007/06/22|
|ヘアカラー・オータム|第四弾|2007/06/24|
|古風なメイドキャップ|第五弾|2007/06/22|
|ミニオーバーオール（黒）|第五弾|2007/06/22|
|ミニオーバーオール（ピンク）|第五弾|2007/06/23|
|軍用ウエストポーチ|第五弾|2007/06/23|
|フライトジャケットA2|第五弾|2007/06/22|
|イルミネーション装置|第六弾|2007/07/19|
|ウェイトレスの服♀|第六弾|2007/07/06|
|キッチンセット|第六弾|2007/08/17|

**情報提供フォーム [#a649d26a]
#pcomment
