# PetList/Ride

#author("2017-04-07T17:40:56+00:00","","")
#include(Pet/PetMenu,notitle)
*パートナー一覧表 （ライドパートナー） [#y7d2e06b]
#contents

--&color(#0000ff){パラメーターは、06/10/1までに掲示板・コメントで記載されたものを反映しています。&br;仕様変更があったため、育てた時期によっては1～2の差が出ることがあるので参考として下さい。&br;上限に達したかは%%転生の際のパラメーター上昇で判断するといいでしょう。%% 数字の色が緑色になったかで判断できます。};
--パラメーターは、レイアウトの関係で英語表記としています。
---パラメーターの表示順序はゲーム内の説明と同じです。
---初期パラメーターのうち、&color(#a0a0a0){''灰色で表示''};されたものは旧隠しステータスであり、数値が不正確である場合があります。確定したもののみ黒で表示に戻してください。
--07/02/23にパートナーのHP回復アイテムが統合されました。
---「ピュアエナジー」「大人の回復薬」「バードケーキ」「鉱油」「樹液」⇒「ペットフード」に統合。14/07/24に「パートナーフード」に改名・
--07/10/12にペットのステータス調整が実施されました。
--13/06/27に各種隠しステータスの通常表示化、及び、カウントストップ・ステータス値の緑字表示化の仕様変更が行われました。
--13/12/26より飛空庭に設置が可能になりました。設置後右クリックでポーズを変えることができます。
--14/07/24に「ペット」から「パートナー」にカテゴリ名が変更されました。
プレイヤー間では未だペットと呼ぶ人も少なくないが、総じて「パートナー」の事を指す。


//修正値反映完了パートナー：ネコマタ緑、ネコマタ杏、青ドラゴ
//（上昇したパラメーターはとりあえず赤字にしています。パラメーターを更新された方は、上の日付の変更もお願いします。）

**ライドパートナー [#xbf16ef7]

***[[ライドクローラー>#RC]] [#q42355cd]
|CENTER:128|CENTER:120|CENTER:90|CENTER:80|CENTER:70|CENTER:390|c
|~画像|~固有命令スキル&br;習得可能職業|~初期&br;パラメーター|~成長&br;(転生前)((黒は限界値が確定していると思われるパラメーター、灰色はまだ限界値が確定していないと思われるパラメーターです。))|~説明と入手法|h
|CENTER:128|CENTER:120|RIGHT:90|RIGHT:80|LEFT:390|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/pet/RideClawler.jpg,nolink,128x128);|なし|HP:170&br;ATK:13&br;M.ATK:12&br;DEF:10&br;M.DEF:25&br;S.HIT:12&br;L.HIT:8&br;M.HIT:27&br;S.AVOID:3&br;L.AVOID:3&br;M.RST:15&br;CRITICAL:1&br;CAPA:+120&br;PAYL:+120&br;&br;C.AVOID:1&br;A.SPD:140&br;C.SPD:120&br;RCV:110&br;M.RCV:1&br;S.RCV:0|&color(#f00000){+930};&br;+52&br;+36&br;&color(#f00000){+110};&br;&color(#f00000){+90};&br;+36&br;+24&br;+81&br;+18&br;+15&br;+30&br;+11&br;&br;&br;&br;&color(#a0a0a0){+11};&br;+200&br;&color(#a0a0a0){+180};&br;+110&br;+6&br;+100|移動速度は、プチクローラー時代の育成量に応じます[[（速度検証）>Pet#f7609263]]。&br;ステータスもプチクローラー時代のを引継ぎ、更に転生回数１から始まります。擬似態&br;&br;【パッシブスキル】&br;擬似態 &br;移動以外の行動をしなければアクティブモンスターに狙われなくなる。&br;ダンジョンでは無効。BOSSに無効。&br;&br;【入手法】&br;[[ファーイーストイベント参照>Quest/Fareast#ride_crawler]]|

***[[ファイアードラゴ>#FireDrago]] [#k67fd6b4]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/pet/FireDorago.jpg,nolink,128x128);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;&br;&color(#a0a0a0){左DEF:26};&br;C.AVOID:4&br;A.SPD:150&br;C.SPD:130&br;RCV:120&br;M.RCV:1&br;S.RCV:0|&color(#f00000){+1250};&br;+196&br;+129&br;&color(#f00000){+113};&br;&color(#f00000){+82};&br;+129&br;+48&br;+39&br;+84&br;+45&br;+28&br;+63&br;&br;&br;&color(#a0a0a0){+16};&br;+200&br;+200&br;+120&br;&color(#a0a0a0){+12};&br;+100|ドラゴンの騎乗パートナー&br;フィールドではブルードラゴより速い&br;モーションディレイが長い&br;&br;【入手法】&br;１：ペペン、プルーンが稀にドロップする。&br;２：[[ドラゴ入手イベント参照>Event/Others#wef43354]]|

***[[ブルードラゴ>#BlueDorago]] [#red35e00]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/pet/BlueDorago.jpg,nolink,128x138);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;&br;C.AVOID:4&br;A.SPD:150&br;C.SPD:130&br;RCV:120&br;M.RCV:1&br;S.RCV:0|&color(#f00000){+1150};&br;+196&br;+129&br;&color(#f00000){+113};&br;&color(#f00000){+82};&br;+129&br;+48&br;+39&br;+84&br;+45&br;+28&br;+63&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+120};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|ドラゴンの騎乗パートナー&br;フィールドではファイアードラゴより遅く、&br;ダンジョンではファイアードラゴより速い&br;モーションディレイが長い&br;&br;【パッシブスキル】&br;[[ケイブギャロップ>Skill/Special#t08ba9e3]]&br;ダンジョンで速度アップ&br;&br;【入手法】&br;１：サイクロプス、オーガが稀にドロップする。&br;２：[[ドラゴ入手イベント参照>Event/Others#wef43354]]|
