# Quest/Fishing

*釣りクエスト [#w14dcb62]
←[[クエスト>Quest]]へ戻る
←[[釣り>Fishing]]へ戻る

「釣具屋店員」と南ウテナ開拓地に居る「流れの釣具屋」から受けられる収集クエスト。
「釣具屋店員」はイストー岬の村、ウェストー開拓地、ノーザリン岬、マイマイ島、オアシス、および飛空城の釣り堀にいる。

//クエアイテムの強調表示はエルシエル・開拓地等統一とれていますので//
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
|~Lv|~条件|~クエスト名|~時間|~内容|~EXP&br;報酬|~備考|h
|LEFT:|CENTER:|LEFT:|RIGHT:|RIGHT:|CENTER:|LEFT:|c
|>|>|>|>|>|>|LEFT:~採取|
|~-|-|釣堀の入手|900分|[[''オオサンショウウオ''>http://eco.acronia.net/itemdb/#id=371]] 1個&br;[[''リュウグウノツカイ''>http://eco.acronia.net/itemdb/#id=2709]] 1個&br;[[''ジンベイザメ''>http://eco.acronia.net/itemdb/#id=1292]] 1個|165/165&br;240G&br;釣堀|クエスト3消費&br;釣堀はペイキャパ100なので&br;貰う際注意&br;淡水P2、海水P2|
|~14-50|-|錦鯉を我が家に！|900分|[[''錦鯉''>http://eco.acronia.net/itemdb/#id=1789]] 5個|2,700/2,700&br;2,400G|淡水P1&br;2013/04/10更新|
|~|BP系|金のフナを探して欲しい|~|[[''キンブナ''>http://eco.acronia.net/itemdb/#id=789]] 3個|4,050/4,050&br;2,400G|泥水P2&br;2013/04/10更新|
|~14-30|-|桜和金の誘惑|900分|[[''桜和金''>http://eco.acronia.net/itemdb/#id=1067]] 10個|4,050/4,050&br;3,600G|淡水P1&br;2013/04/10更新|
|~|BP系|鉄魚の浪漫|~|[[''鉄魚''>http://eco.acronia.net/itemdb/#id=1594]] 5個|6,075/6,075&br;3,600G|淡水P1&br;2013/04/10更新|
|~|~|魅惑の出目金|~|[[''出目金''>http://eco.acronia.net/itemdb/#id=1621]] 5個|~|淡水P1&br;2013/04/10更新|
|~19-35|-|ワカサギホイホイ|900分|[[''ワカサギ''>http://eco.acronia.net/itemdb/#id=2830]] 10個|7,362/7,362&br;4,800G|淡水P2&br;2013/04/10確認|
|~|BP系|サンショウウオが飼いたい|~|[[''サンショウウオ''>http://eco.acronia.net/itemdb/#id=1093]] 5個|11,043/11,043&br;4,800G|淡水P2&br;2013/04/10確認|
|~|~|マンボウゲッター|~|[[''マンボウ''>http://eco.acronia.net/itemdb/#id=2488]] 5個|~|海水P1&br;2013/04/10確認|
|~24-40|-|危険なサメを捕まえて|900分|[[''ホオジロザメ''>http://eco.acronia.net/itemdb/#id=2318]] 10個|8,988/8,988&br;6,000G|海水P2&br;2013/04/10確認|
|~|BP系|今夜はアンコウ鍋|~|[[''アンコウ''>http://eco.acronia.net/itemdb/#id=140]] 5個|13,482/13,482&br;6,000G|海水P1&br;2013/04/10確認|
|~|~|この毒が病みつき|~|[[''トラフグ''>http://eco.acronia.net/itemdb/#id=1715]] 5個|~|海水P2&br;2013/04/10確認|
|~29-45|-|白銀のアロワナ|900分|[[''シルバーアロワナ''>http://eco.acronia.net/itemdb/#id=1260]] 10個|13,389/13,389&br;7,200G|泥水P1&br;2013/04/10確認|
|~|BP系|水面に浮かぶ花|~|[[''スイレン''>http://eco.acronia.net/itemdb/#id=1695]] 5個|20,082/20,082&br;7,200G|泥水P2&br;2013/04/10確認|
|~|~|黄金色のアロワナ|~|[[''ゴールデンアロワナ''>http://eco.acronia.net/itemdb/#id=964]] 5個|~|泥水P1&br;2013/04/10確認|
|~34-50|-|水生昆虫の調査|900分|[[''ゲンゴロウ''>http://eco.acronia.net/itemdb/#id=898]] 5個&br;[[''ヤゴ''>http://eco.acronia.net/itemdb/#id=2615]] 5個|17,628/17,628&br;8,400G|泥水２，P3|
|~|BP系|水槽の掃除屋|~|[[''タニシ''>http://eco.acronia.net/itemdb/#id=1479]] 5個|26,442/26,442&br;8,400G|泥水P2|
|~39-55|-|水辺の安全を確保せよ！|900分|[[''アリゲーター''>http://eco.acronia.net/itemdb/#id=115]] 5個&br;[[''クロコダイル''>http://eco.acronia.net/itemdb/#id=856]] 5個|22,785/22,785&br;9,600G|泥水P2|
|~|BP系|害魚ハンター１|~|[[''ブルーギル''>http://eco.acronia.net/itemdb/#id=2221]] 5個|34,178/34,178&br;9,600G|泥水P3|
|~|~|害魚ハンター２|~|[[''ピラルク''>http://eco.acronia.net/itemdb/#id=2103]] 5個|~|泥水P3|
|~|~|害魚ハンター３|~|[[''マレーコッド''>http://eco.acronia.net/itemdb/#id=2483]] 5個|~|泥水P3|
