# Skill/Bountyhunter/Table

#author("2017-01-05T18:28:59+00:00","","")
-詳しい説明は別ページにある[[''スキル詳細''>../Explanation#r97b20b4]]を参照。(&color(red){スキル名からもリンクしている};)
-''&color(red){威力はATK比を基準とする。};''
例：（使用者のATKのみを考慮した場合）ATK100で威力200%なら与えるダメージは200となる。
//-型：アクティブスキル＝''&color(red){A};''、パッシブスキル＝''&color(blue){P};''
-スキル名称の色は&color(red){アクティブスキル};と&color(blue){パッシブスキル};に分類。&color(RED){アクティブスキルはLVの調整が可能};である。
-評価
--上位互換スキルがある場合は習得Lv近辺で評価
☆:必須クラス
◎:取得推奨
○:あると便利
△:限定状況でのみ役に立つ
×:全く役に立たない
-[[無限回廊（奈落階層）>Dungeon/InfiniteCorridorAbyss]]でのスキル評価はこちら→''[[無限回廊奈落でのスキル考察 #バウンティハンター>Dungeon/InfiniteCorridorAbyssSkill#f58902fa]]''


RIGHT:&edit(,noicon){スキル早見表を編集};
|~Job&br;Lv|~スキル名称|~最大&br;Lv|~消費SP|~装備条件|~対象|~評&br;価|~効果･備考|h
|CENTER:|LEFT:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|LEFT:|c
|~3|''[[&color(blue){二段斬り};>../Explanation#va35d659]]''|Lv10|-|剣・短剣|-|◎|一定確率で連続して攻撃を行う。AGI型なら☆。AGIが極端に低い場合は△&br;発動率はMAXLv10で2割。スキル狩りするなら不要。|
|~5|''[[&color(blue){人間系ダメージ上昇};>../Explanation#vfae69bd]]''|Lv5|-|無し|-|◯|対象が人間系の場合攻撃力上昇。&br;狩りメインでも取ってて損はない。|
|~7|''[[&color(blue){ツーハンドアックスマスタリー};>../Explanation#j135d8f5]]''|Lv5|-|両手斧|-|△|両手斧装備時に最低攻撃力を上昇させる。&br;[[アックスマスタリー>Skill/SwordMan/Explanation#d1b62153]]併用可&br;恩恵が1番大きいのがLv1だが、両手斧使いならば☆|
|~10|''[[&color(red){連続居合い斬り};>../Explanation#l8ea120c]]''|Lv5|5/10/15/20/25|一般|単体|◯|所持している[[居合い>Skill/SwordMan/Explanation#s5b95493]]・[[居合い２段>Skill/SwordMan/Explanation#q57e7057]]・[[居合い３段>Skill/SwordMan/Explanation#vfaaf54a]]を連続で放つ。&br;所持していない段数は不発になる。&br;二次職で百鬼哭や斬撃無双などの連続技を覚えるまでは便利かも|
|~12|''[[&color(red){シールドスラッシュ};>../Explanation#g0c55303]]''|Lv3|12/18/24|一般|単体|◯|対象の盾を狙う攻撃を行う。&br;対象部位に憑依者がいた場合一定確率で強制離脱させる。&br;狩りではただの攻撃スキルだが、使い勝手は良い。&br;スラッシュ系を1つだけ攻撃用に覚えるのは◎評価。|
|~14|''[[&color(red){アームスラッシュ};>../Explanation#g0c55303]]''|Lv3|12/18/24|一般|単体|◯|対象の腕を狙う攻撃を行う。&br;対象部位に憑依者がいた場合一定確率で強制離脱させる。&br;狩りではスラッシュ系は全て同じ性能。|
|~16|''[[&color(red){みね打ち};>../Explanation#ed262ac4]]''|Lv5|10/14/18/22/26|一般|単体|△|相手を強打して気絶させる攻撃。&br;スタン確率は、[[スタンブロウ>Skill/SwordMan/Explanation#c180d595]]と大差はない。&br;居合いより高威力なみね打ちとはこれいかに。&br;範囲スタンのディスラプションもあるのでどちらかを選択。|
|~18|''[[&color(red){ストレートスラッシュ};>../Explanation#g0c55303]]''|Lv3|12/18/24|一般|単体|◯|対象の胴を狙う攻撃を行う。&br;対象部位に憑依者がいた場合一定確率で強制離脱させる。&br;狩りではスラッシュ系は全て同じ性能。|
|~20|''[[&color(red){オーナメントスラッシュ};>../Explanation#g0c55303]]''|Lv3|12/18/24|一般|単体|◯|対象の胸アクセサリーを狙う攻撃を行う。&br;対象部位に憑依者がいた場合一定確率で強制離脱させる。&br;狩りではスラッシュ系は全て同じ性能。|
|~23|''[[&color(red){スラッシュコンビネーション};>../Explanation#z56ecdd2]]''|Lv3|24/36/48|一般|単体|×|対象の憑依箇所をランダムに三回攻撃する。&br;スラッシュを習得していない憑依箇所への攻撃は不発になる。&br;対モンスターの場合は三段斬り。|
