# Skill/Commando/Table

#author("2017-02-25T09:35:24+00:00","","")
-型：アクティブスキル＝''&color(red){A};''、パッシブスキル＝''&color(blue){P};''
-評価
--上位互換スキルがある場合は習得Lv近辺で評価
☆:必須クラス
◎:取得推奨
○:あると便利
△:限定状況でのみ役に立つ
×:全く役に立たない
-[[無限回廊（奈落階層）>Dungeon/InfiniteCorridorAbyss]]でのスキル評価はこちら→''[[無限回廊奈落でのスキル考察 #コマンド>Dungeon/InfiniteCorridorAbyssSkill#u4ef996e]]''

RIGHT:&edit(,noicon){スキル早見表を編集};
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
|~Job&br;Lv|~名称|~Max&br;Lv|~型|~対象|~射程|~消費MP/SP|~装備条件|~憑依使用|~効果|~評価|~備考|h
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|LEFT:|CENTER:|CENTER:|LEFT:200|CENTER:|LEFT:150|c
|~3|[[人間系回避率上昇>../Explanation#tre1]]|5|''&color(blue){P};''|自分|-|-|無し|-|対象が人間系の場合回避率上昇。|◎|大きいとみるか小さいとみるか|
|~5|[[ハンドガンマスタリー>../Explanation#tre2]]|5|''&color(blue){P};''|自分|-|-|銃|-|短銃装備時に最低攻撃力を上昇させる。|☆|銃を使うなら|
|~7|[[タックル>../Explanation#tre3]]|5|''&color(red){A};''|敵単体|1|MP - &br; SP 5/8/11/14/17|無し|可|敵に体当たりして相手を弾き飛ばす。&br;体術スキル。|△|敵を大きく弾き飛ばすが、硬直効果はないためすぐに詰め寄られる。|
|~9|[[ランドマイン>../Explanation#tre4]]|3|''&color(red){A};''|地面範囲|自分中心|MP - &br; SP 4/6/8|無し|可|地面に地雷を埋める。&br;敵が踏んだら爆発する。&br;専用のアイテム『[[地雷>http://eco.acronia.net/itemdb/#id=1255]]』が必要。|△|演習用。範囲が狭いため固めて設置する事ができる|
|~11|[[体術マスタリー>../Explanation#tre5]]|3|''&color(blue){P};''|自分|-|-|無し|-|体術系スキルの威力と命中を上昇させる。|☆|体術スキルを使うなら必須。|
|~13|[[バラージショット>../Explanation#tre6]]|5|''&color(red){A};''|敵単体|5|MP - &br; SP 15/20/25/30/35|銃|可|一度に多数の弾丸を放つことが出来る。&br;ただし命中は低下する。|◎|遠距離減衰が痛い。近距離からの使用推奨|
|~15|[[羽交い絞め>../Explanation#tre7]]|3|''&color(red){A};''|敵単体|1|MP - &br; SP 10/15/20|無し|不可|SPが切れるまで対象の移動と行動を封じる。&br;その間の対象への攻撃の一部は術者に命中する。|△|再召喚するボス戦向け。&br;取り巻きをこれで隔離できればその分楽にボス戦を進められる|
|~17|[[ラッシュ>../Explanation#tre8]]|5|''&color(red){A};''|敵単体|1|MP - &br; SP 5/8/11/14/17|無し|可|4回の連続攻撃を行う。&br;体術スキル。|△→◎|%%[[ブランディッシュ>Skill/Scout/Explanation#g56ad3f6]]にも劣るスキル%%アップデートで大幅に強化され、三次の高レベルになるまでの主力に。&br;投擲・銃でも触媒消費なしで使える。投擲☆、銃はバラージと選択|
|~19|[[足払い>../Explanation#tre9]]|5|''&color(red){A};''|敵単体|1|MP - &br; SP 8/12/16/20/24|無し|不可|敵の足を払う。&br;成功すると相手のスキル詠唱を止めてスキル発動を無効化できる。&br;体術スキル。|○|Lvが上がるごとにスキル妨害の確率が上がる。連打も効くため取っておいて損はない。ダメージソースとしては△|
