# Skill/Eraser/Table

-型：アクティブスキル＝''&color(red){A};''、パッシブスキル＝''&color(blue){P};''
-評価
--上位互換スキルがある場合は習得Lv近辺で評価
☆:必須クラス
◎:取得推奨
○:あると便利
△:限定状況でのみ役に立つ
×:全く役に立たない
-[[無限回廊（奈落階層）>Dungeon/InfiniteCorridorAbyss]]でのスキル評価はこちら→''[[無限回廊奈落でのスキル考察 #イレイザー>Dungeon/InfiniteCorridorAbyssSkill#x9dcd76e]]''

RIGHT:&edit(,noicon){スキル早見表を編集};

|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
|~Job&br;Lv|~名称|~Max&br;Lv|~型|~対象|~射程|~消費MP・SP|~装備条件|~憑依&br;使用|~効果|~評&br;価|~備考|h
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|LEFT:|CENTER:50|CENTER:|LEFT:200|CENTER:|LEFT:150|c
|~3|''[[トータルコンバットマスタリー>../Explanation#reino1]]''|5|''&color(blue){P};''|-|-|CENTER:-|短剣、&br;銃、爪|-|パッシブスキル。&br;短剣、投擲、爪、銃の攻撃力、命中率、クリティカル率を上昇させる。&br;また、体術系スキルの威力と命中を上昇させる。この効果は&br;[[体術マスタリー>Skill/Commando/Explanation#tre5]]、[[ハンドガンマスタリー>Skill/Commando/Explanation#tre2]]、[[クローマスタリー>Skill/Assassin/Explanation#clawmastery]]、[[ショートソードマスタリー>Skill/Scout/Explanation#ca77e679]]と効果が重複する。|☆|%%投擲には効果が無い。%%|
|~6|''[[AVOIDコミュニオン>../Explanation#reino2]]''|5|''&color(red){A};''|PT|マップ全体|【SP】&br;最大100|無し|不可|一定時間、自身を含むパーティーメンバー全員の近距離回避力、遠距離回避力を上昇させる。&br;このスキルはパーティーを組んでいないと使用することができない。 |◯|PTメンバー全員が物理攻撃への回避率を高める。&br;ただし低AGIのメンバーに対してはあまり意味が無い。|
|~10|''[[イレイザー>../Explanation#reino3]]''|5|''&color(red){A};''|自分|-|【SP】&br;32/42/52/62/72|無し|不可|スキル効果中、攻撃対象の物理防御力を無視した攻撃を行うことができる。&br;ただし、効果中は移動速度が低下する。 |☆|高DEFのMOB対策に。移動速度が遅くなるので主にソロ、対ボス、狭いマップで。|
|~13|''[[ノーティオ>../Explanation#reino4]]''|5|''&color(blue){P};''|-|-|-|無し|-|対象に与えたダメージの一部を憑依者に与えることができる |△|PvP専用|
|~20|''[[エフィカス>../Explanation#reino5]]''|5|''&color(red){A};''|自分|-|【SP】&br;24/30/36/42/48|無し|可|スキル効果中、トドメを刺すことで与ダメージボーナスを得ることができる。&br;自身が死亡した場合やスキル効果が消えると、ボーナスも消失する。 |☆|最大で与ダメージが200％にもなる。|
|~23|''[[リベンジアタック>../Explanation#reino6]]''|5|''&color(blue){P};''|-|-|-|無し|-|対象に対してミスをした時、一定の確率で攻撃する|△/◯|[[GK>Iris/Explanation#tb_gkilling]]がなく爪・短剣等で通常攻撃狩りする人用。通常攻撃にしか適用されない|
|~25|''[[見切り>../Explanation#reino7]]''|5|''&color(red){A};''|自分|-|【SP】&br;100|無し|不可|使用すると、一定の確率で物理・魔法攻撃を回避することが出来る。&br;ただし、ダメージ反射など特殊な攻撃を回避することが出来ない。|◯|固有ディレイが長い為、緊急時用。|
|~30|''[[悪鬼>../Explanation#b8b7d8c6]]''|3|''&color(red){A};''|単体|1|【SP】&br;15/17/19|無し|可|状態異常を付与する連続攻撃を行う。&br;効果は対モンスター、対プレイヤーによって異なる。 |◎|燃費、状態異常付与と使い勝手に優れる。二次スキルが強化されたため相対価値は下がったものの依然便利|
|~35|''[[マーシレスシャドウ>../Explanation#o9165630]]''|5|''&color(red){A};''|単体を中心にした円|5|【SP】&br;26/32/38/44/50|無し|不可|範囲内にいる対象を攻撃し、一定確率で硬直を与える。&br;さらに、攻撃後はクローキング状態となる。 |◯|[[クローキング>Skill/Assassin/Explanation#cloaking]]目線で考えると優良スキル。&br;クローキング目当てならLv1推奨|
|~40|''[[影縫い>../Explanation#mf06a917]]''|5|''&color(red){A};''|地面を中心にした円|9|【MP】&br;2/4/6/8/10&br;【SP】&br;13/16/19/22/25|無し|不可|一定時間、相手を硬直させる。 &br;また、一定確率で対象を即死させることができる。|◯|即死成功率は低いが硬直成功率は高い。雑魚モンスターに囲まれた時にかなり有効。%%演習時使用不可%%|
|~45|''[[ポイズンマスター>../Explanation#i7523c2a]]''|5|''&color(blue){P};''|-|-|-|無し|-|毒関連のスキルの効果が向上する。|◯|狂気毒使いなら☆。&br;短剣使いでも豪腕毒などATK上昇可能|
|~47|[[''ヴェノムブラスト''>../Explanation#rdfb8e59]]|5|''&color(red){A};''|単体|1|【SP】&br;30/40/50/60/70|無し|不可|指定した対象を中心に毒効果を持った爆破を起こす。&br;「スキャターポイズン」を習得していると初撃の威力が、 「セットボム」を習得していると爆破の威力が上がる。&br;習得レベルにより状態異常が追加される。&br;さらに「リカバリーブロック」を習得しているとリカバリーブロック、「デッドリーアタック」を習得していると硬直を状態異常に追加することができる。|☆|貴重な広範囲攻撃スキル。威力もそれなりにあるので十分使える。|
|~50|[[''刹那''>../Explanation#k07c7e48]]|5|''&color(red){A};''|単体|4|【SP】&br;90/110/130/150/170|無し|不可|一瞬でクリティカル発生率の高い攻撃を与える。&br;「刹那」から「悪鬼」につなげたり、「悪鬼」から「刹那」へつなげることができる。|☆|使いやすい単体高倍率スキル。状況によってヴェノムブラストと使い分けを。|
