# Skill/Harvest/Table

#author("2017-04-24T14:05:01+00:00","","")
-型：アクティブスキル＝''&color(red){A};''、パッシブスキル＝''&color(blue){P};''
-評価
--上位互換スキルがある場合は習得Lv近辺で評価
--仕様変更等で修正が入った場合は、×→○　と表記
☆:必須クラス
◎:取得推奨
○:あると便利
△:ポイントが余ったなら
×:不要
/ :条件による違い。ここでは戦闘評価と生産評価。
-[[無限回廊（奈落階層）>Dungeon/InfiniteCorridorAbyss]]でのスキル評価はこちら→''[[無限回廊奈落でのスキル考察 #ハーヴェスト>Dungeon/InfiniteCorridorAbyssSkill#wee84aff]]''

RIGHT:&edit(,noicon){スキル早見表を編集};
|~Job&br;Lv|~名前|~Max&br;Lv|~装備条件|~型|~対象|~憑依中|~効果|>|~評価|~備考|
|~|~|~|~|~|~|~|~|~STR型|~MAG型|~|
|CENTER:|LEFT:|CENTER:|CENTER:|LEFT:|CENTER:|CENTER:|LEFT:|CENTER:|CENTER:|LEFT:|c
|3|''[[武具融合>../Explanation#CombinationEquipment]]''|1|無し|''&color(red){A};''|単体か自分|×|自身や他者の武具融合を行うことが出来る。&br;触媒として「[[おしゃれな糸>http://eco.acronia.net/itemdb/#id=393]]」を1つ消費する。|>|×/◎|NPCでも代行可&br;NPCなら触媒なしでもできるが触媒の有無問わず費用はかかる。&br;このスキルの利点は解除と併せてこそ真価を発揮する。|
|6|''[[PAYLコミュニオン>../Explanation#PaylCommunion]]''|5|無し|''&color(red){A};''|自分の地面|×|一定時間、自身を含むパーティーメンバー全員のペイロードを上昇させる。&br;このスキルはパーティーを組んでいないと使用することができない。|>|×|CAPAは上昇しない。&br;使うタイミングがまったくない|
|10|''[[ハーヴェスト>../Explanation#Harvest]]''|5|無し|''&color(red){A};''|自分を中心とした円|×|自身を中心とした範囲内にいる対象の物理攻撃力、魔法攻撃力を一定時間低下させる。&br;さらに、対象から徐々にHPを一定値、自身に吸収する効果を付与する。|>|◎|1分～3分の固有ディレイあり。BOSSにも必中。&br;Lv1は◎　それ以外は長詠唱で高DEXでも実用範囲外|
|13|''[[潜在・防具強化>../Explanation#EnhancedArmorPotential]]''|1|無し|''&color(red){A};''|単体か自分|×|潜在防具強化を行うことができる|>|×/◎|NPCで代行可。使うときのみ習得すればよい。&br;''防具''しか強化できない。「[[潜在・''武器''強化>Skill/Maestro/Explanation#reino4]]」はマエストロスキル|
|20|''[[ネガティブハーヴェスト>../Explanation#NegativeHarvest]]''|5|無し|''&color(red){A};''|自分を中心とした円|×|自身を中心とした範囲内にいる被ハーヴェスト状態の対象に対して状態異常を与える&br;触媒として「[[トキシケートポーション>http://eco.acronia.net/itemdb/#id=1679]]」を1個消費する|>|○|1分の固有ディレイあり。効果は優秀だが前提条件がきつい。&br;ボスにも効くが攻撃速度低下は効果時間1/2、それ以外は1/10になる|
|23|''[[武具融合分解>../Explanation#skill1]]''|1|無し|''&color(red){A};''|単体か自分|×|武具融合分解を行う。分解して戻ってきた融合元アイテムは&br;耐久度が　１　最大耐久度が　１　の状態となる。|>|×/☆|NPCで代行不可。&br;実装から時間が経ってもスキル価値が落ちない、生産スキルの華|
|25|''[[黒薔薇の棘>../Explanation#skill2]]''|5|無し|''&color(red){A};''|自分|宿|残りHPより大きなダメージを受けた際に一度だけ反射する|>|×→○|威力大のスキルを防ぎきれないときの保険。%%演習向け%%演習中使用不可。狩りは○→×|
|30|''[[プリックルシード>../Explanation#PrickleSeed]]''|5|無し|''&color(red){A};''|敵単体|×|対象を一定時間攻撃してくれる植物を出現させる&br;Lv4以上で毒の追加効果|>|○|ステータス非依存。4匹出す事で地味に火力になるが、3次JOB30の火力としては不足気味。&br;但し習得可能時点では覚えないと尚更火力不足。|
