# Skill/Maestro/Table

#author("2017-04-24T14:05:53+00:00","","")
-型：アクティブスキル＝''&color(red){A};''、パッシブスキル＝''&color(blue){P};''
-評価
--上位互換スキルがある場合は習得Lv近辺で評価
☆:最終的に取得必須
◎:取得推奨
◯:あると便利
△:使い道が少ない、もしくは微妙
×:不要
-[[無限回廊（奈落階層）>Dungeon/InfiniteCorridorAbyss]]でのスキル評価はこちら→''[[無限回廊奈落でのスキル考察 #マエストロ>Dungeon/InfiniteCorridorAbyssSkill#y530ce43]]''

RIGHT:&edit(,noicon){スキル早見表を編集};
|~Job&br;Lv|~Max&br;Lv|~名称|~略|~型|~対象|~評&br;価|~効果|~備考|
|CENTER:|CENTER:|LEFT:|LEFT:|CENTER:|CENTER:|CENTER:|LEFT:|LEFT:|c
|3|1|''[[武具強化>../Explanation#reino1]]''||''&color(red){A};''|単体|△|自身や他者の武具強化を行うことが出来る。|よく強化をするなら◎|
|6|5|''[[ATKコミュニオン>../Explanation#reino2]]''||''&color(red){A};''|PT|◯|一定時間、自身を含むパーティーメンバー全員の物理攻撃力を上昇させる。&br;このスキルはパーティーを組んでいないと使用することができない。|大幅にATKを上げる強烈なサポートスキル。&br;ただし二足歩行ロボ騎乗時には効果が無い。|
|10|5|''[[マエストロ>../Explanation#reino3]]''||''&color(blue){P};''|-|☆|パッシブスキル。&br;自身が機械系のパートナーを装備、もしくは騎乗している場合、対象のパートナーのステータスに自身のステータスを付与する。|特に理由が無い限りは取得推奨|
|13|1|''[[潜在・武器強化>../Explanation#reino4]]''||''&color(red){A};''|単体|◯|潜在武器強化を行う。&br;但し、憑依中は使用できない。|NPCで代行可能。&br;''武器''しか強化できない。「[[潜在・''防具''強化>Skill/Harvest/Explanation#EnhancedArmorPotential]]」はハーヴェストスキル|
|20|5|''[[マニューバー・アタッカー>../Explanation#reino5]]''||''&color(red){A};''|自分|☆|一定時間、攻撃力を飛躍的に上昇させるが、効果が切れると反動で一定時間攻撃力が低下する。&br;二足歩行ロボに搭乗している時に使用可能。|デメリットと引き換えに大幅にATKを上昇させる。&br;他のマニューバーと併用不可|
|23|5|''[[マニューバー・ディフェンス>../Explanation#reino6]]''||''&color(red){A};''|自分|☆/×|一定時間、防御力を飛躍的に上昇させるが、効果が切れると反動で一定時間防御力が低下する。&br;二足歩行ロボに搭乗している時に使用可能。|かたくなります。&br;他のマニューバーと併用不可。&br;リミットイクシードを使う場合は☆、使わない場合は×|
|25|5|''[[マニューバー・スピード>../Explanation#reino7]]''||''&color(red){A};''|自分|△|一定時間、攻撃スピードを飛躍的に上昇させるが、効果が切れると反動で一定時間攻撃スピードが低下する。&br;二足歩行ロボに搭乗している時に使用可能。|低AGIでもカンストに近いほどの攻撃速度に。&br;他のマニューバーと併用不可|
|30|5|''[[ウエポンエンハンス>../Explanation#reino8]]''||''&color(red){A};''|単体|△|一時的に武器の攻撃力を強化しクリティカル発生率を上昇させる。&br;武器を外してしまうと効果は消滅する、[[ウェットウエポン>Skill/Blacksmith/Explanation#t630128f]]習得Lvによりクリティカル発生率上昇。|表記に反してクリティカルへの補正が実感できない&br;[[フレイムハート>Skill/Blacksmith/Explanation#t0d9c5f7]]同様ロボには乗らないので微妙。&br;ATKアップスキルと競合しないので補助スキルとしての価値はある。|
|35|5|''[[ロックフォール>../Explanation#reino9]]''||''&color(red){A};''|自分を中心とした円|◯|対象を押し流す岩雪崩を発生させる|地属性版[[アクアウェーブ>Skill/Elementaler/Explanation#aquawave]]。MP消費。|
|40|5|''[[サテライト>../Explanation#reino10]]''||''&color(red){A};''|単体|◯|小型ロボットを召喚し、支援攻撃を行う。|対ボスではそれなりに役に立つ。|
|45|5|''[[レールガン>../Explanation#reino11]]''||''&color(red){A};''|単体|☆/×|「[[レールガン専用弾>http://eco.acronia.net/itemdb/#id=2742]]」を電磁誘導により飛ばして攻撃する。&br;二足歩行ロボに搭乗している時に使用可能。|調整によりメインスキルになれる性能に。ロボに乗るなら必須、乗らないのなら×。|
|47|5|''[[リミットイクシード>../Explanation#u001f7d3]]''||''&color(red){A};''|自身|☆/×||マニューバー単体よりも増加量が高い。ロボに乗るのなら☆、乗らないのなら×|
|50|5|''[[ジャンクスロー>../Explanation#mf23b6dc]]''||''&color(red){A};''|敵を中心とした円|☆||武器の強化値のダメージ増加量が非常に高い。&br;武器を強化していないとダメージが期待できない。|
