# Skill/Novice/Equip

#fold{{{
ノービスLV別最適装備
RIGHT:&edit(,noicon){レベル別最適装備を編集};

|~LV|~頭部&アクセ|~顔&アクセ|~胸部|~右手|~左手|~上半身|~下半身|~靴|~ソックス|h
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
|初期装備||||レプリカソード&br;叩1/斬1/突1||スモック♂♀&br;防1/魔防1&br;初期装備&br;|もんぺ&br;防1/魔防1&br;初期装備&br;|サンダル&br;防1/魔防0&br;初期装備&br;||
|1|&color(blue){羽飾り&br;防1/魔防1};&br;&br;&color(blue){ちえの羽飾り&br;防2/魔防2&br;INT+1&br;チュートリアル};|&color(blue){落書きペーパー&br;防1/魔防1};&br;&br;&color(blue){骨おしゃぶり&br;防1/魔防1};&br;&br;雷神ピアス&br;防8/魔防12&br;ECOタウン&br;300ecoin&br;(期間限定)|&color(blue){まりょくの瞳&br;防1/魔防1&br;MAG+1&br;チュートリアル};|棍棒&br;叩10/斬4/突6&br;アクロニアギルド商人&br;300G&br;&br;&color(blue){ごうわんの槌&br;叩20/斬10/突10&br;STR+1&br;チュートリアル};|ウッドシールド&br;防3/魔防1&br;近回1/遠回1&br;アクロニアギルド商人&br;950G&br;&br;&color(blue){みかわしの手甲&br;防5/魔防5&br;近回5/遠回5/魔回1&br;DEX+1&br;チュートリアル};|Ｔシャツ&br;防2/魔防2&br;ダウンタウン染色おばさん&br;(スモックを染色)&br;&br;&color(blue){まもりの服&br;防20/魔防1&br;VIT+1&br;チュートリアル};|&color(blue){みわくのパンツ&br;防2/魔防2&br;全属性+5&br;チュートリアル};|&color(blue){しゅんそくの靴&br;防6/魔防1&br;AGI+1&br;チュートリアル};|紺ソックス&br;防1/魔防1&br;アップタウン裁縫おばさん&br;100G|
|3||||||||革サンダル&br;防2/魔防1&br;イストー岬ギルド商人&br;660G||
|4||&color(blue){カウボーイマスク&br;防1/魔防1/HP+5};|ビーズの飾り&br;防2/魔防1&br;アップタウン宝石店&br;650G|||||||
|5|フィールドキャップ&br;防3/魔防2&br;イストー岬ギルド商人&br;670G&br;&br;&color(blue){キャノッチェ&br;防3/魔防3};|||&color(blue){スパイク棍棒&br;叩15/斬6/突9};||フィールドジャケット♂&br;防7/魔防6&br;アクロニアギルド商人&br;1100G&br;&br;レザーワンピース♀&br;防7/魔防6&br;アクロニアギルド商人&br;1260G|||ニットタイツ&br;防1/魔防2/水属性値5&br;ノーザリン岬ギルド商人&br;450G|
|6||||ナイフ&br;叩5/斬13/突10&br;ダウンタウン武器屋&br;2000G||||レザーシューズ&br;防2/魔防3&br;イストー岬ギルド商人&br;800G||
|7||||||||ワークブーツ&br;防3/魔防1&br;サウスリン岬ギルド商人&br;2100G&br;&color(red){長ズボン系×};||
|8||||||シャツInシャツ♂&br;防9/魔防9&br;アップタウン裁縫おばさん&br;500G||||
|10|||ジルコニアペンダント&br;防2/魔防2&br;アップタウン宝石店&br;5000G|||キルトアーマー&br;防12/魔防10&br;アップタウン裁縫おばさん&br;2000G&br;&br;ドミニオンタンクトップ♂&br;防13/魔防11&br;アップタウン裁縫おばさん&br;1800G&br;&br;カジュアル・トップス♀&br;防11/魔防14&br;アップタウン裁縫おばさん&br;2100G|&color(blue){スクールズボン&br;防4/魔防2};&br;&br;ひざ小僧パンツ&br;防2/魔防2&br;サウスリン岬ギルド商人&br;1250G|ズック&br;防3/魔防3&br;サウスリン岬ギルド商人&br;2300G||
|11||||ジャンビーヤ&br;叩8/斬17/突13&br;ダウンタウン武器屋&br;5300G&br;&br;バール&br;叩20/斬9/突12&br;ダウンタウン武器屋&br;9800G||||||
|12||||||||ローファー&br;防3/魔防2&br;氷結の坑道B3F&br;3200G||
|15|革兜&br;防5/魔防2&br;サウスリン岬防具屋&br;6000G&br;&br;&color(blue){パンダーマスク&br;防5/魔防5&br;HP-10/MP-10/SP-10};&br;&color(red){顔アクセ×};|||メイス&br;叩23/斬9/突13&br;サウスリン岬武器屋&br;7850G|ラウンドシールド&br;防7/魔防3/近回避5/遠回避5/魔回避3&br;ダウンタウン南露店&br;2600G|レザーアーマー&br;防19/魔防16&br;ダウンタウン南露店&br;2800G&br;&br;フィールドコート♂&br;防16/魔防10&br;アップタウン裁縫おばさん&br;2500G&br;&br;トラベルドレス♀&br;防16/魔防10&br;アップタウン裁縫おばさん&br;2100G|長ズボン&br;防3/魔防2&br;軍艦島ギルド商人&br;1500G|オーバーシューズ&br;防4/魔防0&br;サウスリン岬防具屋&br;4200G&br;&color(red){長ズボン系×};||
|16||||ソードブレイカー&br;叩11/斬22/突17&br;サウスリン岬武器屋&br;9500G||メイド服♀&br;防14/魔防13&br;氷結の坑道B3F&br;2100G||||
|20|ニットキャップ&br;防5/魔防3/水属性値5&br;ノーザリン岬ギルド商人&br;7200G&br;&br;タイガーマスク&br;防2/魔防1&br;STR+3&br;軍艦島ギルド商人12800G||||サークラー&br;防10/魔防5/近回避8/遠回避8/魔回避5&br;サウスリン岬防具屋&br;9000G|ショートローブ&br;防20/魔防25/魔攻5&br;ノーザリン岬&br;3750G||安全靴&br;防4/魔防3&br;軍艦島ギルド商人&br;8200G&br;&color(red){長ズボン系×};||
|21||||カタール&br;叩24/斬30/突21&br;サウスリン岬武器屋&br;24000G&br;&br;モーニングスター&br;叩30/斬12/突18&br;サウスリン岬武器屋&br;16000G||||||
|22|||||アイアンシールド&br;防12/魔防7/近回避7/遠回避7/魔回避5&br;アイアンシティ下層武器屋&br;11000G&br;&br;紋章の盾&br;防8/魔防3/近回避9/遠回避9/魔回避5&br;アイアンシティ下層武器屋&br;11000G|||||
|23||||||ハイレザーアーマー&br;防25/魔防18&br;軍艦島ギルド商人&br;12000G||||
|24||||ヘビーメイス&br;叩33/斬14/突20&br;ステップ砂漠キャラバン商人&br;20000G||||||
|25|||||タージェシールド&br;防13/魔防7/近回避10/遠回避10/魔回避5&br;サウスリン岬防具屋&br;15000G|チープコート&br;防24/魔防20&br;ノーザン裁縫屋&br;4000G&br;&br;&color(blue){ウァテスローブ&br;防26/魔防31};||||
|27||||||あったかコート&br;防26/魔防24/水属性値5&br;寒中ダメージ減少&br;ノーザリン岬ギルド商人&br;5400G||||
|30|スタッドレスプレートメット&br;防6/魔防7&br;軍艦島ギルド商人&br;11200G&br;&color(red){顔アクセ×};|||スプリンクラー&br;叩37/斬16/突24&br;氷結の坑道B3F&br;23000G||スタッドレスプレート&br;防32/魔防23&br;必要STR15&br;軍艦島ギルド商人&br;33000G&br;&br;ジップアップシャツ♂&br;防27/魔防25&br;タイニーアイランドギルド商人&br;7700G&br;&br;白いシャツ♂&br;防29/魔防24&br;タイニーアイランドギルド商人&br;8000G&br;&br;ナチュラル・トップス♀&br;防27/魔防25&br;タイニーアイランドギルド商人&br;7700G|迷彩のズボン&br;防3/魔防3&br;タイニーアイランドギルド商人&br;6000G&br;&br;ボクサーパンツ&br;防3/魔防3&br;ファーイーストシティ裁縫屋&br;6000G|||
|35|&color(blue){守りのティアラ&br;防3/魔防3&br;HP+20/MP-20};||&color(blue){ダイアモンドペンダント&br;防3/魔防0};|||||ウエスタンブーツ&br;防4/魔防4&br;アップタウン西ソロ&br;20000G&br;&color(red){長ズボン系×};||
|39||||||戦闘服（軽装）♂・♀&br;防32/魔防31&br;ノーザン王国軍詰め所&br;30000G||||
|40|物体帽子&br;防6/魔防6&br;ノーザン王国軍詰め所&br;3500G|||&color(blue){メロディアスハンマー改&br;叩43/斬17/突26};||||||
