# Skill/Ranger/Table

-型：アクティブスキル＝''&color(red){A};''、パッシブスキル＝''&color(blue){P};''
-評価
--上位互換スキルがある場合は習得Lv近辺で評価
☆：必須クラス　
◎：取得推奨　
◯：有った方が便利　
△：場所次第、状況によっては使える
×：ほぼ不要
-[[無限回廊（奈落階層）>Dungeon/InfiniteCorridorAbyss]]でのスキル評価はこちら→''[[無限回廊奈落でのスキル考察 #レンジャー>Dungeon/InfiniteCorridorAbyssSkill#h9e6a134]]''

RIGHT:&edit(,noicon){スキル早見表を編集};
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
|~Job&br;Lv|~Max&br;Lv|~名称|~型|~説明|~効&br;果|~評&br;価|~備考|h
|CENTER:|CENTER:|CENTER:|CENTER:|LEFT:|CENTER:|CENTER:|LEFT:|c
|1|5|[[ビバーク>../Explanation#n169b369]]|''&color(red){A};''|遮蔽物に身を寄せてその場で休息する。&br;行動を起こすと効果が無くなる。|-|◯|転職時に取得。レンジャー系最大の特徴スキルのひとつである|
|2|5|[[最大HP上昇>../Explanation#n163056f]]|''&color(blue){P};''|最大HPを上昇させる。|-|☆|序盤は余裕があれば。二次職に転職後はHPが大幅にアップするので、取得推奨|
|4|5|[[最大SP上昇>../Explanation#wd28207e]]|''&color(blue){P};''|最大SPを上昇させる。|-|○|序盤は余裕があれば。二次職に転職後はスキル使用が増えるため、取得推奨|
|5|5|[[HP回復率上昇>../Explanation#ab7a5cd3]]|''&color(blue){P};''|HPの回復率を上昇させる。|-|◎|ビバークには効果が乗らない。&br;将来的に回復アイテムの効果量をブーストできる。&br;枠に余裕があれば1だけでも覚えておいて損はない。|
|6|1|[[昆虫知識>../Explanation#t715e357]]|''&color(blue){P};''|昆虫からアイテムを上手く採取できる。|-|☆|レンジャー特有のスキル。習得推奨|
|7|5|[[ショートソードマスタリー>../Explanation#fe2cfbca]]|''&color(blue){P};''|短剣装備時に最低攻撃力を上昇させる。|-|☆|メイスとの選択|
|7|1|[[鑑定>../Explanation#wcfed7cb]]|''&color(red){A};''|未鑑定品の鑑定が出来る。|-|○|習得するなら開錠とセットで。&br;これ単品だとあまり役に立たない。|
|9|5|[[メイスマスタリー>../Explanation#wdfd798c]]|''&color(blue){P};''|鈍器装備時に最低攻撃力を上昇させる。|-|☆|両手メイスを使うなら、短剣との選択|
|10|5|[[ブロウ>../Explanation#o003ee92]]|''&color(red){A};''|相手を叩き属性で攻撃する。&br;叩き属性の武器装備が発動条件。|-|◎|レンジャー系で無難に良性能の攻撃スキル。末長くお付き合いします|
|10|5|[[SP回復率上昇>../Explanation#x8ad14d9]]|''&color(blue){P};''|SPの回復率を上昇させる。|-|◎|座り状態、アイテムでのSP回復量を上昇させる。ビバークには効果が乗らない。|
|12|1|[[鳥知識>../Explanation#t0b4d734]]|''&color(blue){P};''|鳥からアイテムを上手く取得できる。|-|☆|レンジャー特有のスキル。習得推奨|
|15|10|[[キャンプ>../Explanation#da6e7b0e]]|''&color(red){A};''|その場にテントを張れる。専用のアイテム「[[テント>http://eco.acronia.net/itemdb/#id=1653]]」が必要。|-|○|PTプレイ時、緊急避難にも有効。ソロではビバークがあるのであまり使うことがない|
