# Skill/RoyalDealer/Table

-型：アクティブスキル＝''&color(red){A};''、パッシブスキル＝''&color(blue){P};''
-評価
--上位互換スキルがある場合は習得Lv近辺で評価
--スラッシュが入っている物は、鈍器・鞄型／カード型と分けた評価になります。
--仕様変更等で修正が入った場合は、×→○　と表記
☆:必須クラス
◎:取得推奨
○:あると便利
△:限定状況でのみ役に立つ
×:全く役に立たない
-[[無限回廊（奈落階層）>Dungeon/InfiniteCorridorAbyss]]でのスキル評価はこちら→''[[無限回廊奈落でのスキル考察 #ロイヤルディーラー>Dungeon/InfiniteCorridorAbyssSkill#pa39e132]]''

RIGHT:&edit(,noicon){スキル早見表を編集};
|~Lv|~名称|~Max&br;Lv|~略称|~型|~対象|>|~評価|~効果|~備考|h
|~|~|~|~|~|~|~バッグ|~カード|~|~|
|CENTER:|LEFT:|CENTER:|LEFT:|CENTER:|CENTER:|CENTER:40|CENTER:40|LEFT:|LEFT:|c
|3|''[[ディーラーの手腕>../Explanation#skill1]]''|5||''&color(blue){P};''|自分|×|☆|カードの攻撃力、命中率、クリティカル率を上昇させる。&br;スローマスタリーと併用可。&br;カードの消費、スキル｢ロイヤルディーラー｣時のゴールドの消費を一定確率で抑える。|攻撃力増加が他のマスタリにくらべ大きい。|
|6|''[[CAPAコミュニオン>../Explanation#skill2]]''|5||''&color(red){A};''|パーティ|>|△|一定時間、自身を含むパーティーメンバー全員のキャパシティを上昇させる。&br;このスキルはパーティーを組んでいないと使用することができない。|マップ移動で効果が切れるのでPT用スキルではあるが、PTになるほど必要性は皆無。根性の下位スキル。|
|10|''[[ロイヤルディーラー>../Explanation#skill3]]''|5||''&color(red){A};''|自分|×|☆|スキル効果中、カードによる攻撃が必中となり、攻撃ダメージに一定量の固定ダメージを追加するが、&br;攻撃するたびに追加ダメージ量の所持ゴールドが減少する。&br;また、移動を行うと効果が切れる。|Gold消費と移動制限が酷いため狩では使い物にならない。演習用。&br;連続投げと合わせることで効果を発揮。|
|13|''[[ダメージマーキング>../Explanation#skill4]]''|5||''&color(red){A};''|単体|>|☆|一定時間、対象の被ダメージ率を上昇させる。|対ボス戦において非常に高い効果を発揮する。格上狩りのお供にも。|
|20|''[[スピリットマーキング>../Explanation#skill5]]''|5||''&color(red){A};''|単体|>|×|一定時間、対象に与えたダメージの一定量を憑依者に与えられる状態にする。|演習用スキル。使う方は上と組み合わせで。（演習○）|
|23|''[[クリティカルマーキング>../Explanation#skill6]]''|5||''&color(red){A};''|単体|>|△|一定時間、指定対象の被クリティカル率を上昇させる。|ダメージ補正に影響しない|
|25|''[[パーフェクトライオットスタンプ>../Explanation#skill7]]''|5||''&color(red){A};''|自分|>|×|効果時間中であれば次回のライオットハンマーの命中率を100％にできる|現状では演習でも扱いづらい（演習△）|
|30|''[[レトリック>../Explanation#skill8]]''|5||''&color(red){A};''|自分を中心とした円|>|☆/※((現在バグがあるため、習得注意))|対象の最大ＭＰ、ＳＰを上昇させる。一定確率で強運か悪運のどちらかの効果が付与される|強運と悪運は確率で自分に付与又は発動率上昇|
|35|''[[ストレートフラッシュ>../Explanation#skill9]]''|5||''&color(red){A};''|単体|△|◎|対象を＊回～ランダム回数攻撃する|数回＋ランダム回数のコンボスキル&br;コンボの切れ目が分かりにくく、ASPDが高ければ高いほどコンボが切られることがなくなる|
|40|''[[幸運の女神>../Explanation#skill10]]''|5||''&color(blue){P};''|自分|>|☆|強運、悪運、一か八か、危険回避の確率が上昇する。|強運、悪運の発生率が倍近くなるため被弾率が大幅に下がる。さらにレトリックと組み合わせると6割近く発生する。|
|45|''[[鞄の達人>../Explanation#skill11]]''|3||''&color(blue){P};''|自分|☆|○→×|鞄の性能や攻撃を強化する。PAYLとCAPAが増加する。&br;鞄の攻撃力、ビートスマッシュの攻撃回数が増加する。|ビートスマッシュの大幅攻撃力上昇、PAYL･CAPA上昇など恩恵が非常に大きい。鞄型なら必須。&br;右手鞄を装備しないと効果が適用されなくなったため、鞄型以外での取得の価値はほぼ無くなった|
|47|''[[フォールスマネー>../Explanation#c35e869d]]''|5||''&color(red){A};''|対象を中心とした円(7×7)|>|◯|周囲に偽札をばらまき、一定確率で状態異常を与える|非常に広範囲なため優秀な足止めスキル。…が、攻撃力は低くＭＡＴＫ依存なので使いどころに悩む。|
|50|''[[タイムイズマネー>../Explanation#kc9c3177]]''|5||''&color(red){A};''|対象を中心とした円(5×5)|>|☆|天からゴールドが降ってくる。&br;所持しているゴールドが多ければ多いほど命中率と威力補正が上昇する。|最大威力を出すための条件がやや厳しく、Anemoneと比べ多少弱体化されたものの、威力はＢＰ系最高クラス。&br;商人系唯一の広範囲攻撃で、取得するべき。|
