# Skill/Scout/Table

-型：アクティブスキル＝''&color(red){A};''、パッシブスキル＝''&color(blue){P};''
-評価
--上位互換スキルがある場合は習得Lv近辺で評価
☆:必須クラス
◎:取得推奨
○:あると便利
△:限定状況でのみ役に立つ
×:全く役に立たない
-[[無限回廊（奈落階層）>Dungeon/InfiniteCorridorAbyss]]でのスキル評価はこちら→''[[無限回廊奈落でのスキル考察 #スカウト>Dungeon/InfiniteCorridorAbyssSkill#h627225f]]''
RIGHT:&edit(,noicon){スキル早見表を編集};

|~Job&br;LV|~名称|~Max&br;LV|~型|~消費MP/SP|~目標|~射程|~装備条件|~憑依使用|~効果|~評価|~備考|h
|CENTER:|CENTER:100|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|LEFT:350|CENTER:|LEFT:150|c
|~1|[[ハイディング>Skill/Scout/Explanation#ce0e8508]]|3|''&color(red){A};''|-/5,10,20|自分|-|無し|不可|一定時間、姿を隠す。動くと効果が無くなる。|○|タゲ切りや危険時の避難に便利|
|~2|[[最大HP上昇>Skill/Scout/Explanation#k227ece8]]|5|''&color(blue){P};''|-/-|自分|-|無し|-|最大HPを上昇させる。|☆||
|~3|[[HP回復率上昇>Skill/Scout/Explanation#tea3ef0b]]|5|''&color(blue){P};''|-/-|自分|-|無し|-|HPの回復率を上昇させる。|◎|食べ物などによる回復効果+20%があるのでLv1だけでも取っておくのがお勧め|
|~4|[[最大SP上昇>Skill/Scout/Explanation#k23a36e6]]|5|''&color(blue){P};''|-/-|自分|-|無し|-|パッシブスキル。最大SPを上昇させる。|○||
|~5|[[SP回復率上昇>Skill/Scout/Explanation#i3f7ef18]]|5|''&color(blue){P};''|-/-|自分|-|無し|-|SPの回復率を上昇させる。|◎|Lv1だけでも取っておくのがお勧め|
|~5|[[連続投げ>Skill/Scout/Explanation#x307c922]]|5|''&color(red){A};''|-/6,12,18,24,30|単体|4|投擲|可|(連続投げのLV+1)回連続で投擲を行う。投擲武器装備時使用可能|△|投げ型は☆|
|~6|[[スローマスタリー>Skill/Scout/Explanation#e5c3da92]]|5|''&color(blue){P};''|-/-|自分|-|投擲|-|投擲装備時に最低攻撃力を上昇させる。|△|投げ型は☆|
|~7|[[ショートソードマスタリー>Skill/Scout/Explanation#ca77e679]]|5|''&color(blue){P};''|-/-|自分|-|短剣|-|パッシブスキル。短剣装備時に最低攻撃力を上昇させる。|☆||
|~9|[[メイスマスタリー>Skill/Scout/Explanation#n2427952]]|5|''&color(blue){P};''|-/-|自分|-|鈍器|-|パッシブスキル。鈍器装備時に最低攻撃力を上昇させる。|△|ブロウ型なら◎|
|~10|[[ブロウ>Skill/Scout/Explanation#m3773015]]|5|''&color(red){A};''|-/3|単体|1|一般武器、ロープ|可|相手を武器で殴りつける|◎||
|~12|[[コンセントレート>Skill/Scout/Explanation#s9fd8a08]]|5|''&color(red){A};''|3/LV*3&br;(MP固定)|自分|-|無し|可|一定時間、自分の近距離命中率を上昇させる|○||
|~14|[[アヴォイド・バースト>Skill/Scout/Explanation#hda88b74]]|5|''&color(red){A};''|3/LV*3&br;(MP固定)|自分|-|無し|可|一定時間、自分の近距離回避率を上昇させる|○||
|~15|[[回り込み>Skill/Scout/Explanation#id55a33d]]|3|''&color(red){A};''|-/4*Lv|単体|1|無し|不可|敵の背後に回りこむ。移動中は無防備になってしまう|△|回り込み失敗すると敵からクリティカルされる。成功するとタゲが外れる|
|~16|[[パリィ>Skill/Scout/Explanation#x69b35e8]]|5|''&color(red){A};''|-/9|自分|-|一般武器|不可|効果時間内に攻撃を受けた場合、攻撃を受け流すことができる|○||
|~18|[[カウンター>Skill/Scout/Explanation#ed0c02a8]]|5|''&color(red){A};''|-/4|自分|-|一般武器|不可|一定時間内に攻撃を受けた場合、一度だけ即座に反撃を行う|○|爪装備なら☆。凄まじい瞬間火力を得られる。|
|~20|[[フェイント>Skill/Scout/Explanation#o003ee92]]|5|''&color(red){A};''|-/3|単体|1|一般武器|不可|対象がパリィ・カウンターを使用した時に相手の体勢を崩す。対象のディレイキャンセルを打ち消す効果もある。失敗時は自分が一定時間硬直する|○||
|~21|[[急所攻撃>Skill/Scout/Explanation#dcbf8ca3]]|5|''&color(red){A};''|MP4,6,8,10,12&br;SP/12,14,16,18,20|単体|1|一般武器|可|敵の急所を突いて大きなダメージを狙う|◎|Lv1～でスロウ、Lv3～でスタンの追加効果&br;クリティカルやアサルト併用で大化けする。|
|~21|[[短剣命中率上昇>Skill/Scout/Explanation#vb10a416]]|5|''&color(blue){P};''|-/-|自分|-|短剣|-|短剣装備時に命中率を上昇させる|☆||
|~22|[[コンフュージョンブロウ>Skill/Scout/Explanation#c4103477]]|5|''&color(red){A};''|2/3|単体|1|一般武器|可|相手の頭部を殴り、一定確率で混乱させる|○|ディレイが短い為すぐ移動できる|
|~24|[[スタンブロウ>Skill/Scout/Explanation#ke82cd65]]|5|''&color(red){A};''|MP2,2,3,3,4&br;SP3,3,5,5,7|単体|1|一般武器|可|相手の腕を殴り、一定確率でスタンさせる|◎|ディレイが短い為すぐ移動できる|
|~26|[[スロウブロウ>Skill/Scout/Explanation#z3dc92ec]]|5|''&color(red){A};''|2/3|単体|1|一般武器|可|相手の足を殴り、一定確率で鈍足化させる|△||
|~28|[[バニシングブロウ>Skill/Scout/Explanation#c0117ef6]]|5|''&color(red){A};''|-/5,5,7,7,9|単体|1|一般武器、ロープ|可|相手を武器で殴り飛ばす|○|2マスノックバック効果。すぐに戻ってくるため即座に追撃可|
|~30|[[サマーソルトキック>Skill/Scout/Explanation#d892d8ff]]|5|''&color(red){A};''|-/12|単体|1|無し|可|相手をバク転で蹴り上げ弾き飛ばす|○|3マスノックバック効果|
