# Skill/SoulTaker/Table

-ソウルテイカーの場合、コラプスオブロウで能力値を反転させられるため、
反転前の型を基準とした評価となっています（STR型の列なら普段は殴り型）
-型：アクティブスキル＝''&color(red){A};''、パッシブスキル＝''&color(blue){P};''
-評価
--上位互換スキルがある場合は習得Lv近辺で評価
--仕様変更等で修正が入った場合は、×→○　と表記
☆:必須クラス
◎:取得推奨
○:あると便利
△:限定状況でのみ役に立つ
×:全く役に立たない
-[[無限回廊（奈落階層）>Dungeon/InfiniteCorridorAbyss]]でのスキル評価はこちら→''[[無限回廊奈落でのスキル考察 #ソウルテイカー>Dungeon/InfiniteCorridorAbyssSkill#g737ffa4]]''

RIGHT:&edit(,noicon){スキル早見表を編集};

|~Lv|~名称(略称)|~型|~属&br;性|~MaxLv&br;消費&br;MP/SP|~憑&br;依|~射&br;程|~目標|~効果|>|~評価|~コメント|h
|~|~|~|~|~|~|~|~|~|~S&br;T&br;R&br;型|~M&br;A&br;G&br;型|~|h
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|LEFT:|CENTER:|CENTER:|LEFT:|c
|~3|[[メガダークブレイズ>../Explanation#reino1]](MDB)|''&color(red){A};''|BGCOLOR(#a9a9a9):闇|Lv3&br;MP 80/100&br;/140|×|-|自分を中心とした円（11×11）|自分を中心に闇属性の広範囲魔法攻撃を行う。|△|△→◎|詠唱速度さえ確保できれば強力な範囲攻撃。固有ディレイあり。|
|~6|[[M.ATKコミュニオン>../Explanation#reino2]]|''&color(red){A};''||Lv5&br;&color(#DAA520){SP最大100};|×|-|同一MAP内のPTメンバー|一定時間、自身を含むパーティーメンバー全員の魔法攻撃力を上昇させる。&br;このスキルはパーティーを組んでいないと使用することができない。 |○|☆|最大MATKのみ上昇。値は高い。コラプス時はATKに加算。|
|~10|[[ソウルテイカー>../Explanation#reino3]]|''&color(red){A};''||Lv5&br;MP 32/42&br;/52/62/72|×|-|自分|スキル効果中、闇属性魔法攻撃、闇属性物理攻撃により与えるダメージにボーナスを得る事ができる。&br;ただし、効果中は移動速度が低下する。 |>|◎→☆|物理・魔法問わず闇属性攻撃なら効果がある|
|~13|[[被憑依者ダメージ上昇>../Explanation#reino4]]|''&color(blue){P};''||Lv5&br;|-|-|-|指定対象の憑依している人数によって、宿主に与えるダメージが上昇する。 |>|-|演習用パッシブスキル。&br;対Mobで有効な場面はない。|
|~20|[[コラプス・オブ・ロウ>../Explanation#reino5]]|''&color(red){A};''||Lv5&br;&color(#DAA520){SP 15};|×|-|自分|スキル効果中、物理攻撃力と魔法攻撃力を入れ替える。&br;また、スキルの効果は任意で解除することができる。 |>|◎|A.SPD・C.SPDも入れ替わる。|
|~23|[[インファイトマスタリー>../Explanation#reino6]]|''&color(blue){P};''||Lv5&br;|-|-|-|短剣、鎚、斧、装備時に攻撃力、命中率、クリティカル率を大きく上昇させる |☆|×|ファイター系三次マスタリーと同様。M.ATKは増加しない。|
|~25|[[憑依者封印>../Explanation#reino7]]|''&color(red){A};''||Lv5&br;MP 18/24&br;/29/33/36|×|5|単体|指定した対象に、憑依効果無効の状態異常を与える|>|-|演習用。&br;対Mobで有効な場面はない。|
|~30|[[スポレーションソウル>../Explanation#reino8]]|''&color(red){A};''|BGCOLOR(#a9a9a9):闇|Lv5&br;MP 43/47&br;/51/55/59|○|5|単体|対象にダメージとともにSTR,DEX,MAG,INT,AGIを下げる効果を与える|◯|◯|DEFの低下はない。&br;フォローアップにも有効になったので一応補助に使える。|
