# Skill/Treasurehunter/Table

-型：アクティブスキル＝''&color(red){A};''、パッシブスキル＝''&color(blue){P};''
-評価
--上位互換スキルがある場合は習得Lv近辺で評価
--仕様変更等で修正が入った場合は、×→○　と表記
☆：必須クラス　
◎：取得推奨　
◯：有った方が便利　
△：場所次第、状況によっては使える
×：ほぼ不要
-[[無限回廊（奈落階層）>Dungeon/InfiniteCorridorAbyss]]でのスキル評価はこちら→''[[無限回廊奈落でのスキル考察 #トレジャーハンター>Dungeon/InfiniteCorridorAbyssSkill#zc3297aa]]''

RIGHT:&edit(,noicon){スキル早見表を編集};
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
|~Job&br;Lv|~Max&br;Lv|~名称|~型|~説明|~効果|~評価|~備考|h
|CENTER:|CENTER:|CENTER:|CENTER:|LEFT:300|CENTER:|CENTER:|LEFT:400|c
|3|1|[[罠発見>../Explanation#tre1]]|''&color(red){A};''|自分の周りの罠を発見する事ができる|-|×|演習向けスキルだが、使うメリットは薄い|
|5|1|[[罠解除>../Explanation#tre2]]|''&color(red){A};''|指定セルにある罠を強制解除する|-|×|演習向けスキルだが、使わない|
|8|1|[[暗号解除>../Explanation#tre3]]|''&color(red){A};''|コンテナの鍵を解除してアイテムを取り出す|-|☆/×|トレハンなら必須。箱に期待していないならそもそもこの系統をやる意味はない|
|10|5|[[ウィップマスタリー>../Explanation#tre4]]|''&color(blue){P};''|鞭装備時に最低攻撃力を上昇させる|-|×/☆|鞭メインなら必須。一次職のマスタリよりも性能は良い|
|12|5|[[バックラッシュ>../Explanation#tre5]]|''&color(red){A};''|鞭で相手の動きを止め硬直状態にする&br;自分も硬直状態になる|硬直|◎|相手とのレベル差がありすぎて攻撃が命中しないときに重宝される&br;ボスモンスターには無効|
|14|5|[[強運>../Explanation#tre6]]|''&color(blue){P};''|まれに魔法攻撃を回避する|-|☆|攻撃魔法を回避できるので、生存率が上がる&br;2008/08/21のアップデートで回避確率が低下|
|16|5|[[危険回避>../Explanation#tre7]]|''&color(blue){P};''|憑依中の貫通攻撃を受ける確率を低下させる|-|○|憑依メインの人は◎&br;宿主が[[ゆりかごのペンダント>http://eco.acronia.net/equipdb/#id=1056]]を装備時&br;アイテムで代替可能|
|18|5|[[キャッチ>../Explanation#tre8]]|''&color(red){A};''|鞭でモンスターを引き寄せる|硬直|○|[[プルウィップ>../Explanation#tre17]]と[[ロングレンジプルウィップ>Skill/Stryder/Explanation#reino4]]の威力を上昇させる。このスキル自体は釣りに便利な程度|
|20|3|[[トレジャースキャンニング>../Explanation#tre9]]|''&color(red){A};''|同じマップ内にある宝箱に反応する|-|◎/△|『[[遺跡の宝探し>Quest/InstanceDungeon#z27d9897]]』に必須スキル|
|23|5|[[ウィップラッシュ>../Explanation#tre10]]|''&color(red){A};''|鞭で連続攻撃をする|-|◎|[[ブロウ>Skill/Ranger/Explanation#o003ee92]]より高威力だが、消費が大きい|
|25|5|[[ウェポンキャプチャー>../Explanation#tre11]]|''&color(red){A};''|鞭で対象の武器装備を外す&br;成功時その装備に憑依者がいた場合&br;憑依者は強制排除される|-|△|演習専用スキル|
|27|5|[[アーマーキャプチャー>../Explanation#tre12]]|''&color(red){A};''|鞭で対象の上半身装備を外す&br;成功時その装備に憑依者がいた場合&br;憑依者は強制排除される|-|△|演習専用スキル|
|30|5|[[アンロックマスタリー>../Explanation#tre13]]|''&color(blue){P};''|木箱・宝箱・コンテナなどをうまく採取できる|-|☆/△|飛躍的に箱Drop率が上昇する。トレハンなら必須|
|31|5|[[ウィップフロリッシュ>../Explanation#tre14]]|''&color(red){A};''|鞭を振り回し&br;自分の周囲を攻撃する|-|◎|範囲攻撃スキル。消費が大きく威力もイマイチだが&br;[[Fボックス>Skill/Explorer/Explanation#fnbox]]用のFA取りや雑魚散らしにLv1推奨、３次からはロングレンジプルウィップにお株を奪われる|
|33|5|[[スナッチ>../Explanation#tre15]]|''&color(red){A};''|攻撃と同時に対象の持つ&br;アイテムを一定確率で奪い取る&br;プレイヤー、パートナー&br;一部モンスターには使用不可|-|△|対高HPモンスター向け&br;エクスプローラーのスキル『[[分析>Skill/Explorer/Explanation#q8026f55]]』とあわせて使うと成功率が上昇する|
|40|5|[[警戒>../Explanation#tre16]]|''&color(red){A};''|防御力アップ　クリティカル攻撃を受けなくなる|警戒状態&br;左DEF上昇|☆|VIT型には効果絶大&br;AGI型もクリティカルを受けなくなるので安定する|
|42|5|[[プルウィップ>../Explanation#tre17]]|''&color(red){A};''|対象を鞭で引き寄せその勢いで攻撃をする|硬直|△|鞭版遠距離ブロウ。消費はかなり重いが短詠唱で連発が効く&br;[[ロングレンジプルウィップ>Skill/Stryder/Explanation#reino4]]の命中率を上昇させる為、三次職で価値が上がる|
|44|1|[[エスケープ>../Explanation#tre18]]|''&color(red){A};''|ダンジョン内から外へ出る　何処にいても入口に戻れる|-|○|出張クエストカウンターの実装により、クエ品集め→クエ報告のプロセスがやり易くなるというメリットができた。&br;よそものでもリログの手間を省ける。|
|50|5|[[ソニックウィップ>../Explanation#tre19]]|''&color(red){A};''|鞭のコンボ|硬直&br;ノックバック|○|高威力スキルだが、モーションが非常に長い|
