# Skill/Warlock/Monster

RIGHT:&edit(,noicon){確殺必要MATKを編集};

SAGA1実装以降データ
&color(red){イリスアップデート後、属性関係の計算式が変わっているのでこの表は目安程度にご利用ください};
|~MATK|~モンスター|~HP/EXP/JOB|~狩場|~スキル|~回数|~備考|h
|RIGHT:|LEFT:|RIGHT:|LEFT:|CENTER:|CENTER:|LEFT:|c
|96|グリーンプルル|80/15/17|イストー岬|BW1|1|9割くらい|
|45|イエロージェリー|62/9/16|軍艦島|BW1|1|確殺（余裕）|
|96|タンカー|65/32/23|軍艦島|BW1|1|確殺（余裕）|
|85|ワスプ|160/51/49|軍艦島|BW3|1|確殺(最低165DM確認)|
|96|ワスプ|160/51/49|軍艦島|BW2|1|確殺|
|115|ワスプ|160/51/49|軍艦島|BW1|1|確殺&br;モースグ崖だと残る場合有り|
|163|ベア|230/75/45|軍艦島|BW2|1|ほぼ確殺|
|110|フライフィッシュ|160/54/46|モーモー草原|BW1|1|ほぼ1撃。最低154ダメージ|
|110|フライフィッシュ|160/54/46|モーモー草原|BW2|1|確殺。のど飴ドロップなので高効率|
|134|フライフィッシュ|160/54/46|モーモー草原|BW1|1|確殺。のど飴ドロップなので高効率|
|133|フライフィッシュ|160/54/46|ウテナ川河口|BW2|1|確殺。のど飴ドロップなので高効率|
|114|フライフィッシュ|160/54/46|ウテナ川河口|BW3|1|113だと極々稀に2残る|
|135|キャビアーチン|90/25/25|スノップ雪原|BW1|1|適当|
|135|クリスタル|290/46/90|スノップ雪原|BW2|2|適当|
|136|エルダーワーム|160/30/30|東アクロニア海岸|BW3|1|80％一撃（143DM確認）|
|136|エルダーワーム|160/30/30|東アクロニア海岸|BW4|1|確殺(最低164DM確認)|
|132|コケトリス|150/48/12|東アクロニア海岸|BW1|1|確殺|
|133|キャビアーチン|90/25/25|ノーザリン岬|BW2|1|稀に2程度残る|
|116|ホワイトファング|210/68/42|ノーザリン岬|BW2|1|確実ではない|
|116|ホワイトファング|210/68/42|ノーザリン岬|BW3|1|確殺|
|133|ホワイトファング|210/68/42|ノーザリン岬|BW1|1|確殺|
|155|ホワイトファング|210/68/42|ノーザリン岬|BW1|1|確殺|
|130|クラッシュアイス|170/56/44|ノーザリン岬|BW1|1|ほぼ1撃、ごく稀に169確認|
|133|クラッシュアイス|170/56/44|ノーザリン岬|BW1|1|確殺|
|133|ポーラベア|340/65/55|ノーザリン岬|BW5→BW1|2|最低値同士の合計で337&br;よほど運が悪くなければ|
|135|ポーラベア|340/65/55|ノーザリン岬|BW2|2|適当|
|157|ポーラベア|340/65/55|ノーザリン岬|BW1|2|適当|
|113|バウ|110/24/2|サウスリン岬|BW1|1|確殺|
|113|クリムゾンバウ|160/40/30|サウスリン岬|BW1|1|確殺|
|113|サンドクローラー|150/20/10|サウスリン岬|BW1|1|確殺|
|160|ブリキングRX1|200/85/55|サウスリン岬|BW1|1|95％位1撃|
|160|ブリキングRX1|200/85/55|サウスリン岬|BW2|1|確殺|
|137|ローパー|120/80/75|ステップ砂漠|BW2|1|BW1だと50％ぐらいの確率で10ほど残る|
|155|ローパー|120/80/75|ステップ砂漠|BW1|1|確殺|
|166|ローパー|120/80/75|果物の森|BW2|1|確殺|
|113|ローパー|120/80/75|サウスリン岬|BW3|1|おそらく確殺&br;ステップ砂漠だと残ることあり|
|224|シナモン|525/308/295|アイアンサウス街道|SB4|1|ほぼ確殺？|
|256|ロックイーター|930/405/250|アイアンサウス街道|SB5|1|稀に残る|
|280|ロックイーター|930/405/250|アイアンサウス街道|SB5|1|確殺|
|193|ラバープルル|500/138/170|アイアンサウス街道|CW4|1|確殺&br;CW3だと残る場合有り|
|217|ラバープルル|500/138/170|アイアンサウス街道|SB3|1|確殺|
|166|クイーンビー|245/175/175|果物の森|BW4|1|極稀に残る（80％殺せないです）|
|166|クイーンビー|245/175/175|果物の森|BW5|1|確殺（60％殺せないです）|
|183|クイーンビー|245/175/175|果物の森|CW2|1|確殺&br;164では時々確殺できず|
|187|クイーンビー|245/175/175|果物の森|BW2|1|ほぼ1撃|
|451|スタートラー|2000/600/700|イーストダンジョン|SB5|1|確殺|
