# Skill/Wotes/Map

#author("2016-04-30T19:39:20+00:00","","")
**レベル別お勧め狩場・クエスト [#w34453ce]

以下の狩場情報は経験値効率やスキル修正前のデータです。
比較的新しい情報は[[狩場>kariba#b9a4565c]]を参照してください。

-下記はMAG>VIT型ステータスでの狩場です。またステータスの振り方などにより合ったり合わなかったりします。
-JobLv50での転職を前提としています。

-ウァテスはCOLOR(red){支援職}としてとても優れているので、パーティで重宝されます。
-ソロでは辛い狩場でもパーティなら楽なので、積極的にパーティに参加すると良いでしょう。
-ソロで狩場を選ぶときは、他のスペルユーザー系職業の5～10レベル下のマップを選ぶと楽でしょう。

//SAGA14
|~レベル|~マップ|~モンスター|~EXP/JOB|~クエスト|~備考|h
|LEFT:45|LEFT:155|LEFT:140|LEFT:80|LEFT:220|LEFT:|c
|~1～|アクロニア平原|プルル等|||チュートリアル「[[最初の冒険！>Event/Nheartful#step1]]」～「[[職業選択の自由>Event/Nheartful#step6]]」でこのレベルは終わる。|
|~6～|ウテナ湖|コッコー|15/14||ウテナ湖の北でコッコーを狩る。&br;時々コケトリスが一匹混じっているので注意。|
|~11～|イストー岬|グリーンプルル&br;サラダアーチン|18/17&br;25/19||[[毒消しの実>http://eco.acronia.net/itemdb/#id=1681]]、[[レタス>http://eco.acronia.net/itemdb/#id=2769]]を集める。&br;イベント「[[収集好きの大商人>Event/Nheartful#step7]]」で要求されるアイテムを集めていくことで、レベル30台まで効率よくレベルアップできる。|
|~|ウテナ湖|パンサーデッド|58/48|[[墓の浄化>職クエ/ウァテス]](白の聖堂Lv14～)|ノーザリン岬で[[ロッド>http://eco.acronia.net/equipdb/#id=113]]を買っておくと良い。&br;[[確殺必要MATK>Skill/Wotes#x2cf3e26]]を参考にHL5→HL1やHL1×2をレベルに合わせて使い分ける。|
|~16～|ウテナ湖|バウ&br;土蜘蛛|24/2&br;31/29||[[蜘蛛のワイン>http://eco.acronia.net/itemdb/#id=817]]を集める。&br;STR型の場合はこの辺りで[[メイス>http://eco.acronia.net/equipdb/#id=34]]等に[[イリスカード>IrisCard]]で属性を付与しておくと楽にモンスターを倒せる。|
|~|モースグ崖&br;軍艦島|ワスプ|51/49|[[蜂蜜の入手！>職クエ/ウァテス]](白の聖堂Lv14～)|崖の下は高レベルのモンスターが出現するため近づかないこと。|
|~|ウテナ河口|フライフィッシュ|56/46||[[のど飴>http://eco.acronia.net/itemdb/#id=1890]]を集める。&br;フライフィッシュはリンク属性なので、群れを狙って囲まれないように注意。&br;ブリキングＲＸ１を倒すのは厳しいので周囲に気をつける。&br;MAG型の場合は[[マリオネット・サラマンドラ>http://eco.acronia.net/itemdb/#id=2441]]の[[オーラルウィップ>MarionetteList#db204977]]も有効。|
|~|モーモー平原|~|~||町からまっすぐ南に行った海岸に出現する。&br;アクティブモンスターはいないが数が少ない。|
|~19～|ステップ砂漠|ローパー&br;クリムゾンバウ|80/75&br;48/45|[[ローパーの触手を奪え！>職クエ/ウァテス]]&br;(白の聖堂Lv19～)|[[上等な肉>http://eco.acronia.net/itemdb/#id=1223]]を集める。&br;テンタクルにはまず勝てないので逃げること。|
|~|果物の森&br;サウスリン岬|~|~|~|レベル、MATKが低いならこちら。&br;1匹だけいるクリムゾンチーフに注意。|
