# Skill/Wotes/Table

#author("2016-05-11T14:45:12+00:00","","")
//-型：アクティブスキル＝''&color(red){A};''、パッシブスキル＝''&color(blue){P};''
-パッシブスキル＝''&color(blue){P};''
-評価
--上位互換スキルがある場合は習得Lv近辺で評価
☆:必須クラス
◎:取得推奨
◯:あると便利
△:限定状況でのみ役に立つ
×:全く役に立たない
-スキルの最大レベルは、死霊知識とキュア系が1、他は全て5です。
-[[無限回廊（奈落階層）>Dungeon/InfiniteCorridorAbyss]]でのスキル評価はこちら→''[[無限回廊奈落でのスキル考察 #ウァテス>Dungeon/InfiniteCorridorAbyssSkill#c99ef850]]''

RIGHT:&edit(,noicon){スキル早見表を編集}; 


|~Job&br;LV|~名称|~略称|~属&br;性|~Max&br;LV|~消費MP|~目標|~射&br;程|~効果|~評&br;価|~評価コメント|h
|CENTER:|CENTER:100|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|LEFT:200|CENTER:|LEFT:200|c
|~1|''[[ヒーリング>../Explanation#Heal]]''|ヒール|BGCOLOR(#fffacd):光|5|SLv×7|単体|5|対象のHPを回復する。&br;[[オートヒール>Skill/Cardinal/Explanation#skill7]]の回復量に影響する。|☆/◎|ウァテスとして必須。&br;初めは1にしておき、最終的に5を目指そう。最終的に3次職でオートヒールを取るなら必須、それ以外でもウァテスとして取得を推奨|
|~3|[[最大MP上昇>../Explanation#MaxMPUp]]|MPU||5|''&color(blue){P};''|''&color(blue){P};''||最大MP上昇。|◎|序盤から中盤に役立つ。|
|~5|[[MP回復率上昇>../Explanation#MMR]]|MPR||5|''&color(blue){P};''|''&color(blue){P};''||MPの回復率上昇。|◎|中盤以降に役立つ。|
|~6|''[[ホーリーライト>../Explanation#HolyLight]]''|HL|BGCOLOR(#fffacd):光|5|6+SLv×2|単体|6|敵に光の力を持つ魔法攻撃を行う。|◎|序盤ソロでレベルを上げるなら必須。&br;その後もタゲ取りなどに便利に使える。|
|~8|BGCOLOR(#fffafa):[[キュアスリープ>../Explanation#Cure]]|||1|5|単体|5|対象の睡眠を回復させる。&br;[[アレス>Skill/Druid/Explanation#Ares]]、[[キュアオール>Skill/Cardinal/Explanation#skill5]]の状態異常治癒確率に影響する。|◯/☆|長時間行動できなくなることもあるため習得すると良い。|
|~9|[[メイスマスタリー>../Explanation#MaceMastery]]|||5|''&color(blue){P};''|''&color(blue){P};''||鈍器、杖系武器装備時に最小攻撃力が上昇する。|×|命中率も上昇するため殴りなら☆|
|~10|BGCOLOR(#fffafa):[[キュアポイズン>../Explanation#Cure]]|||1|5|単体|5|対象の毒を回復させる。&br;[[アレス>Skill/Druid/Explanation#Ares]]、[[キュアオール>Skill/Cardinal/Explanation#skill5]]の状態異常治癒確率に影響する。|☆|毒はかなりのダメージになることもあり、攻撃力も低下する為習得した方が良い。|
|~12|BGCOLOR(#fffafa):[[キュアスタン>../Explanation#Cure]]|||1|5|単体|5|対象のスタンを回復させる。&br;[[アレス>Skill/Druid/Explanation#Ares]]、[[キュアオール>Skill/Cardinal/Explanation#skill5]]の状態異常治癒確率に影響する。|△/☆|持続時間が短い為、取得の優先度はやや低い。|
|~12|[[死霊知識>../Explanation#DI]]|||1|''&color(blue){P};''|''&color(blue){P};''||アンデッドモンスターから上手くアイテムを取得できる。|◯|メダル集めや「[[包帯♀>http://eco.acronia.net/equipdb/#id=223]]」などのレアアイテムゲットに。[[よそ者クエスト>Quest/StrangerMerchantStorehouse]]で必須。&br;ポイントに余裕がなければ使うときだけ取得するのも一つの手段|
