# Skill/Wotes/naguri/Equip

RIGHT:&edit(,noicon){レベル別最適装備を編集};
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|LEFT:|c
|~Lv|~名前|~叩き攻撃力|~魔法攻撃力|~耐久|~入手方法|~その他(Wiki編集者の私見及び注意点)|h
|1|レプリカ盾|-|-|1|宝箱等|レプリカであれば普段装備できない種類の武具も装備可能なので憑依品が落ちている場合には必ず拾っておきたい。&br;ただタリスマンの影響で憑依品がかなり少なくなっている。|
//|1|[[迎春の盾>http://eco.acronia.net/equipdb/#id=1566]]|-|-|25|ECOくじ|レプリカと違い耐久が25あるので修理可能なのが最大の利点。ある程度数があるなら武具強化も一考の価値はあるか。&br;ただこれが入手可能だったくじはもう終了しているので今から集めるのはかなり難しいかもしれない。&br;見た目は武具融合でカバー。|
//|1|[[般若の盾>http://eco.acronia.net/equipdb/#id=1601]]|-|-|10|季節イベント|劣化迎春の盾。耐久以外の性能は同じ。&br;やっぱり見た目は武具融合でカバー。|
//2013年追記:くじ品の盾や防御力のある全職装備可能な盾が増えてきたため、迎春の盾と般若の盾は削除しました。問題があれば元に戻してください。
|1|[[みかわしの手甲>http://eco.acronia.net/equipdb/#id=2247]]|-|-|20|[[最初の冒険！>Event/Nheartful#step1]]&br;[[最初の冒険！（ＧＧ版）>Event/Nheartful#faGG]]|全職装備可能 DEX+1&br;重いという欠点があるものの、チュートリアルを受ければ必ず手に入る。|
|1|[[鬼の金棒>http://eco.acronia.net/equipdb/#id=563]]|7|-|-|季節イベント&br;宝箱等|攻撃力こそ低いが、壊れないので予備に持っているといいかも。|
|1|[[ごうわんの槌>http://eco.acronia.net/equipdb/#id=2249]]|20|-|35|[[最初の冒険！>Event/Nheartful#step1]]&br;[[最初の冒険！（ＧＧ版）>Event/Nheartful#faGG]]|STR+1&br;重いという欠点があるものの、チュートリアルを受ければ必ず手に入る。|
|11|[[バール>http://eco.acronia.net/equipdb/#id=32]]|20|-|20|ダウンタウン武器屋(9800G)|ごうわんの槌のおかげで軽いこと以外のメリットがなくなってしまった。&br;無理に買う必要はない。|
|11|[[ロッド>http://eco.acronia.net/equipdb/#id=113]]|15|&color(blue){23};|15|ノーザン岬(4900G)&br;生産(鉄火場)||
|15|[[ハリセン>http://eco.acronia.net/equipdb/#id=781]]|20|-|-|生産(アイテム精製師)|鬼の金棒の上位互換武器。&br;壊れないので精錬を繰り返したものは耐久を気にせずいつまでも使えるというメリットがある。|
|15|[[メイス>http://eco.acronia.net/equipdb/#id=34]]|23|-|20|サウスリン岬の村(7850G)&br;生産(鉄火場)&br;宝箱等||
|16|[[クロージャ>http://eco.acronia.net/equipdb/#id=324]]|19|&color(blue){27};|15|ノーザンプロムナード武器屋(6000G)||
|21|[[セプター>http://eco.acronia.net/equipdb/#id=114]]|&color(red){23};|&color(blue){32};|15|ノーザン岬(7200G)|LV45まではこれ一本で十分なくらいコストパフォーマンスがいい上に、よく落ちている。|
|21|[[モーニングスター>http://eco.acronia.net/equipdb/#id=247]]|30|-|25|サウスリン岬の村(16000G)&br;生産(鉄火場)|できれば次のヘビーメイスまで我慢したい耐久性と価格。|
|24|[[ヘビーメイス>http://eco.acronia.net/equipdb/#id=249]]|33|-|30|ステップキャラバン商人(20000G)&br;[[収集好きの大商人>Event/Nheartful#step7]]|下位装備と比べればそこそこ。上位と比べると価格・ATKが悩み物。パンチ力に欠ける「優等生」装備。&br;ノービスかBP系で収集好きの大商人クエストを行えば手に入るが、装備できるレベルで自力入手は困難。&br;このクエストのためだけにノービスのままでいるメリットも薄い。|
|26|[[パラソル>http://eco.acronia.net/equipdb/#id=209]]|1|32|20|宝箱等&br;生産(杖製造)|性能が同レベル装備のマジックロッドの下位互換なので趣味の域を出ることはないだろう|
|26|[[マジックロッド>http://eco.acronia.net/equipdb/#id=325]]|24|34|10|ノーザン武器屋 (13000G)&br;[[収集好きの大商人>Event/Nheartful#step7]]|コレクター装備。価格＞耐久及びMATKという割高な杖。&br;SU系が収集好きの大商人クエストを行えば手に入るが、装備できるレベルで自力入手は困難。|
|30|[[ノーブルロッド>http://eco.acronia.net/equipdb/#id=115]]|&color(red){23};|&color(blue){38};|15|氷結の坑道B3F(18000G)|このLv帯での氷結D3Fソロは困難。買い物ツアーパーティか、露店で探そう。|
|30|[[スプリンクラー>http://eco.acronia.net/equipdb/#id=35]]|37|-|20|氷結の坑道B3F(23000G)&br;生産(鉄火場)|比較的倉庫に溜まりやすい物で作成しやすい。|
|30|[[木製ハープ>http://eco.acronia.net/equipdb/#id=787]]|29|30|20|モーグ武器屋(20000G)|楽器なのでマスタリ、命中上昇は適用外&br;ドルイドまたはバードでしか装備できないため融合に使うぐらいか|
|30|[[プルルスタッフ>http://eco.acronia.net/equipdb/#id=1475]]|25|35|15|ネコマタ(空)入手クエスト中の小さい宝箱|装備制限がないためブリーダーでも装備可能|
|30|[[暴のタリスマン>http://eco.acronia.net/equipdb/#id=1661]]|15|-|10|生産(宝石商)|防御・魔法防御力、近距離・遠距離回避を下げる代わりに攻撃力を上げられる左手装備&br;レプリカ盾系統以外選択肢がなかった殴りワテには貴重な装備か&br;%%ただ材料にWRPでしか入手不可能なアイテムを要求されるため、現状作るのは難しいと思われる%%&br;攻防戦実装で暴の瞳の入手が容易になったため以前よりは製造も楽になったと思われる|
|35|[[エンシェントクロージャ>http://eco.acronia.net/equipdb/#id=326]]|25|39|15|ノーザン武器屋 (23000G)|下位のノーブルロッドと比較しても、上位のオパールロッドと比較しても、コストパフォーマンスが悪いが入手が簡単。|
|35|[[ヘビーハンマー>http://eco.acronia.net/equipdb/#id=322]]|39|-|25|ノーザン武器屋 (30000G)|耐久・ATK共に優秀で入手も容易。スイッチ派はこれ以降の槌のPAYLに注意。|
|40|[[メロディアスハンマー>http://eco.acronia.net/equipdb/#id=276]]|42|-|30|宝箱等|両手装備・射程２セル。固有打撃音実装。ATK上方修正後も趣味。&br;レプリカ盾が拾えない時、中衛の遊撃手と割り切って火力の同等な前衛からタゲを奪わないASPDに抑える時に便利。&br;製造でこれの改が作れるが材料が貴重品なので作成は難しい。|
|40|[[メロディアスハンマー改>http://eco.acronia.net/equipdb/#id=1045]]|42|-|30|製造(鉄火場)|基本的な性能は同じだがスキルとしてクリティカルアップが付き更に攻撃特化となる。大木槌改と比べると材料の入手がやや困難。|
|45|[[オパールロッド>http://eco.acronia.net/equipdb/#id=429]]|&color(red){31};|&color(blue){45};|15|ノーザンダンジョンイグルー凍える商人(45600G)|購入には「[[ヴァレリアのスープ>http://eco.acronia.net/itemdb/#id=244]]」が毎回必要&br;20台鈍器と遜色のないATKと高MATKと、&br;バランスのとれたセプター及びノーブルロッドの上位互換|
|45|[[チタンメイス>http://eco.acronia.net/equipdb/#id=445]]|41|-|30|アイアンシティ武器屋 (43580G)|タタラベ派生職でないと購入できない。&br;紹介するのも憚れる程に、性能から見ると高額。&br;ヘビーハンマーと同じく耐久30を生かして(自力生産の)修理キットを使用して使い潰して元が取れるかギリギリな線。(開発の意図？)&br;見た目は青黒いスプリンクラー|
|45|[[フレイムワンド>http://eco.acronia.net/equipdb/#id=435]]|32|43|15|宝箱等|固有打撃エフェクト。叩くと炎が出る。&br;火属性+10なので北の強水属性場で威力を発揮できるかもしれない。&br;比較的安価である「火のコロン」を併用して対水特化攻撃も。|
|45|丈夫な杖(イベント)|30|42|&color(red){30};|クエストアイテム&br;アイアンシティ&br;昔を語るおじいさん|耐久30でLv55のSU系の靴装備交換の為に壊す目的で渡される。&br;ドルイドの靴はINT+1/STR-1と殴りには適さず、杖の性能も悪くないので使い込むのもアリだと思う。&br;%%修理キットは設定されているが、修理不可能。%%&br;(いつからか判らないが修理可になってた3/24)|
