# TakarabakoFishTansui

|LEFT:|CENTER:|RIGHT:|c
|~品名|~備考|~最終報告日|
|ゼリコ|食べ物|2011/07/22|
|塩|食べ物|2011/07/22|
|キチン|食べ物|2011/07/22|
|シナモン缶|食べ物|2011/07/22|
|ヒールポーション|飲み物|2011/07/22|
|マジックポーション|飲み物|2011/07/22|
|スタミナポーション|飲み物|2011/07/22|
|いのちの結晶|雑貨|2011/07/22|
|クリティカルの結晶|雑貨|2011/07/23|
|力の結晶|雑貨|2011/07/22|
|魔力の結晶|雑貨|2011/07/22|
|火属性強化の結晶|雑貨|2011/07/21|
|水属性強化の結晶|雑貨|2011/07/22|
|土属性強化の結晶|雑貨|2011/07/24|
|風属性強化の結晶|雑貨|2011/07/22|
|光属性強化の結晶|雑貨|2011/07/23|
|闇属性強化の結晶|雑貨|2011/07/22|
|想いの結晶|雑貨|2011/07/22|
|想いの大結晶|雑貨|2011/07/22|
|想いの真結晶|雑貨|2011/07/22|
|オリハルコンの棒|雑貨|2011/07/21|
|ダイヤモンド|雑貨|2011/07/22|
|デムスライトの破片|雑貨|2011/07/21|
|釣竿作成キット|雑貨|2013/02/11|
|ＲＨ木材|雑貨|2013/02/11|
|ボロボロな設計図１|雑貨|2013/02/15|
|ミシンの部品１|雑貨|2013/02/22|
|機織機の部品１|雑貨|2013/02/11|
|６段たんすの部品１|雑貨|2012/04/26|
|魚籠|装備品|2011/10/03|
|のぼり（天然記念物）|装備品|2011/07/22|
CENTER:&edit(,noicon){釣りの宝箱（淡水）を編集};
