# Tamaire/Status

*たまいれ上昇ステータス [#c569ac74]
#contents
([[たまいれページに戻る>tamaire]])

**ステータス値 [#o17b91d3]
レベル差による減衰なしの数値
***FT/SU/BP [#f804b013]
|~　|>|>|>|>|SIZE(20):~FT||>|>|>|>|SIZE(20):~SU||>|>|>|>|SIZE(20):~BP|
|~Lv|~HP|>|~ATK|~S.HIT|~DEF(-)||~MP|>|~M.ATK|~L.HIT|~M.DEF(-)||~SP|SIZE(7):~S.AVOID|SIZE(7):~L.AVOID|~PAYL|~CAPA|
|~|~|~MIN|~MAX|~|~||~|~MIN|~MAX|~|~||~|~|~|~|~|
|CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|1|||||||+20|+6|+5|+4|+6|||||||
|''10''|+65|+10|+9|+5|+10||+65|+10|+9|+5|+10||+65|+5|+5|+6|+6|
|15|+100|+14|+11|+6|+12||+100|+14|+11|+6|+12||+100|+6|+6|+7|+7|
|''20''|+125|+17|+14|+7|+14||+125|+17|+14|+7|+14||+125|+7|+7|+9|+9|
|25|+170|+21|+17|+9|+17||+170|+21|+17|+9|+17||+170|+9|+9|+11|+11|
|''30''|+205|+24|+20|+9|+18||+205|+24|+20|+9|+18||+205|+9|+9|+12|+12|
|35|+250|+25|+23|+11|+20||+250|+25|+23|+11|+20||+250|+11|+11|+14|+14|
|''40''|+275|+29|+25|+12|+22||+275|+29|+25|+12|+22||+275|+12|+12|+16|+16|
|45|+310|+31|+28|+15|+26||+310|+31|+28|+15|+26||+310|+15|+15|+17|+17|
|''50''|+335|+35|+30|+16|+28||+335|+35|+30|+16|+28||+335|+16|+16|+19|+19|
|''60''|+395|+40|+35|+20|+32||+395|+40|+35|+20|+32||+395|+20|+20|+22|+22|
|65|+440|+44|+37|+22|+35||+440|+44|+37|+22|+35||+440|+22|+22|+24|+24|
|''70''|+475|+47|+39|+23|+37||+475|+47|+39|+23|+37||+475|+23|+23|+26|+26|
|75|+510|+49|+42|+25|+39||+510|+49|+42|+25|+39||+510|+25|+25|+27|+27|
|''80''|+545|+51|+45|+26|+41||+545|+51|+45|+26|+41||+545|+26|+26|+29|+29|
|85|+600|+54|+48|+28|+43||+600|+54|+48|+28|+43||+600|+28|+28|+31|+31|
|95|+680|+59|+53|+30|+47||+680|+59|+53|+30|+47||+680|+30|+30|+34|+34|
|''100''|+715|+60|+56|+32|+48||+715|+60|+56|+32|+48||+715|+32|+32|+36|+36|
|101|+740|+62|+58|+32|+50||+740|+62|+58|+32|+50||+740|+32|+32|+36|+36|
|102|+745|+62|+58|+32|+50||+745|+62|+58|+32|+50||+745|+32|+32|+36|+36|
|103|+760|+62|+58|+33|+50||+760|+62|+58|+33|+50||+760|+33|+33|+37|+37|
|104|+765|+62|+58|+33|+50||+765|+62|+58|+33|+50||+765|+33|+33|+37|+37|
|105|+770|+63|+59|+33|+51||+770|+63|+59|+33|+51||+770|+33|+33|+37|+37|
|106|+795|+64|+60|+33|+51||+795|+64|+60|+33|+51||+795|+33|+33|+38|+38|
|107|+800|+64|+60|+34|+51||+800|+64|+60|+34|+51||+800|+34|+34|+38|+38|
|108|+805|+64|+60|+34|+50||+805|+64|+60|+34|+51||+805|+34|+34|+38|+38|
|109|+820|+65|+61|+35|+52||+820|+65|+61|+35|+52||+820|+35|+35|+39|+39|
|''110''|+830|+66|+62|+36|+53||+830|+66|+62|+36|+53||+830|+36|+36|+39|+39|

***NV/JK [#s983c5f2]
|~　|>|>|>|>|>|>|>|>|>|>|>|>|>|>|SIZE(20):~NV/JK|
|~Lv|~HP|~MP|~SP|>|~ATK|>|~M.ATK|~S.HIT|~L.HIT|~DEF(-)|~M.DEF(-)|SIZE(7):~S.AVOID|SIZE(7):~L.AVOID|~PAYL|~CAPA|
|~|~|~|~|~MIN|~MAX|~MIN|~MAX|~|~|~|~|~|~|~|~|
|CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|1|+4|+2|+4|+2|+2|+1|+1|+2|+2|+2|+2|+2|+2|+2|+2|
|''10''|+31|+22|+22|+4|+2|+2|+2|+2|+2|+4|+3|+3|+3|+3|+3|
|15|+46|+32|+32|+5|+3|+4|+2|+3|+2|+4|+3|+4|+4|+4|+4|
|''20''|+61|+42|+42|+5|+3|+5|+3|+4|+2|+5|+3|+5|+5|+5|+5|
|25|+79|+55|+55|+7|+5|+5|+4|+4|+3|+6|+4|+6|+6|+6|+6|
|''30''|+100|+65|+65|+8|+5|+5|+4|+4|+4|+6|+5|+7|+7|+7|+7|
|35|+108|+72|+70|+9|+6|+6|+4|+5|+4|+7|+6|+8|+8|+8|+8|
|''40''|+123|+80|+77|+10|+7|+7|+4|+5|+4|+8|+7|+9|+9|+9|+9|
|45|+130|+85|+85|+12|+8|+8|+5|+6|+5|+9|+8|+10|+10|+10|+10|
|''50''|+140|+95|+95|+13|+8|+9|+6|+7|+6|+9|+8|+11|+11|+11|+11|
|''60''|+160|+105|+105|+14|+10|+11|+7|+8|+7|+11|+10|+13|+13|+13|+13|
|''70''|+190|+135|+125|+16|+11|+13|+8|+10|+8|+12|+11|+15|+15|+15|+15|
|75|+195|+145|+130|+17|+12|+14|+9|+10|+8|+13|+12|+16|+16|+16|+16|
|''80''|+210|+150|+140|+18|+13|+14|+9|+10|+9|+14|+13|+17|+17|+17|+17|
|85|+230|+160|+150|+19|+14|+15|+10|+11|+9|+15|+14|+18|+18|+18|+18|
|95|+275|+180|+165|+20|+15|+17|+11|+11|+10|+16|+15|+20|+20|+20|+20|
|''100''|+280|+180|+170|+21|+16|+18|+12|+12|+10|+17|+15|+21|+21|+21|+21|
|101|+290|+185|+175|+22|+16|+18|+12|+12|+11|+17|+15|+22|+22|+22|+22|
|102|+290|+185|+175|+22|+16|+18|+12|+12|+11|+18|+15|+22|+22|+22|+22|
|103|+290|+185|+175|+22|+17|+18|+12|+12|+11|+18|+16|+22|+22|+22|+22|
|104|+300|+185|+175|+22|+17|+18|+12|+12|+11|+18|+16|+22|+22|+22|+22|
|105|+300|+185|+175|+22|+18|+19|+13|+12|+11|+18|+16|+22|+22|+22|+22|
|106|+300|+185|+175|+23|+18|+19|+13|+12|+11|+18|+16|+23|+23|+23|+23|
|107|+300|+190|+180|+23|+18|+19|+13|+12|+11|+18|+16|+23|+23|+23|+23|
|108|+300|+190|+180|+23|+18|+19|+13|+12|+11|+19|+16|+23|+23|+23|+23|
|109|+320|+200|+190|+23|+19|+19|+13|+12|+11|+19|+16|+23|+23|+23|+23|
|''110''|+320|+220|+190|+24|+19|+20|+13|+12|+11|+19|+17|+24|+24|+23|+23|

***DEM [#y2193c37]
|~　|>|>|>|>|>|>|>|>|>|>|>|>|>|>|SIZE(20):~DEM|
|~Lv|~HP|~MP|~SP|>|~ATK|>|~M.ATK|~S.HIT|~L.HIT|~DEF(-)|~M.DEF(-)|~A.SPD|~C.SPD|~PAYL|~CAPA|
