# kontena2

-出現場所&br;【廃坑1F/廃坑2F/廃坑3F/ノーザンD】
|CENTER:|LEFT:|CENTER:|RIGHT:|c
|~区分|~品名|~状況|~最終報告日|
|~右手装備|アーチンスロー|開封|2012/06/12|
|~|~|直接|2012/06/05|
|~|石つぶて|開封|2012/06/11|
|~|~|直接|2008/12/24|
|~|エアリアルレイ|開封|2007/02/24|
|~|~|直接|2010/01/14|
|~|大きな鍵|開封|2010/01/23|
|~|扇子|開封|2005/11/26|
|~|~|直接|2006/10/13|
|~|知識の本|開封|2006/04/18|
|~|バケットロッド|開封|2005/12/21|
|~|花一輪|開封|2006/06/24|
|~|パラソル|開封|2006/08/04|
|~|魔法の本|開封|2008/05/20|
|~|丸底フラスコ|開封|2012/06/07|
|~|虫眼鏡|開封|2005/02/15|
|~|旅行かばん大|開封|2006/05/16|
|~|レプリカ・ウリエガノフ|開封|2006/01/17|
|~|レプリカ・刀|&color(#FF0000){?};|2005/11/17|
|~|~|直接|2006/06/02|
|~|レプリカ・グレイテッドスピア|直接|2008/11/22|
|~|レプリカ・スタンブレイド|開封|2006/02/01|
|~|~|直接|2006/06/08|
|~|レプリカ・太刀|開封|2006/06/01|
|~|レプリカ・トゥールハンマー|開封|2006/06/11|
|~|~|直接|2006/11/26|
|~|レプリカ・とげとげ大剣|開封|2005/12/27|
|~|レプリカ・トライデント|&color(#FF0000){?};|2005/11/29|
|~|レプリカ・長い斧|開封|2013/09/11|
|~|レプリカ・長い両斧|開封|2010/06/03|
|~|レプリカ・ハープ|開封|2012/06/04|
|~|レプリカ・ハルバード|開封|2006/03/06|
|~|レプリカ・フレイムワンド|開封|2010/06/27|
|~|レプリカ・宝剣|開封|2006/02/23|
|~|~|直接|2006/11/06|
|~|レプリカ・ミンストレルノート|開封|2012/06/11|
|~|~|直接|2009/11/03|
|~|レプリカ・メロディアスハンマー|開封|2006/03/06|
|~|レプリカ・ライトニングワンド|開封|2005/11/30|
|~|レプリカ・レーザーブレイド|直接|2005/11/26|
|~左手装備|レプリカ・ソードストッパー|&color(#FF0000){?};|2005/11/12|
|~|レプリカ・スパイクシールド|開封|2006/10/24|
|~|レプリカ・ヒーターシールド|開封|2005/11/21|
|~|レプリカ・ビームシールド|開封|2005/11/21|
|~|レプリカ・リアクティブシールド|開封|2006/02/27|
|~|レプリカ・コンポジットシールド|開封|2009/11/01|
|~顔・頭装備|キャノッチェ|開封|2006/01/14|
|~|ぐるぐるめがね|開封|2006/01/02|
|~|サングラス|開封|2005/12/03|
|~|~|直接|2010/04/21|
|~|シニヨンキャップ|開封|2006/01/24|
|~|~|直接|2012/06/11|
|~|シュノーケル|開封|2006/05/22|
|~|白リボンの帽子（薄紫）|開封|2007/09/23|
|~|精霊のはちまき|開封|2006/02/19|
|~|ゴム付きの農家帽子|開封|2012/06/12|
|~|ひたいあて（藍）|開封|2006/02/18|
|~|プロテクト帽（コバルト）|開封|2006/04/12|
|~|プロテクト帽（ミント）|開封|2006/02/24|
|~|レプリカ・エミルの兜|開封|2011/01/08|
|~|レプリカ・格闘帽子|開封|2012/06/12|
|~|レプリカ・司祭の帽子|開封|2005/12/31|
|~|レプリカ・タイタニアの兜|開封|2005/11/21|
|~|レプリカ・ドミニオンの兜|開封|2006/02/28|
|~|レプリカ・ホーンドメット|開封|2006/02/20|
|~|ワークベレー帽|開封|2006/03/15|
|~上半身・下半身装備|青いレザーアーマー|開封|2012/06/11|
|~|赤いレザーアーマー|開封|2006/05/29|
|~|エアリー・トップス♀|開封|2012/06/11|
|~|オーバーオール（カーキ）|開封|2006/03/31|
|~|~|直接|2006/10/09|
|~|オーバーオール（ピンク）|直接|2006/02/04|
|~|カオスローブ♂（薄紫）|開封|2006/02/27|
|~|カオスローブ♀（薄紫）|開封|2006/03/03|
|~|カオスローブ♀（漆黒）|直接|2006/03/09|
|~|黒いレザーアーマー |直接|2006/09/21|
|~|契約の服♀|開封|2012/06/04|
|~|~|直接|2011/10/13|
|~|シャツInシャツ♂（プルル）|開封|2005/11/30|
|~|守護者の鎧♂（白）|開封|2006/02/17|
|~|守護者の鎧♀（白）|開封|2009/06/10|
|~|~|直接|2006/07/06|
|~|スクール♀|開封|2005/11/21|
|~|~|直接|2007/02/24|
|~|スクールジャケット♂|開封|2005/11/21|
|~|~|直接|2006/02/06|
|~|スクール・ネイビー♀|開封|2006/02/23|
|~|スクール・チェック♀|開封|2010/01/18|
|~|スクール・バーントシェンナ♀|開封|2013/09/11|
|~|~|直接|2006/03/04|
|~|タキシード♂|開封|2006/12/02|
|~|山師の小手♀（ベアトップ）|開封|2012/06/11|
|~|レザー・トップス♀|開封|2012/06/05|
|~|~|直接|2006/01/21|
|~|レプリカ・格闘着|開封|2012/05/14|
|~|レプリカ・格闘ズボン|直接|2009/09/05|
|~|レプリカ・タイタニアメイル|開封|2012/05/13|
|~|レプリカ・タイタニアワンピース♀|直接|2009/03/23|
|~|レプリカ・ドミニオンタキシード♂|開封|2006/11/22|
|~|レプリカ・ドミニオンプレート|開封|2006/01/03|
|~|レプリカ・ハイプレートメイル|開封|2006/01/03|
|~|レプリカ・プレートメイル|開封|2006/11/22|
|~背中装備|矢筒|開封|2006/08/12|
|~|特大リュック|開封|2012/05/21|
|~靴・靴下装備|カオスシューズ♂（漆黒）|開封|2008/12/24|
|~|カオスシューズ♂（薄紫）|開封|2006/03/02|
|~|カオスシューズ♀（漆黒）|開封|2006/02/17|
|~|カオスシューズ♀（薄紫）|開封|2006/04/10|
|~|木こりのブーツ♂|開封|2006/05/28|
|~|サファリブーツ♂|開封|2006/03/04|
|~|サファリブーツ♀|開封|2006/04/16|
|~|守護者のブーツ♂（黒）|開封|2010/01/14|
|~|守護者のブーツ♂（白）|開封|2006/05/31|
|~|守護者のブーツ♀（黒）|直接|2006/11/14|
|~|守護者のブーツ♀（白）|開封|2006/03/02|
|~|~|直接|2006/04/06|
|~|鉄下駄♂|開封|2006/03/03|
|~|~|直接|2006/03/20|
|~|鉄ぽっくり♀|開封|2006/02/24|
|~|フォーチューンシューズ♀|開封|2006/05/31|
|~|フォーチューンフットクロス♂|開封|2006/02/23|
|~|マジカルシューズ♂|開封|2006/02/19|
|~|マジカルシューズ♀|直接|2006/02/18|
|~|メタルブーツ♂|開封|2006/02/17|
|~|メタルブーツ♀|開封|2006/02/25|
|~|山師のサンダル♂|開封|2006/02/18|
|~|山師のサンダル♀|開封|2006/02/18|
|~|レプリカ・炎鉄の靴|直接|2006/01/13|
|~|レプリカ・スパイクブーツ |開封|2013/09/11|
|~|レプリカ・タイタニアブーツ|開封|2010/08/24|
|~|レプリカ・タイタニアメイルブーツ|開封|2012/06/04|
|~|レプリカ・ドミニオンブーツ|直接|2006/05/22|
|~|レプリカ・プレートブーツ|開封|2011/10/13|
|~|レプリカ・プレートメイルブーツ|開封|2012/05/14|
|~|レプリカ・レザーブーツ(黒)|開封|2005/12/10|
|~|~|直接|2006/09/20|
|~|レプリカ・レザーブーツ（なめし）|開封|2006/01/14|
|~|ロングブーツ（黒）|開封|2012/05/21|
|~|ロングブーツ（なめし）|開封|2012/06/04|
|~|ワークシューズ♀|開封|2010/01/14|
|~|~|直接|2006/04/18|
|~家具|大きな古時計|開封|2007/02/27|
|~|ガーデンパラソル|開封|2010/03/18|
|~|カレンダー|開封|2006/05/20|
|~|ピクニックチェアー |開封|2006/08/12|
|~|ピクニックテーブル|開封|2013/09/11|
|~|レコード「アイアンサウス交響曲」|直接|2006/07/18|
|~|レコード「アクロニアの鼓動」|開封|2006/08/11|
|~|レコード「戦いのシンフォニー」|直接|2006/07/11|
|~|レコード「ノーザン幻想共鳴曲」|開封|2006/06/15|
|~|レコード「始まりの詩」|直接|2006/06/14|
|~|レコード「ファーイースト音楽祭」|開封|2006/07/13|
|~|レコードプレーヤー|開封|2010/04/21|
|~その他|音叉管|開封|2006/08/02|
|~|カッパーメダル|開封|2005/12/04|
|~|乾電池|開封|2012/06/12|
|~|クリティカルの結晶|開封|2012/06/11|
|~|ゴーレム・ゴブレット|開封|2006/05/18|
|~|コイル|開封|2012/06/11|
|~|合成失敗物|開封|2012/06/12|
|~|サンドペーパー|開封|2012/06/11|
|~|~|直接|2006/01/02|
|~|CPU|開封|2012/06/04|
|~|スタミナサプリメント|開封|2012/06/12|
|~|スタミナポーション|開封|2012/06/05|
|~|~|直接|2006/06/03|
|~|聖銀|開封|2005/12/19|
|~|接着剤|開封|2012/06/11|
|~|~|直接|2012/05/16|
|~|チタニウム塊|直接|2012/06/04|
|~|鉄の板|開封|2012/06/05|
|~|~|直接|2006/06/01|
|~|鉄の棒|開封|2012/06/11|
|~|~|直接|2010/08/27|
|~|テント|開封|2012/06/11|
|~|~|直接|2012/06/04|
|~|にごった水|開封|2012/06/05|
|~|~|直接|2006/03/07|
|~|ネジ|開封|2012/06/12|
|~|~|直接|2012/06/11|
|~|針金|開封|2012/06/12|
|~|~|直接|2012/06/11|
|~|バッテリー|開封|2005/12/30|
|~|~|直接|2006/06/28|
|~|ヒールサプリメント|開封|2012/06/12|
|~|ヒールポーション|開封|2012/06/11|
|~|~|直接|2006/06/02|
|~|鋲|開封|2005/11/21|
|~|プラスチック|開封|2012/06/12|
