# kontena5

-出現場所&br;【イーストD/アンデッドの城】
|CENTER:|LEFT:|CENTER:|RIGHT:|c
|~区分|~品名|~状況|~最終報告日|
|~右手装備|アーチンメイス|開封|2006/03/25|
|~|暁の一番星|開封|2006/03/28|
|~|~|直接|2006/12/06|
|~|怒りの竹槍|開封|2006/08/30|
|~|ウォーアックス|開封|2006/06/13|
|~|ウォーフォーク|開封|2006/05/15|
|~|~|直接|2009/09/07|
|~|ウリエガノフ|開封|2006/11/12|
|~|エミルの剣|開封|2006/03/28|
|~|大木槌|開封|2006/03/30|
|~|オパールロッド|開封|2006/09/03|
|~|鬼斬剣|開封|2006/03/25|
|~|教科書|開封|2006/04/07|
|~|グレイテッドスピア|開封|2006/03/26|
|~|サーベル|開封|2006/03/30|
|~|時空の杖　火|開封|2006/04/14|
|~|時空の杖　風|開封|2007/10/16|
|~|時空の杖　土|開封|2006/03/27|
|~|時空の杖　光|開封|2006/03/28|
|~|時空の杖　水|開封|2006/04/21|
|~|時空の杖　闇|開封|2010/04/06|
|~|Sixガーディアンズランス|開封|2006/05/22|
|~|~|直接|2007/09/15|
|~|支配の杖|開封|2006/05/06|
|~|ジャスティスランス|開封|2006/11/13|
|~|シュバイツアーサーベル|開封|2006/03/26|
|~|手裏剣|開封|2006/12/18|
|~|商人のそろばん|開封|2006/08/20|
|~|~|直接|2006/03/25|
|~|スタンブレイド|直接|2006/04/20|
|~|大地の矢|開封|2009/10/15|
|~|~|直接|2006/04/06|
|~|知恵の本|開封|2009/01/25|
|~|鉄扇|開封|2006/03/30|
|~|天上のハープ|&color(#FF0000){?};|2007/01/01|
|~|銅のそろばん|開封|2006/04/16|
|~|バトルウィップ|開封|2006/11/27|
|~|~|直接|2007/08/16|
|~|ベア・バスター|開封|2010/03/19|
|~|ポールアックス|開封|2006/03/29|
|~|マナスタッフ|開封|2007/09/16|
|~|メイジスタッフ|開封|2010/04/16|
|~|ラーミアの短剣|開封|2006/04/06|
|~|ライトニングワンド|開封|2006/09/03|
|~|レプリカ・短銃|開封|2006/12/18|
|~|~|直接|2006/04/06|
|~|レプリカ・フレイムワンド|開封|2006/11/21|
|~|~|直接|2006/04/10|
|~|レプリカ・マスケット銃|開封|2006/03/29|
|~|~|直接|2006/03/27|
|~|レプリカ・レーザーガン|開封|2006/03/25|
|~|~|直接|2006/07/20|
|~|レプリカ・レーザーブレイド|開封|2006/06/03|
|~左手装備|アルバレスト|開封|2006/03/31|
|~|アンティークスーツケース（左手用）|開封|2006/06/09|
|~|ガストラフェテス|開封|2006/04/17|
|~|クリスタルシールド|開封|2007/10/01|
