# 職クエ/ウォーロック

-&color(red){[[2010/08/19(木)のパッチ>パッチ情報/050819]]でクエストの内容や報酬の調整が行われました};
-&color(red){クエスト発生レベル+0～3で黄色文字、+4～9で白文字、+10～15で灰色文字、+16で消滅};

|~Lv|~条件|~クエスト名|~時間|~内容・必要数|~EXP/JOBEXP&br;GOLD|~備考|h
|LEFT:|CENTER:|LEFT:|RIGHT:|RIGHT:|CENTER:|LEFT:|c
|>|>|>|>|>|>|LEFT:~討伐|
|~14|-|ジルコンIを倒せ！|360分|&color(green){大陸の洞窟５Ｆ};&br;''ジルコンⅠ'' 15体|0/8,075&br;3,600G|2013/10/13更新|
|~|-|メイジプルルを退治して！|120分|&color(green){氷結の坑道Ｂ１Ｆ-２Ｆ};&br;''メイジプルル'' 15体|~|2013/10/13更新|
|~|-|ローパーの討伐依頼|~|&color(green){果物の森&br;ステップ砂漠&br;サウスリン岬};&br;''ローパー'' 10匹|~|2013/10/13更新|
|~|-|クラッシュアイス退治|~|&color(green){ノーザリン岬&br;スノップ雪原&br;スノップの山道};&br;''クラッシュアイス'' 10匹|~|2013/10/13更新|
|~16|-|エルダーワームを退治せよ！(party可)|120分|&color(green){東アクロニア海岸};&br;''エルダーワーム'' 20匹|0/11,412&br;5,040G|2013/10/13更新|
|~19|-|オーカージェリーの討伐|120分|&color(green){大陸の洞窟B1F,B2F};&br;''オーカージェリー'' 15匹|2,043/11,043&br;4,800G|2013/10/13更新|
|~|-|氷の微笑！クリスタル退治！|~|&color(green){スノップ雪原};&br;''クリスタル'' 10匹|~|2013/10/13更新|
|~24|-|ブーピーを倒せ！|360分|&color(green){大陸の洞窟B3F,B4F};&br;''ブーピー'' 10匹|1,482/13,482&br;6,000G|2013/10/13更新|
|~|-|スノップ雪原のモンスター退治|180分|&color(green){スノップ雪原};&br;''クラッシュアイス'' 15体&br;''ホワイトファング'' 10体&br;''ポーラーベア'' 3体|~|2013/10/13更新|
|~29|-|ステップ砂漠のモンスター退治|180分|&color(green){ステップ砂漠};&br;''クリムゾンバウ'' 15体&br;''ローパー'' 10体&br;''テンタクル'' 1体|20,082/20,082&br;7,200G|2013/12/22更新|
|~|-|テンタクル退治|~|&color(green){ステップ砂漠&br;サウスリン岬};&br;''テンタクル'' 3匹|~|2013/12/22更新|
|~34|-|白い羽の使者を退治せよ！|120分|&color(green){永遠への北限};&br;''エンジェルフェザー'' 10体|0/8,814&br;2,800G|2007/06/12更新|
|~39|-|日焼けペンギン|120分|&color(green){鬼の寝床岩};&br;''南国ペペン'' 10匹|34,200/34,200&br;8,200G|2014/11/24更新|
|~44|-|呪縛の鎧(party可)|120分|&color(green){ノーザンダンジョン};&br;''リビングアーマー'' 10体|0/17,042&br;4,320G|2007/06/12更新|
|~49|-|黒衣の魔導師|120分|&color(green){サウスダンジョンB2F};&br;''スペルキャスター'' 10匹|2,655/16,966&br;4,000G|2007/06/12更新|
|~54?|-|力への渇望|∞|&color(green){サウスダンジョンB1F,B2F};&br;''ブリキングRX３'' 8体|2,969/61,569&br;13,200G|2013/10/13更新|
|~59?|-|あくなき力への欲望|∞|&color(green){サウスダンジョンB2F,B3F};&br;''ブロックス'' 8体|79,725/79,725&br;14,400G|2016/01/13更新|
|>|>|>|>|>|>|LEFT:~採取|
|~14|-|[[''砂糖''>http://eco.acronia.net/itemdb/#id=1074]]を入手せよ！|360分|15個|6,075/6,075&br;3,600G|2013/10/13更新|
|~19|-|[[''燐粉''>http://eco.acronia.net/itemdb/#id=2719]]の入手！|360分|5個|11,043/11,043&br;4,800G|2010/8/29確認|
|~24|-|[[''ガスバルーン''>http://eco.acronia.net/itemdb/#id=542]]を入手せよ！|360分|3個|13,482/13,482&br;6,000G|2010/8/29確認|

***ウォーロック情報提供フォーム [#e241e7ec]
#pcomment(コメント/職クエ/ウォーロック,10)
