# 職クエ/レンジャー

|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
|~Lv|~条件|~クエスト名|~時間|~必要数|~EXP&br;GOLD&br;2010/08/19-|~備考|h
|LEFT:|CENTER:|LEFT:|RIGHT:|RIGHT:|CENTER:|LEFT:|c
|>|>|>|>|>|>|LEFT:~採取&aname(Jobquest_11_03);|
|~2-20|♂|''[[アーチンのトゲ>http://eco.acronia.net/itemdb/#id=3]]''を集めてください|60分|3個|450/450&br;240G|アーチン&br;2015/09/01確認|
|~|♂|珍味！''[[アーチン印のミソ>http://eco.acronia.net/itemdb/#id=1]]''の採取|~|3個|~|アーチン&br;キャビアーチン&br;2015/09/01更新|
|~|♀|''[[キチン>http://eco.acronia.net/itemdb/#id=680]]''の入手|~|3個|~|クローラー&br;2015/09/02確認|
|~|♀|ブーム再来！''[[青汁>http://eco.acronia.net/itemdb/#id=34]]''の入手！|~|3個|~|クローラー&br;グリーンプルル&br;2015/09/02確認|
|~4-20|-|''[[蜂蜜>http://eco.acronia.net/itemdb/#id=1954]]''の採取！|60分|5個|1,230/1,230&br;1,200G|キラービー&br;2015/09/02更新|
|~|-|''[[ビーの針>http://eco.acronia.net/itemdb/#id=2014]]''の採取！|~|3個|~|キラービー&br;ワスプ&br;2015/09/02確認|
|~9-25|-|至急！''[[レタス>http://eco.acronia.net/itemdb/#id=2769]]''の採取！|60分|3個|2,730/2,730&br;2,400G|サラダアーチン&br;2015/09/02更新|
|~|♂|至急！''[[卵>http://eco.acronia.net/itemdb/#id=1485]]''の採取！|~|5個|~|コッコー&br;2015/09/02確認|
|~|♂|''[[コッコーの羽>http://eco.acronia.net/itemdb/#id=995]]''の採取！|~|3個|~|コッコー&br;2015/09/02確認|
|~|♀|''[[骨>http://eco.acronia.net/itemdb/#id=2352]]''の採取（動物研究家）|~|5個|~|バウ&br;2015/09/02確認|
|~|♀|お''[[肉>http://eco.acronia.net/itemdb/#id=1775]]''買い取ります！|~|3個|~|バウ&br;2015/09/02確認|
|~14-30|-|''[[バウの革切れ>http://eco.acronia.net/itemdb/#id=1919]]''を探せ！|360分|3個|6,075/6,075&br;3,600G|バウ&br;バウの革切れと革ひもは&br;生産素材として需要が高い。&br;2015/09/04更新|
|~|-|''[[クローラーのまゆ>http://eco.acronia.net/itemdb/#id=851]]''の入手|~|5個|~|サンドクローラー&br;キャタピラー&br;エルダーワーム&br;2015/09/04確認|
|~|-|''[[黄色いゼリコ>http://eco.acronia.net/itemdb/#id=632]]''の入手|~|1個|~|サンドクローラー&br;合成失敗物100個と交換&br;ミズクラゲ＋グレープフルーツ&br;2015/09/04確認|
|~|-|''[[紫のゼリコ>http://eco.acronia.net/itemdb/#id=2557]]''の入手|~|1個|~|エルダーワーム&br;メイジプルル&br;合成失敗物100個と交換&br;ミズクラゲ＋クワの実&br;2015/09/05確認|
|~|-|''[[赤いゼリコ>http://eco.acronia.net/itemdb/#id=45]]''の入手|~|1個|~|キャタピラー&br;オーカージェリー&br;合成失敗物100個と交換&br;ミズクラゲ＋パプリカ&br;2015/09/06確認|
|~19-35|-|''[[ブリキの板>http://eco.acronia.net/itemdb/#id=2205]]''の入手|360分|2個|11,043/11,043&br;4,800G|ブリキングＲＸ1&br;2015/09/09確認|
|~|-|''[[コケトリスの瞳>http://eco.acronia.net/itemdb/#id=982]]''の入手|~|3個|~|コケトリス&br;2015/09/09確認|
|~|-|''[[上等な肉>http://eco.acronia.net/itemdb/#id=1223]]''を集めています|~|8個|~|コケトリス&br;ココッコー&br;イマチュアーコッコー&br;ホワイトファング&br;2015/09/17確認|
|~24-40|-|''[[上等な毛皮>http://eco.acronia.net/itemdb/#id=1215]]''がほしぃ～！|360分|1個|13,482/13,482&br;6,000G|ベア&br;ケイブベア&br;エコ坊&br;2015/09/17確認|
|~|-|''[[スウェード>http://eco.acronia.net/itemdb/#id=1310]]''探しています。|~|1個|~|ケイブベア&br;ローキー&br;クリムゾンバウ&br;ホワイトファング&br;ワイルドボア&br;2015/09/17確認|
|~|-|''[[ロイヤルゼリー>http://eco.acronia.net/itemdb/#id=2793]]''の入手|~|8個|~|キラービー&br;ワスプ&br;2015/09/17確認|
|~29-110|-|''[[おいしい串焼き肉>http://eco.acronia.net/itemdb/#id=346]]''の入手|900分|5個|20,100/20,100&br;7,200G|料理&br;2015/09/18確認|
|~34-110|-|''[[サーロイン>http://eco.acronia.net/itemdb/#id=1039]]''を探せ！|900分|5個|26,400/26,400&br;8,400G|グレイハウンド&br;ガブル&br;モーモー&br;チュンチュン&br;2015/11/08更新|
|~39-110|-|''[[上等な革>http://eco.acronia.net/itemdb/#id=1210]]''を手に入れろ！|900分|2個|34,200/34,200&br;9,600G|ローキー&br;ケイブローキー&br;キラービースト&br;2015/11/08更新|
|~|-|革にシミが！！！１&br;(''[[革補修キット・カッパー>http://eco.acronia.net/itemdb/#id=611]]'')|~|1個|34,200/34,200&br;12,600G|革製品補修キット作成&br;2015/10/01更新|
